nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills
NA	KCL-22	NA	KCL-22	KCL-22	KCL-22	NA	NA
NA	KE-39	NA	NA	NA	KE-39	NA	NA
NA	KE-97	NA	NA	NA	KE-97	NA	NA
NA	KELLY	NA	KELLY	KELLY	KELLY	NA	NA
NA	KG-1	NA	KG-1	KG-1	NA	NA	KG1
NA	KG-1-C	NA	NA	KG-1-C	KG-1-C	NA	NA
NA	KHM-1B	NA	NA	NA	KHM-1B	NA	NA
NA	Ki-JK	NA	NA	NA	Ki-JK	NA	NA
NA	KLE	NA	KLE	KLE	KLE	NA	KLE
NA	KLM-1	NA	NA	NA	NA	NA	NA
NA	KMBC-2	NA	NA	NA	KMBC-2	NA	NA
NA	KMM-1	NA	NA	NA	KMM-1	NA	NA
NA	KMRC-1	NA	KMRC-1	KMRC-1	KMRC-1	NA	NA
NA	KMRC-2	NA	NA	NA	KMRC-2	NA	NA
NA	KMRC-20	NA	KMRC-20	KMRC-20	KMRC-20	NA	NA
NA	KMRC-3	NA	NA	NA	KMRC-3	NA	NA
NA	KMS-11	NA	KMS-11	KMS-11	KMS-11	NA	KMS11
NA	KMS-18	NA	NA	NA	KMS-18	NA	NA
NA	KMS-20	NA	NA	NA	KMS-20	NA	KMS20
NA	KMS-21BM	NA	NA	NA	KMS-21BM	NA	NA
NA	KMS-26	NA	NA	NA	KMS-26	NA	KMS26
NA	KMS-27	NA	NA	NA	KMS-27	NA	KMS27
NA	KMS-28BM	NA	NA	NA	KMS-28BM	NA	NA
NA	KMS-34	NA	NA	NA	KMS-34	NA	KMS34
NA	KNS-60	NA	NA	NA	KNS-60	NA	NA
NA	KOPN-8	NA	KOPN-8	KOPN-8	NA	NA	KOPN8
NA	KP-2	NA	KP-2	KP-2	KP-2	NA	NA
NA	KP-3	NA	KP-3	KP-3	KP-3	NA	NA
NA	KPL-1	NA	NA	NA	KPL-1	NA	NA
NA	KU812	NA	KU812	KU812	KU812	NA	NA
NA	KYM-1	NA	KYM-1	KYM-1	KYM-1	NA	NA
NA	KYO-1	NA	NA	NA	KYO-1	NA	NA
NA	KYSE-30	NA	NA	KYSE-30	KYSE-30	NA	NA
NA	L-1236	NA	L-1236	L-1236	L-1236	NA	NA
NA	L3.3	NA	NA	NA	L3.3	NA	NA
NA	LC-1/sq-SF	NA	NA	NA	LC-1/sq-SF	NA	NA
NA	Li-7	NA	NA	NA	Li-7	NA	NA
NA	LMSU	NA	NA	NA	LMSU	NA	NA
NA	LN-18	NA	LN-18	LN-18	LN-18	NA	NA
NA	LN-215	NA	NA	NA	NA	NA	NA
NA	LN-229	NA	LN-229	LN-229	LN-229	NA	NA
NA	LN-235	NA	NA	NA	NA	NA	NA
NA	LN-319	NA	NA	NA	NA	NA	NA
NA	LN-340	NA	NA	NA	NA	NA	NA
NA	LN-428	NA	NA	NA	NA	NA	NA
NA	LN-443	NA	NA	NA	NA	NA	NA
NA	LN-464	NA	NA	NA	NA	NA	NA
NA	LN382	NA	NA	NA	NA	NA	NA
NA	LNZ308	NA	NA	NA	NA	NA	NA
NA	LOU-NH91	NA	LOU-NH91	LOU-NH91	LOU-NH91	NA	NA
NA	LS 180	NA	LS-180	LS-180	LS 180	NA	NA
NA	LUDLU-1	NA	NA	NA	LUDLU-1	NA	NA
NA	M-07e	NA	NA	NA	M-07e	NA	NA
NA	M059K	NA	M059K	NA	M059K	NA	NA
NA	MC116	NA	MC116	MC116	MC116	NA	MC116
NA	MCAS	NA	NA	MCAS	MCAS	NA	MCAS
NA	MDA PCa 2b	NA	NA	NA	NA	NA	NA
NA	MDA-MB-436	NA	MDA-MB-436	MDA-MB-436	NA	NA	MDAMB436
NA	MDST8	NA	MDST8	MDST8	MDST8	NA	MDST8
NA	ME-1	NA	ME-1	ME-1	ME-1	NA	NA
NA	MEC-1	NA	MEC-1	MEC-1	MEC-1	NA	MEC1
NA	MEC-2	NA	MEC-2	NA	NA	NA	NA
NA	MFE-319	NA	MFE-319	MFE-319	MFE-319	NA	MFE319
NA	MHH-CALL-3	NA	NA	NA	MHH-CALL-3	NA	NA
NA	Mino	NA	NA	NA	Mino	NA	MINO
NA	MKN74	NA	NA	NA	MKN74	NA	MKN74
NA	ML-1	NA	ML-1	ML-1	ML-1	NA	NA
NA	MM1-S	NA	MM1S	MM1S	MM1-S	NA	MM1S
NA	MOLM-13	NA	MOLM-13	MOLM-13	MOLM-13	NA	MOLM13
NA	MOLM-16	NA	MOLM-16	MOLM-16	MOLM-16	NA	NA
NA	MOLM-6	NA	NA	NA	MOLM-6	NA	NA
NA	MOLP-2	NA	NA	NA	MOLP-2	NA	NA
NA	MOLP-8	NA	MOLP-8	MOLP-8	MOLP-8	NA	MOLP8
NA	MONO-MAC-1	NA	MONO-MAC-1	NA	MONO-MAC-1	NA	NA
NA	MOR/CPR	NA	NA	NA	MOR/CPR	NA	NA
NA	MOTN-1	NA	NA	NA	MOTN-1	NA	NA
NA	MUTZ-5	NA	NA	NA	NA	NA	NA
NA	MV-4-11	NA	MV-4-11	MV-4-11	MV-4-11	NA	NA
NA	NALM-19	NA	NA	NA	NA	NA	NA
NA	NAMALWA	NA	NAMALWA	NAMALWA	NAMALWA	NA	NAMALWA
NA	NCC-StC-K140	NA	NA	NA	NCC-StC-K140	NA	NA
NA	NCI-H1184	NA	NA	NCI-H1184	NCI-H1184	NA	NA
NA	NCI-H1339	NA	NA	NA	NCI-H1339	NA	NA
NA	NCI-H1341	NA	NCI-H1341	NCI-H1341	NCI-H1341	NCI-H1341	NA
NA	NCI-H1373	NA	NA	NA	NCI-H1373	NA	H1373
NA	NCI-H1385	NA	NA	NCI-H1385	NCI-H1385	NA	H1385
NA	NCI-H1435	NA	NCI-H1435	NCI-H1435	NCI-H1435	NA	H1435
NA	NCI-H1568	NA	NCI-H1568	NCI-H1568	NCI-H1568	NA	H1568
NA	NCI-H1581	NA	NCI-H1581	NCI-H1581	NCI-H1581	NA	H1581
NA	NCI-H1623	NA	NCI-H1623	NCI-H1623	NCI-H1623	NA	H1623
NA	NCI-H1648	NA	NCI-H1648	NCI-H1648	NA	NA	H1648
NA	NCI-H1694	NA	NCI-H1694	NCI-H1694	NCI-H1694	NCI-H1694	NA
NA	NCI-H1734	NA	NCI-H1734	NCI-H1734	NCI-H1734	NA	H1734
NA	NCI-H1781	NA	NCI-H1781	NCI-H1781	NA	NA	H1781
NA	NCI-H1836	NA	NCI-H1836	NCI-H1836	NA	NCI-H1836	H1836
NA	NCI-H1869	NA	NCI-H1869	NCI-H1869	NCI-H1869	NA	H1869
NA	NCI-H1876	NA	NCI-H1876	NCI-H1876	NA	NCI-H1876	NA
NA	NCI-H1915	NA	NCI-H1915	NCI-H1915	NCI-H1915	NA	NA
NA	NCI-H1944	NA	NCI-H1944	NCI-H1944	NCI-H1944	NA	H1944
NA	NCI-H196	NA	NCI-H196	NCI-H196	NCI-H196	NCI-H196	NA
NA	NCI-H1963	NA	NCI-H1963	NCI-H1963	NA	NCI-H1963	NA
NA	NCI-H2023	NA	NCI-H2023	NCI-H2023	NCI-H2023	NA	H2023
NA	NCI-H2066	NA	NCI-H2066	NCI-H2066	NA	NCI-H2066	NA
NA	NCI-H2085	NA	NCI-H2085	NCI-H2085	NCI-H2085	NA	H2085
NA	NCI-H2106	NA	NA	NA	NCI-H2106	NA	H2106
NA	NCI-H211	NA	NCI-H211	NCI-H211	NCI-H211	NCI-H211	H211
NA	NCI-H2110	NA	NCI-H2110	NCI-H2110	NCI-H2110	NA	H2110
NA	NCI-H2122	NA	NCI-H2122	NCI-H2122	NCI-H2122	NA	H2122
NA	NCI-H2172	NA	NCI-H2172	NCI-H2172	NCI-H2172	NA	H2172
NA	NCI-H2286	NA	NCI-H2286	NCI-H2286	NCI-H2286	NA	H2286
NA	NCI-H2444	NA	NCI-H2444	NCI-H2444	NCI-H2444	NA	NA
NA	NCI-H3255	NA	NA	NA	NA	NA	NA
NA	NCI-H647	NA	NCI-H647	NCI-H647	NCI-H647	NA	NA
NA	NCI-H660	NA	NCI-H660	NA	NCI-H660	NCI-H660	NA
NA	NCI-H684	NA	NA	NA	NA	NA	NA
NA	NCI-H69	NA	NCI-H69	NCI-H69	NCI-H69	NCI-H69	H69
NA	NCI-H841	NA	NCI-H841	NCI-H841	NCI-H841	NCI-H841	NA
NA	NCI-H854	NA	NA	NA	NA	NA	NA
NA	NCI-H929	NA	NCI-H929	NCI-H929	NCI-H929	NA	NA
NA	NCO2	NA	NA	NA	NCO2	NA	NA
NA	NU-DHL-1	NA	NA	NA	NU-DHL-1	NA	NUDHL1
NA	NU-DUL-1	NA	NU-DUL-1	NU-DUL-1	NU-DUL-1	NA	NA
NA	NUGC-2	NA	NA	NA	NA	NA	NA
NA	NUGC-4	NA	NUGC-4	NUGC-4	NUGC-4	NA	NA
NA	OC 315	NA	NA	NA	NA	NA	NA
NA	OC 316	NA	NA	NA	NA	NA	OC316
NA	OCI-AML3	NA	OCI-AML3	OCI-AML3	OCI-AML3	NA	NA
NA	OCI-AML5	NA	OCI-AML5	OCI-AML5	OCI-AML5	NA	NA
NA	OCI-LY-19	NA	OCI-LY-19	OCI-LY-19	OCI-LY-19	NA	OCILY19
NA	OCI-LY10	NA	NA	NA	OCI-LY10	NA	OCILY10
NA	OCI-LY3	NA	NA	NA	OCI-LY3	NA	NA
NA	OCI-M1	NA	OCI-M1	OCI-M1	OCI-M1	NA	NA
NA	OCUM-1	NA	OCUM-1	OCUM-1	OCUM-1	NA	NA
NA	OELE	NA	NA	NA	NA	NA	NA
NA	ONCO-DG-1	NA	NA	NA	ONCO-DG-1	NA	NA
NA	OUMS-23	NA	NA	OUMS-23	OUMS-23	NA	NA
NA	OUMS-27	NA	NA	NA	NA	NA	NA
NA	OV-90	NA	OV-90	OV-90	OV-90	NA	OV90
NA	OV56	NA	OV-56	OV-56	OV56	NA	NA
NA	OV7	NA	OV-7	OV-7	OV7	NA	NA
NA	OVISE	NA	OVISE	OVISE	OVISE	NA	OVISE
NA	OVK18	NA	OVK-18	OVK-18	OVK18	NA	NA
NA	OVKATE	NA	OVKATE	OVKATE	NA	NA	NA
NA	OVMANA	NA	NA	NA	NA	NA	OVMANA
NA	OVSAHO	NA	NA	NA	OVSAHO	NA	OVSAHO
NA	OVTOKO	NA	OVTOKO	OVTOKO	OVTOKO	NA	OVTOKO
NA	P3HR-1	NA	NA	P3HR-1	P3HR-1	NA	P3HR1
NA	PA-TU-8902	NA	PA-TU-8902	PA-TU-8902	PA-TU-8902	NA	PATU8902
NA	PA-TU-8988S	NA	NA	NA	PA-TU-8988S	NA	PATU8988S
NA	PA-TU-8988T	NA	PA-TU-8988T	PA-TU-8988T	PA-TU-8988T	NA	PATU8988T
NA	Panc 02.03	NA	PANC-02-03	PANC-02-03	Panc 02.03	NA	PANC0203
NA	Panc 02.13	NA	NA	NA	NA	NA	NA
NA	Panc 04.03	NA	PANC-04-03	PANC-04-03	Panc 04.03	NA	PANC0403
NA	Panc 05.04	NA	NA	NA	Panc 05.04	NA	PANC0504
NA	PANC-1	NA	NA	NA	PANC-1	NA	PANC1
NA	PCM6	NA	NA	NA	NA	NA	NA
NA	PE/CA-PJ15	NA	PE-CA-PJ15	PE-CA-PJ15	PE/CA-PJ15	NA	NA
NA	PE/CA-PJ34 (clone C12)	NA	NA	NA	PE/CA-PJ34 (clone C12)	NA	NA
NA	PE/CA-PJ41 (clone D2)	NA	NA	NA	PE/CA-PJ41 (clone D2)	NA	NA
NA	PE/CA-PJ49	NA	NA	NA	PE/CA-PJ49	NA	NA
NA	PEER	NA	NA	NA	PEER	NA	NA
NA	Pfeiffer	NA	NA	NA	Pfeiffer	NA	PFEIFFER
NA	PK-1	NA	NA	NA	PK-1	NA	NA
NA	PK-45H	NA	NA	NA	PK-45H	NA	NA
NA	PK-59	NA	NA	NA	PK-59	NA	NA
NA	PL-21	NA	PL-21	PL-21	PL-21	NA	NA
NA	PL45	NA	NA	NA	NA	NA	PL45
NA	PrEC LH	NA	NA	NA	NA	NA	NA
NA	QGP-1	NA	QGP-1	QGP-1	QGP-1	NA	NA
NA	RCC-4	NA	NA	NA	NA	NA	NA
NA	RCH-ACV	NA	RCH-ACV	RCH-ACV	RCH-ACV	NA	NA
NA	RD-ES	NA	NA	RD-ES	RD-ES	NA	RDES
NA	REC-1	NA	NA	NA	REC-1	NA	REC1
NA	Reh	NA	NA	NA	Reh	NA	REH
NA	RERF-GC-1B	NA	RERF-GC-1B	RERF-GC-1B	NA	NA	NA
NA	RERF-LC-Ad1	NA	NA	NA	RERF-LC-Ad1	NA	NA
NA	RERF-LC-Ad2	NA	NA	NA	RERF-LC-Ad2	NA	NA
NA	RERF-LC-AI	NA	NA	NA	RERF-LC-AI	NA	NA
NA	RERF-LC-KJ	NA	RERF-LC-KJ	RERF-LC-KJ	NA	NA	NA
NA	RERF-LC-Sq1	NA	RERF-LC-Sq1	RERF-LC-Sq1	NA	NA	NA
NA	RH-30	NA	NA	NA	RH-30	NA	NA
NA	RH-41	NA	RH-41	RH-41	RH-41	NA	NA
NA	RI-1	NA	NA	NA	RI-1	NA	RI1
NA	RKN	NA	RKN	RKN	RKN	NA	NA
NA	RL95-2	NA	RL95-2	RL95-2	RL95-2	NA	RL952
NA	RMUG-S	NA	NA	NA	NA	NA	RMUGS
NA	RS-5	NA	NA	NA	NA	NA	NA
NA	RT112/84	NA	NA	NA	NA	NA	NA
NA	RT4	NA	RT4	RT4	RT4	NA	NA
NA	SALE	NA	NA	NA	NA	NA	NA
NA	SCaBER	NA	SCaBER	SCaBER	SCaBER	NA	NA
NA	SEM	NA	NA	NA	SEM	NA	NA
NA	Set-2	NA	NA	NA	Set-2	NA	NA
NA	SF-172	NA	NA	NA	NA	NA	NA
NA	SF767	NA	NA	NA	NA	NA	NA
NA	SH-10-TC	NA	NA	NA	SH-10-TC	NA	NA
NA	SH-4	NA	SH-4	SH-4	SH-4	NA	NA
NA	SH-SY5Y	NA	NA	NA	NA	NA	NA
NA	SIG-M5	NA	SIG-M5	SIG-M5	SIG-M5	NA	NA
NA	SK-BR-3	NA	NA	NA	SK-BR-3	NA	SKBR3
NA	SK-ES-1	NA	SK-ES-1	SK-ES-1	SK-ES-1	NA	SKES1
NA	SK-MEL-1	NA	SK-MEL-1	SK-MEL-1	SK-MEL-1	NA	SKMEL1
NA	SK-MEL-31	NA	SK-MEL-31	SK-MEL-31	SK-MEL-31	NA	SKMEL31
NA	SK-N-BE(2)	NA	NA	NA	SK-N-BE(2)	NA	NA
NA	SK-N-MC	NA	NA	NA	SK-N-MC	NA	NA
NA	SK-N-SH	NA	SK-N-SH	SK-N-SH	SK-N-SH	NA	NA
NA	SK-RC 31	NA	NA	NA	NA	NA	NA
NA	SK-RC-20	NA	NA	NA	NA	NA	NA
NA	SLR 20	NA	NA	NA	NA	NA	NA
NA	SLR 21	NA	NA	NA	NA	NA	NA
NA	SLR 23	NA	NA	NA	NA	NA	NA
NA	SLR 24	NA	NA	NA	NA	NA	NA
NA	SLR 25	NA	NA	NA	NA	NA	NA
NA	SLR 26	NA	NA	NA	NA	NA	NA
NA	SNU-1033	NA	NA	NA	SNU-1033	NA	NA
NA	SNU-1040	NA	SNU-1040	SNU-1040	NA	NA	NA
NA	SNU-1041	NA	NA	NA	SNU-1041	NA	NA
NA	SNU-1066	NA	NA	NA	SNU-1066	NA	NA
NA	SNU-1076	NA	NA	NA	SNU-1076	NA	NA
NA	SNU-1077	NA	NA	NA	SNU-1077	NA	NA
NA	SNU-1079	NA	NA	NA	SNU-1079	NA	NA
NA	SNU-1105	NA	NA	NA	SNU-1105	NA	NA
NA	SNU-119	NA	NA	NA	SNU-119	NA	NA
NA	SNU-1196	NA	NA	NA	SNU-1196	NA	NA
NA	SNU-1197	NA	NA	NA	NA	NA	NA
NA	SNU-1214	NA	NA	NA	SNU-1214	NA	NA
NA	SNU-1272	NA	NA	NA	SNU-1272	NA	NA
NA	SNU-175	NA	SNU-175	SNU-175	SNU-175	NA	NA
NA	SNU-182	NA	SNU-182	SNU-182	SNU-182	NA	NA
NA	SNU-201	NA	NA	NA	SNU-201	NA	NA
NA	SNU-213	NA	NA	NA	SNU-213	NA	NA
NA	SNU-216	NA	NA	NA	SNU-216	NA	NA
NA	SNU-245	NA	NA	NA	SNU-245	NA	NA
NA	SNU-283	NA	SNU-283	NA	NA	NA	NA
NA	SNU-308	NA	NA	NA	SNU-308	NA	NA
NA	SNU-324	NA	NA	NA	NA	NA	NA
NA	SNU-349	NA	NA	NA	NA	NA	NA
NA	SNU-398	NA	SNU-398	SNU-398	SNU-398	NA	SNU398
NA	SNU-407	NA	SNU-407	SNU-407	SNU-407	NA	NA
NA	SNU-410	NA	NA	NA	SNU-410	NA	NA
NA	SNU-46	NA	NA	NA	SNU-46	NA	NA
NA	SNU-466	NA	NA	NA	SNU-466	NA	NA
NA	SNU-478	NA	NA	NA	SNU-478	NA	NA
NA	SNU-489	NA	NA	NA	SNU-489	NA	NA
NA	SNU-503	NA	NA	NA	SNU-503	NA	NA
NA	SNU-520	NA	NA	NA	NA	NA	NA
NA	SNU-601	NA	NA	NA	SNU-601	NA	NA
NA	SNU-61	NA	SNU-61	SNU-61	SNU-61	NA	NA
NA	SNU-620	NA	NA	NA	SNU-620	NA	NA
NA	SNU-626	NA	NA	NA	SNU-626	NA	NA
NA	SNU-668	NA	NA	NA	SNU-668	NA	NA
NA	SNU-685	NA	NA	NA	SNU-685	NA	NA
NA	SNU-719	NA	NA	NA	SNU-719	NA	NA
NA	SNU-738	NA	NA	NA	SNU-738	NA	NA
NA	SNU-761	NA	NA	NA	SNU-761	NA	NA
NA	SNU-8	NA	NA	NA	SNU-8	NA	NA
NA	SNU-81	NA	SNU-81	SNU-81	SNU-81	NA	NA
NA	SNU-840	NA	NA	NA	SNU-840	NA	NA
NA	SNU-869	NA	NA	NA	SNU-869	NA	NA
NA	SNU-878	NA	NA	NA	SNU-878	NA	NA
NA	SNU-886	NA	NA	NA	SNU-886	NA	NA
NA	SNU-899	NA	NA	NA	SNU-899	NA	NA
NA	SNU-C2A	NA	NA	NA	SNU-C2A	NA	NA
NA	SNU-C4	NA	NA	NA	SNU-C4	NA	NA
NA	SNU-C5	NA	SNU-C5	SNU-C5	SNU-C5	NA	NA
NA	Sq-1	NA	NA	NA	Sq-1	NA	NA
NA	SU-DHL-10	NA	SU-DHL-10	SU-DHL-10	SU-DHL-10	NA	SUDHL10
NA	SU-DHL-4	NA	SU-DHL-4	SU-DHL-4	SU-DHL-4	NA	SUDHL4
NA	SU-DHL-5	NA	SU-DHL-5	SU-DHL-5	NA	NA	SUDHL5
NA	SU-DHL-6	NA	SU-DHL-6	SU-DHL-6	SU-DHL-6	NA	SUDHL6
NA	SU-DHL-8	NA	SU-DHL-8	SU-DHL-8	SU-DHL-8	NA	SUDHL8
NA	SU.86.86	NA	SU8686	SU8686	SU.86.86	NA	NA
NA	SUIT-2	NA	SUIT-2	SUIT-2	SUIT-2	NA	NA
NA	SUP-B15	NA	SUP-B15	SUP-B15	SUP-B15	NA	NA
NA	SUP-HD1	NA	SUP-HD1	SUP-HD1	SUP-HD1	NA	NA
NA	SUP-M2	NA	SUP-M2	SUP-M2	SUP-M2	NA	SUPM2
NA	SUP-T11	NA	NA	NA	SUP-T11	NA	NA
NA	SW 1271	NA	SW1271	SW1271	SW 1271	SW 1271	NA
NA	SW 1353	NA	NA	NA	SW 1353	NA	SW1353
NA	SW480	NA	NA	NA	NA	NA	SW480
NA	SW579	NA	NA	NA	SW579	NA	NA
NA	T.T	NA	T-T	T-T	NA	NA	NA
NA	T3M-10	NA	NA	NA	T3M-10	NA	NA
NA	T3M-4	NA	NA	NA	NA	NA	NA
NA	TC-32	NA	NA	NA	NA	NA	TC32
NA	TC-71	NA	TC-71	TC-71	TC-71	NA	TC71
NA	TCC-PAN2	NA	NA	NA	TCC-PAN2	NA	NA
NA	TE 125.T	NA	NA	NA	NA	NA	NA
NA	TE 159.T	NA	NA	NA	NA	NA	NA
NA	TE 441.T	NA	TE-441-T	TE-441-T	TE 441.T	NA	NA
NA	TE 617.T	NA	NA	NA	TE 617.T	NA	NA
NA	TE-14	NA	NA	NA	TE-14	NA	NA
NA	TE-4	NA	TE-4	TE-4	TE-4	NA	NA
NA	TEN	NA	NA	NA	NA	NA	NA
NA	TF-1	NA	NA	TF-1	TF-1	NA	NA
NA	TIG-3 TD	NA	NA	NA	NA	NA	NA
NA	TM-31	NA	NA	NA	TM-31	NA	NA
NA	TO 175.T	NA	NA	NA	NA	NA	NA
NA	Toledo	NA	NA	Toledo	Toledo	NA	TOLEDO
NA	TOV-112D	NA	TOV-112D	TOV-112D	TOV-112D	NA	TOV112D
NA	TOV-21G	NA	TOV-21G	TOV-21G	TOV-21G	NA	TOV21G
NA	TT2609-C02	NA	TT2609-C02	TT2609-C02	TT2609-C02	NA	NA
NA	TUHR10TKB	NA	NA	NA	TUHR10TKB	NA	NA
NA	TUHR14TKB	NA	NA	NA	TUHR14TKB	NA	NA
NA	TUHR4TKB	NA	NA	NA	TUHR4TKB	NA	NA
NA	U-138 MG	NA	NA	NA	NA	NA	NA
NA	U-178	NA	NA	NA	NA	NA	NA
NA	U-937	NA	NA	NA	U-937	NA	NA
NA	U-BLC1	NA	NA	NA	U-BLC1	NA	NA
NA	U343	NA	NA	NA	NA	NA	NA
NA	UACC-893	NA	UACC-893	UACC-893	NA	NA	UACC893
NA	UM-UC-1	NA	NA	NA	UM-UC-1	NA	NA
NA	UMRC2	NA	NA	NA	NA	NA	NA
NA	UMRC6	NA	NA	NA	NA	NA	NA
NA	UOK101	NA	NA	NA	NA	NA	NA
NA	UT-7	NA	NA	NA	NA	NA	NA
NA	VCaP	NA	VCaP	VCaP	VCaP	NA	NA
NA	VMRC-LCD	NA	VMRC-LCD	VMRC-LCD	VMRC-LCD	NA	NA
NA	VMRC-LCP	NA	NA	NA	NA	NA	NA
NA	VMRC-RCW	NA	NA	VMRC-RCW	VMRC-RCW	NA	NA
NA	WM-266-4	NA	WM-266-4	NA	WM-266-4	NA	NA
NA	WM-793	NA	NA	NA	WM-793	NA	NA
NA	WM-88	NA	NA	NA	WM-88	NA	NA
NA	WM-983B	NA	NA	NA	WM-983B	NA	NA
NA	WM1799	NA	NA	NA	WM1799	NA	NA
NA	WSU-DLCL2	NA	WSU-DLCL2	WSU-DLCL2	WSU-DLCL2	NA	WSUDLCL2
NA	YD-10B	NA	NA	NA	YD-10B	NA	NA
NA	YD-15	NA	NA	NA	YD-15	NA	NA
NA	YD-38	NA	NA	NA	YD-38	NA	NA
NA	YD-8	NA	NA	NA	YD-8	NA	NA
NA	YMB-1	NA	NA	NA	NA	NA	NA
NA	ZR-75-1	NA	NA	NA	ZR-75-1	NA	ZR751
NA	NA	380	NA	NA	NA	NA	NA
NA	NA	A4-Fuk	A4-Fuk	A4-Fuk	NA	NA	NA
NA	NA	A427	A427	A427	NA	NA	A427
NA	NA	A431	A431	A431	NA	NA	NA
NA	NA	ACN	ACN	ACN	NA	NA	NA
NA	NA	ALL-PO	ALL-PO	ALL-PO	NA	NA	NA
NA	NA	ARH-77	ARH-77	ARH-77	NA	NA	NA
NA	NA	ATN-1	ATN-1	ATN-1	NA	NA	NA
NA	NA	B2-17	NA	NA	NA	NA	NA
NA	NA	BALL-1	BALL-1	BALL-1	NA	NA	BALL1
NA	NA	BB30-HNC	BB30-HNC	BB30-HNC	NA	NA	NA
NA	NA	BB49-HNC	BB49-HNC	BB49-HNC	NA	NA	NA
NA	NA	BB65-RCC	BB65-RCC	BB65-RCC	NA	NA	NA
NA	NA	BC-1	BC-1	BC-1	NA	NA	NA
NA	NA	BC-3	NA	BC-3	NA	NA	NA
NA	NA	BE-13	BE-13	BE-13	NA	NA	NA
NA	NA	BOKU	BOKU	BOKU	NA	NA	NA
NA	NA	BONNA-12	BONNA-12	NA	NA	NA	NA
NA	NA	BPH-1	BPH-1	BPH-1	NA	NA	NA
NA	NA	C-33-A	C-33-A	C-33-A	NA	NA	NA
NA	NA	C-4-II	NA	NA	NA	NA	NA
NA	NA	C8166	C8166	NA	NA	NA	NA
NA	NA	Ca-Ski	Ca-Ski	Ca-Ski	NA	NA	NA
NA	NA	Ca9-22	Ca9-22	Ca9-22	NA	NA	NA
NA	NA	CAL-39	CAL-39	CAL-39	NA	NA	NA
NA	NA	CAL-72	CAL-72	CAL-72	NA	NA	NA
NA	NA	CaR-1	CaR-1	CaR-1	NA	NA	NA
NA	NA	CESS	CESS	CESS	NA	NA	NA
NA	NA	CHP-134	CHP-134	CHP-134	NA	NA	NA
NA	NA	COLO-320-HSR	COLO-320-HSR	COLO-320-HSR	NA	NA	NA
NA	NA	COLO-684	COLO-684	COLO-684	NA	NA	NA
NA	NA	COLO-720E	NA	NA	NA	NA	NA
NA	NA	COLO-824	COLO-824	COLO-824	NA	NA	COLO824
NA	NA	COR-L96CAR	NA	NA	NA	NA	NA
NA	NA	CP66-MEL	CP66-MEL	CP66-MEL	NA	NA	NA
NA	NA	CP67-MEL	NA	CP67-MEL	NA	NA	NA
NA	NA	CRO-AP2	CRO-AP2	CRO-AP2	NA	NA	NA
NA	NA	CRO-AP5	NA	NA	NA	NA	NA
NA	NA	CTB-1	CTB-1	CTB-1	NA	NA	NA
NA	NA	CTV-1	CTV-1	CTV-1	NA	NA	NA
NA	NA	D-245MG	NA	NA	NA	NA	NA
NA	NA	D-247MG	D-247MG	D-247MG	NA	NA	NA
NA	NA	D-263MG	D-263MG	D-263MG	NA	NA	NA
NA	NA	D-336MG	D-336MG	D-336MG	NA	NA	NA
NA	NA	D-384MED	NA	NA	NA	NA	NA
NA	NA	D-392MG	D-392MG	D-392MG	NA	NA	NA
NA	NA	D-397MG	NA	NA	NA	NA	NA
NA	NA	D-423MG	D-423MG	D-423MG	NA	NA	NA
NA	NA	D-458MED	NA	NA	NA	NA	NA
NA	NA	D-502MG	D-502MG	D-502MG	NA	NA	NA
NA	NA	D-538MG	NA	NA	NA	NA	NA
NA	NA	D-542MG	D-542MG	D-542MG	NA	NA	NA
NA	NA	D-556MED	NA	NA	NA	NA	NA
NA	NA	D-566MG	D-566MG	D-566MG	NA	NA	NA
NA	NA	DG-75	DG-75	DG-75	NA	NA	DG75
NA	NA	DJM-1	DJM-1	DJM-1	NA	NA	NA
NA	NA	DOK	DOK	DOK	NA	NA	NA
NA	NA	DoTc2-4510	DoTc2-4510	DoTc2-4510	NA	NA	NA
NA	NA	DSH1	DSH1	DSH1	NA	NA	NA
NA	NA	EB-3	EB-3	EB-3	NA	NA	NA
NA	NA	ECC4	ECC4	ECC4	NA	NA	NA
NA	NA	EGI-1	EGI-1	EGI-1	NA	NA	NA
NA	NA	EoL-1-cell	EoL-1-cell	EoL-1-cell	NA	NA	NA
NA	NA	ES1	ES1	ES1	NA	NA	NA
NA	NA	ES3	ES3	ES3	NA	NA	NA
NA	NA	ES5	ES5	ES5	NA	NA	NA
NA	NA	ES6	ES6	ES6	NA	NA	NA
NA	NA	ES7	ES7	ES7	NA	NA	NA
NA	NA	ES8	ES8	ES8	NA	NA	NA
NA	NA	ETK-1	ETK-1	ETK-1	NA	NA	NA
NA	NA	EW-1	EW-1	EW-1	NA	NA	NA
NA	NA	EW-11	EW-11	EW-11	NA	NA	NA
NA	NA	EW-12	EW-12	EW-12	NA	NA	NA
NA	NA	EW-13	EW-13	EW-13	NA	NA	NA
NA	NA	EW-16	EW-16	EW-16	NA	NA	NA
NA	NA	EW-18	EW-18	EW-18	NA	NA	NA
NA	NA	EW-22	EW-22	EW-22	NA	NA	NA
NA	NA	EW-24	EW-24	EW-24	NA	NA	NA
NA	NA	EW-3	EW-3	EW-3	NA	NA	NA
