nsc	cas	drug_name	idsyn	idnci60	idsclc	matchsclc	diff	correct_index	eq	comments
762381	900573-88-8	JI-101	388	0	388	762381	0	388	TRUE	
756650	847925-91-1	RG-4733	594	0	594	756650	0	594	TRUE	
755980	417716-92-8	E-7080	0	0	426	755980	426	426	TRUE	
766820	862507-23-1	LY-2228820	441	0	441	766820	0	441	TRUE	
762153	918332-89-5	ST-3595	642	0	642	762153	0	642	TRUE	
764041	761439-42-3	TAE-684	504	504	504	764041	-504	504	TRUE	
764037	1334493-07-0	BP-1-102	165	0	165	764037	0	165	TRUE	
755	6112-76-1	Mercaptopurine	0	12	12	755	0	12	TRUE	
756654	208260-29-1	ZM-336372	744	0	744	756654	0	744	TRUE	
763444	952021-60-2	PF-477736	550	0	550	763444	0	550	TRUE	
763930	871357-89-0	AS-703569	77	0	77	763930	0	77	TRUE	
649890	131740-09-5	Flavopiridol	0	48	48	649890	0	48	TRUE	
764608	1263384-43-5	BAL-101553	114	0	114	764608	0	114	TRUE	
754366	343247-32-5	XR-5944	732	0	732	754366	0	732	TRUE	
715055	184475-35-2	Gefitinib	0	321	321	715055	0	321	TRUE	
755761	284028-89-3	XAV-939	718	718	718	755761	-718	718	TRUE	
71423	595-33-5	Megestrol acetate	0	454	454	71423	0	454	TRUE	
27640	50-91-9	Floxuridine	0	304	304	27640	0	304	TRUE	
722134	502844-51-1	PX-866	573	0	573	722134	0	573	TRUE	
758773	827031-83-4	EP-90745	286	0	286	758773	0	286	TRUE	
85998	18883-66-4	Streptozocin	0	645	645	85998	0	645	TRUE	
754347		Peptide [CRGDKGPDC - cys & cys bridge	0	0	538	754347	538	538	TRUE	
754358	787632-66-0	JNJ-27291199	391	0	391	754358	0	391	TRUE	
719627	169590-42-5	Celecoxib	0	192	192	719627	0	192	TRUE	
755983	755038-02-9	BI-2536	131	131	131	755983	-131	131	TRUE	
764092	1086062-66-9	GSK-2126458	333	333	333	764092	-333	333	TRUE	
718781	183319-69-9	Erlotinib	0	290	290	718781	0	290	TRUE	
758242	1000873-98-2	ARQ-197	68	0	68	758242	0	68	TRUE	
747973	219989-84-1	Ixabepilone	0	387	387	747973	0	387	TRUE	
759096	143621-35-6 	3-AP	8	0	8	759096	0	8	TRUE	
764609	413611-93-5	10074-G5	0	0	0		0	0	TRUE	
758774	414864-00-9	PD-105684	0	123	123	758774	0	123	TRUE	
760144	896466-76-5	AT-9283	91	0	91	760144	0	91	TRUE	
767745	446022-33-9	AG-2037	41	0	41	767745	0	41	TRUE	
721517	118072-93-8	Zolendronic acid	0	746	747	721517	1	746	FALSE	merge 147 to 146 and remove 147
673596	86639-52-3	7-Ethyl-10-hydroxycamptothecin	0	14	14	673596	0	14	TRUE	
754357	927880-90-8	RAF-265	586	586	586	754357	-586	586	TRUE	
38721	53-19-0	Mitotane	0	248	465	38721	217	465	TRUE	to correct 248 ?
701852	149647-78-9	Vorinostat	0	706	706	701852	0	706	TRUE	
747599	641571-10-0	Nilotinib	0	493	493	747599	0	493	TRUE	
755762	747412-49-3	AUY-922	93	93	93	755762	-93	93	TRUE	
767124	170364-57-5	LY-317615	450	450	450	767124	-450	450	TRUE	
764036	779353-01-4	MK-7965	263	0	263	764036	0	263	TRUE	
221019	19545-26-7	Wortmannin	0	713	713	221019	0	713	TRUE	
755767	104987-11-3	Tacrolimus	0	0	649	755767	649	649	TRUE	
766288	1002304-34-8	AMG-208	51	0	51	766288	0	51	TRUE	
45923	298-81-7	Methoxsalen	0	0	457	45923	457	457	TRUE	
740	59-05-2	Methotrexate	0	456	456	740	0	456	TRUE	
756656	1032350-13-2	MK-2206	470	470	470	756656	-470	470	TRUE	
754364	877874-85-6	Targegen B-Raf/PDGFR inhibitor Cpd 6	0	0	659	754364	659	659	TRUE	
758257	1234015-52-1	LY-2606368	443	0	443	758257	0	443	TRUE	
765775	210829-30-4	CO-101	220	0	220	765775	0	220	TRUE	
169780	24584-09-6	Dexrazoxone	0	259	260	169780	1	260	TRUE	
759660	1187559-66-5	OSI-027	514	514	514	759660	-514	514	TRUE	
698037		NSC698037	0	536	536	698037	0	536	TRUE	
763443	675576-97-3	NSC763443	0	0	0		0	0	TRUE	
761389		NSC761389	0	0	587	747974;761389	587	587	TRUE	
755768		NSC755768	0	0	306	755768;755764	306	306	TRUE	
756876	675576-98-4	NSC756876	0	0	0		0	0	TRUE	
764755	17397-89-6	NSC764755	0	0	0		0	0	TRUE	
686673		NSC686673	0	0	65	686673	65	65	TRUE	
756651		NSC756651	0	0	539	756651	539	539	TRUE	
756875	548472-68-0	NSC756875	0	0	0		0	0	TRUE	
774901		NSC774901	0	0	104	774901	104	104	TRUE	
758255		NSC758255	0	664	664	758255;122819	0	664	TRUE	
751549		NSC751549	0	0	632	751549	632	632	TRUE	
681239		NSC681239	0	162	161	681239	-1	162	FALSE	merge 161 to 162 and remove 161
