"stripped_cell_line_name"	"CCLE_Name"	"Alias"	"COSMICID"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"primary_disease"	"Subtype"	"age"	"Sanger_Model_ID"	"depmap_public_comments"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"depmap_id"	"cdb.name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"EMT"	"NAPY"	"TNBC"
"EW8"	"EW8_BONE"	""	NA	"Male"	"Academic lab"	2	-2.8727311	"Adherent"	"DMEM + 10% FBS + 2mM L-glutamine"	"43.2"	"CVCL_V618"	"bone"	""	"Bone Cancer"	"Ewings Sarcoma"	NA	""	""	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"ACH-000499"	"EW8"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"Epithelial-Mesenchymal"	NA	NA
"EWS502"	"EWS502_BONE"	""	NA	"Unknown"	"Academic lab"	2	-4.5506679	"Adherent"	"RPMI + 15% FBS + 2mM Glutamine"	"15.7"	"CVCL_S740"	"bone"	""	"Bone Cancer"	"Ewings Sarcoma"	NA	""	""	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"ACH-000279"	"EWS502"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"Mesenchymal"	NA	NA
"F36P"	"F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Male"	"DSMZ"	2	-4.3182238	"Suspension"	"RPMI + 20% FBS + 10ng/ml GM-CSF"	"17.7"	"CVCL_2037"	"pleural_effusion"	"Metastasis"	"Leukemia"	"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)"	68	""	""	"blood"	"AML"	"M6"	""	"ACH-000487"	"F-36P"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	NA	NA	NA
"F5"	"F5_CENTRAL_NERVOUS_SYSTEM"	""	NA	"Male"	"Academic lab"	2	-3.3772453	"Adherent"	"RPMI + 10% FBS"	"44.7"	"CVCL_V616"	"central_nervous_system"	""	"Brain Cancer"	"Meningioma"	NA	""	""	"central_nervous_system"	"meningioma"	""	""	"ACH-001067"	"F5"	"central_nervous_system: meningioma"	"Brain_CNS"	"Meningothelial Tumor (MNGT)"	"Meningioma (MNG)"	NA	"Mesenchymal"	NA	NA
"FADU"	"FADU_UPPER_AERODIGESTIVE_TRACT"	""	906863	"Male"	"ATCC"	2	-3.0507096	""	"MEM + 10% FBS"	"7.5"	"CVCL_1218"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma"	56	"SIDM00860"	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	""	""	"ACH-000846"	"FaDu"	"upper_aerodigestive_tract: squamous_cell_carcinoma"	"Head_Neck"	NA	NA	NA	"Epithelial"	NA	NA
"FLO1"	"FLO1_OESOPHAGUS"	""	1503361	"Male"	"Sigma-Aldrich"	2	-3.0997283	"Adherent"	"DMEM + 10% FBS + 2mM Glutamine"	"29.9"	"CVCL_2045"	"oesophagus"	"Primary"	"Esophageal Cancer"	"Adenocarcinoma"	NA	"SIDM01041"	""	"esophagus"	"esophagus_adenocarcinoma"	""	""	"ACH-001500"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FTC133"	"FTC133_THYROID"	""	906864	"Male"	"ECACC"	2	-4.1635188	""	"DMEM:F12 (1:1) + 10% FBS + 2mM Glutamine"	"24.9"	"CVCL_1219"	"thyroid"	"Metastasis"	"Thyroid Cancer"	"Carcinoma, anaplastic"	42	"SIDM00213"	""	"thyroid"	"thyroid_carcinoma"	"anaplastic"	""	"ACH-000903"	"FTC-133"	"thyroid: follicular_carcinoma"	"Thyroid"	"Follicular Thyroid Cancer (THFO)"	NA	NA	"Mesenchymal"	NA	NA
"FU97"	"FU97_STOMACH"	""	1290806	"Female"	"HSRRB"	2	-3.5022095	"Adherent"	"DMEM + 10% FBS + 0.01mg/ml Insulin"	"31.2"	"CVCL_2908"	"stomach"	"Primary"	"Gastric Cancer"	"Adenocarcinoma"	66	"SIDM00503"	""	"gastric"	"gastric_adenocarcinoma"	"diffuse_gastric"	""	"ACH-000633"	"FU97"	"stomach: diffuse_adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial-Mesenchymal"	NA	NA
"G292CLONEA141B1"	"G292CLONEA141B1_BONE"	"G292CLONEA141B1, G-292 clone A141B1"	1290807	"Female"	"ATCC"	2	-4.3658538	"Adherent"	"McCoy's 5A + 10% FBS"	"24.8"	"CVCL_2909"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	9	"SIDM00858"	""	"bone"	"osteosarcoma"	""	""	"ACH-000082"	"G-292, clone A141B1"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"Mesenchymal"	NA	NA
"G401"	"G401_SOFT_TISSUE"	""	907299	"Male"	"ATCC"	2	-2.4053085	"Adherent"	"McCoy's 5A + 10% FBS"	"62"	"CVCL_0270"	"kidney"	"Primary"	"Rhabdoid"	"Malignant Rhabdoid Tumor"	0.25	"SIDM00856"	""	"kidney"	"malignant_rhabdoid_tumor"	""	""	"ACH-000096"	"G-401"	"soft_tissue: rhabdoid_tumour"	"Soft_Tissue"	NA	NA	NA	"Mesenchymal"	NA	NA
"G402"	"G402_SOFT_TISSUE"	""	907298	"Female"	"ATCC"	2	-3.281018	"Adherent"	"McCoy's 5A + 10% FBS"	"18.9"	"CVCL_1221"	"kidney"	"Primary"	"Kidney Cancer"	"Renal Leiomyoblastoma"	0.75	"SIDM00855"	""	"soft_tissue"	"malignant_rhabdoid_tumor"	"renal_leiomyoblastoma"	""	"ACH-000375"	"G-402"	"soft_tissue: rhabdoid_tumour"	"Soft_Tissue"	NA	NA	NA	"Mesenchymal"	NA	NA
"GAMG"	"GAMG_CENTRAL_NERVOUS_SYSTEM"	""	906868	"Female"	"DSMZ"	2	-5.0263148	"Adherent"	"DMEM + 10% FBS + 2mM Glutamax"	"8.9"	"CVCL_1226"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioblastoma"	42	"SIDM01055"	""	"central_nervous_system"	"glioma"	"glioblastoma"	""	"ACH-000098"	"GAMG"	"central_nervous_system: glioma"	"Brain_CNS"	NA	NA	NA	"Mesenchymal"	NA	NA
"GB1"	"GB1_CENTRAL_NERVOUS_SYSTEM"	""	687568	"Male"	"HSRRB"	2	-4.7768916	"Adherent"	"MEM + 10% FBS"	"11"	"CVCL_1227"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioblastoma"	35	"SIDM00581"	""	"central_nervous_system"	"glioma"	"glioblastoma"	""	"ACH-000738"	"GB-1"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"Mesenchymal"	NA	NA
"GCIY"	"GCIY_STOMACH"	""	906869	"Female"	"RIKEN"	2	-5.0234258	"Adherent"	"MEM + 15% FBS"	"10.4"	"CVCL_1228"	"ascites"	"Metastasis"	"Gastric Cancer"	"Adenocarcinoma"	NA	"SIDM00274"	""	"gastric"	"gastric_adenocarcinoma"	""	""	"ACH-000047"	"GCIY"	"stomach: adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial-Mesenchymal"	NA	NA
"GCT"	"GCT_SOFT_TISSUE"	""	906999	"Male"	"ATCC"	2	-5.1595671	"Adherent"	"McCoy's 5A + 10% FBS"	"20.2"	"CVCL_1229"	"soft_tissue"	"Metastasis"	"Sarcoma"	"Pleomorphic Sarcoma"	29	"SIDM00853"	""	"soft_tissue"	"pleomorphic_sarcoma"	""	""	"ACH-000835"	"GCT"	"soft_tissue: malignant_fibrous_histiocytoma-pleomorphic_sarcoma"	"Soft_Tissue"	"Undifferentiated Pleomorphic Sarcoma / Malignant Fibrous Histiocytoma / High Grade Spindle Cell Sarcoma (MFH)"	NA	NA	"Mesenchymal"	NA	NA
"GI1"	"GI1_CENTRAL_NERVOUS_SYSTEM"	""	906871	"Male"	"RIKEN"	1	-3.6710405	"Adherent"	"DMEM + 10% FBS"	"4.1"	"CVCL_1231"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioblastoma"	61	"SIDM00273"	""	"central_nervous_system"	"glioma"	"glioblastoma"	""	"ACH-000756"	"GI-1"	"central_nervous_system: gliosarcoma"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Glioblastoma (GB)"	"Gliosarcoma (GSARC)"	"Mesenchymal"	NA	NA
"GIMEN"	"GIMEN_AUTONOMIC_GANGLIA"	""	906872	"Male"	"DSMZ"	1	-1.2284316	"Adherent"	"RPMI + 10% FBS"	"52.9"	"CVCL_1232"	"bone_marrow"	"Metastasis"	"Neuroblastoma"	""	4	"SIDM00227"	""	"peripheral_nervous_system"	"neuroblastoma"	""	""	"ACH-001344"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GP5D"	"GP5D_LARGE_INTESTINE"	""	907291	"Female"	"Sigma-Aldrich"	2	-2.2528614	"Adherent"	"DMEM + 10% FBS"	"9.8"	"CVCL_1235"	"Colon"	"Primary"	"Colon/Colorectal Cancer"	"Adenocarcinoma"	71	"SIDM00537"	""	"colorectal"	"colorectal_adenocarcinoma"	""	""	"ACH-001345"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GSS"	"GSS_STOMACH"	""	NA	"Male"	"RIKEN"	2	-3.0552084	"Suspension"	"RPMI + 10% FBS"	"12.1"	"CVCL_8876"	"liver"	"Metastasis"	"Gastric Cancer"	"Adenocarcinoma"	75	""	""	"gastric"	"gastric_adenocarcinoma"	""	""	"ACH-000746"	"GSS"	"stomach: adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial-Mesenchymal"	NA	NA
"GSU"	"GSU_STOMACH"	""	NA	"Male"	"RIKEN"	2	-3.3732359	"Mixed adherent and suspension"	"RPMI + 10% FBS"	"15.3"	"CVCL_8877"	"ascites"	"Metastasis"	"Gastric Cancer"	"Adenocarcinoma"	37	""	""	"gastric"	"gastric_adenocarcinoma"	""	""	"ACH-000485"	"GSU"	"stomach: adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial"	NA	NA
"H103"	"H103_UPPER_AERODIGESTIVE_TRACT"	""	NA	"Male"	"Sigma-Aldrich"	2	-4.3683447	"Adherent"	"HITES + 10% FBS + 2mM Glutamine + 0.5ug/ml Sodium hydrocortisone succinate"	"11.3"	"CVCL_2457"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, buccal mucosa"	32	""	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"buccal_mucosa"	""	"ACH-001346"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"H357"	"H357_UPPER_AERODIGESTIVE_TRACT"	""	NA	"Male"	"Sigma-Aldrich"	2	-2.4094611	"Adherent"	"DMEM:F12 (1:1) + 10% FBS + 2mM Glutamine + 0.5ug/ml Sodium hydrocortisone succinate"	"7.7"	"CVCL_2462"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, tongue"	74	""	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"tongue"	""	"ACH-001509"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"H376"	"H376_UPPER_AERODIGESTIVE_TRACT"	""	NA	"Female"	"Sigma-Aldrich"	2	-4.2359834	"Adherent"	"DMEM:F12 (1:1) + 10% FBS + 2mM Glutamine + 0.5ug/ml Sodium hydrocortisone succinate"	"11.8"	""	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	40	""	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-001510"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"H4"	"H4_CENTRAL_NERVOUS_SYSTEM"	""	907042	"Male"	"ATCC"	2	-2.4427397	"Adherent"	"RPMI + 10% FBS"	"27.1"	"CVCL_1239"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioma"	37	"SIDM00852"	""	"central_nervous_system"	"glioma"	""	""	"ACH-000389"	"H4"	"central_nervous_system: glioma"	"Brain_CNS"	NA	NA	NA	"Mesenchymal"	NA	NA
"H413"	"H413_UPPER_AERODIGESTIVE_TRACT"	""	NA	"Female"	"Sigma-Aldrich"	2	-4.4629665	"Adherent"	"DMEM:F12 (1:1) + 10% FBS + 2mM Glutamine + 0.5ug/ml Sodium hydrocortisone succinate"	"8.6"	""	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, buccal mucosa"	53	""	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"buccal_mucosa"	""	"ACH-001511"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HARA"	"HARA_LUNG"	""	1240142	"Male"	"HSRRB"	2	-4.0677529	"Adherent"	"RPMI + 10% FBS"	"39.3"	"CVCL_2914"	"pleural_effusion"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"	57	"SIDM00598"	""	"lung"	"NSCLC"	"NSCLC_squamous"	""	"ACH-000843"	"HARA"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"Epithelial"	NA	NA
"HB1119"	"HB1119_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Unknown"	"Academic lab"	2	-4.7746299	"Suspension"	"RPMI + 10% FBS"	"9.3"	"CVCL_8227"	"haematopoietic_and_lymphoid_tissue"	""	"Leukemia"	"Acute Lymphoblastic Leukemia (ALL), B-cell"	NA	""	""	"blood"	"ALL"	"b_cell"	""	"ACH-001736"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HCA1"	"HCA1_CERVIX"	""	NA	"Female"	"JCRB"	2	-4.4256195	"Adherent"	"MEM + 10% FBS"	"12.6"	""	"cervix"	"Metastasis"	"Cervical Cancer"	"Endocervical Adenocarcinoma"	NA	""	""	"cervix"	"cervical_adenocarcinoma"	"endocervical"	""	"ACH-001513"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HCC1143"	"HCC1143_BREAST"	""	749710	"Female"	"ATCC"	2	-3.4899515	"Adherent"	"RPMI + 10% FBS"	"16"	"CVCL_1245"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	52	"SIDM00866"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2neg"	"basal_A"	"ACH-000374"	"HCC1143"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	"Breast Triple Negative"
"HCC1187"	"HCC1187_BREAST"	""	749711	"Female"	"ATCC"	2	-2.7622338	"Mixed adherent and suspension"	"RPMI + 10% FBS"	"9.2"	"CVCL_1247"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	41	"SIDM00885"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2neg"	"basal_A"	"ACH-000111"	"HCC1187"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	"Breast Triple Negative"
"HCC1359"	"HCC1359_LUNG"	""	NA	"Female"	"KCLB"	3	-4.7091893	""	"RPMI + 10% FBS"	"19.3"	"CVCL_5128"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"	55	""	""	"lung"	"NSCLC"	"NSCLC_large_cell"	""	"ACH-000901"	"HCC-1359"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"Mesenchymal"	NA	NA
"HCC1395"	"HCC1395_BREAST"	""	749712	"Female"	"ATCC"	3	-5.1339743	"Adherent"	"RPMI + 10% FBS"	"52.6"	"CVCL_1249"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	43	"SIDM00884"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2neg"	"basal_B"	"ACH-000699"	"HCC1395"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Mesenchymal"	NA	"Breast Triple Negative"
"HCC1419"	"HCC1419_BREAST"	""	907045	"Female"	"ATCC"	2	-3.0940225	"Adherent"	"RPMI + 10% FBS"	"48.7"	"CVCL_1251"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	42	"SIDM00882"	""	"breast"	"breast_ductal_carcinoma"	"ERpos_HER2pos"	"HER2_amp"	"ACH-000277"	"HCC1419"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	NA
"HCC1428"	"HCC1428_BREAST"	""	1290905	"Female"	"ATCC"	2	-4.7118597	"Adherent"	"RPMI + 10% FBS"	"7.5"	"CVCL_1252"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	49	"SIDM00881"	""	"breast"	"breast_carcinoma"	"ERpos_HER2neg"	"luminal"	"ACH-000352"	"HCC1428"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Epithelial"	NA	NA
"HCC15"	"HCC15_LUNG"	""	1240143	"Male"	"DSMZ"	2	-1.472486	"Adherent"	"RPMI + 10% FBS"	"11.9"	"CVCL_2057"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"	47	"SIDM01072"	""	"lung"	"NSCLC"	"NSCLC_squamous"	""	"ACH-000878"	"HCC-15"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"Epithelial-Mesenchymal"	NA	NA
"HCC1806"	"HCC1806_BREAST"	""	907047	"Female"	"ATCC"	3	-5.8562532	"Adherent"	"RPMI + 10% FBS"	"2.6"	"CVCL_1258"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	60	"SIDM00875"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2neg"	"basal_A"	"ACH-000624"	"HCC1806"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	"Breast Triple Negative"
"HCC1937"	"HCC1937_BREAST"	""	749714	"Female"	"ATCC"	2	-5.064641	"Adherent"	"RPMI + 10% FBS"	"12.5"	"CVCL_0290"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	24	"SIDM00874"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2neg"	"basal_A"	"ACH-000223"	"HCC1937"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	"Breast Triple Negative"
"HCC1954"	"HCC1954_BREAST"	""	749709	"Female"	"ATCC"	2	-2.6159537	"Adherent"	"RPMI + 10% FBS"	"33.2"	"CVCL_1259"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	61	"SIDM00872"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2pos"	"basal_A"	"ACH-000859"	"HCC1954"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	NA
"HCC202"	"HCC202_BREAST"	""	1290906	"Female"	"ATCC"	2	-2.9969431	"Adherent"	"RPMI + 10% FBS"	"16.8"	"CVCL_2062"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	82	"SIDM00870"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2pos"	"HER2_amp"	"ACH-000725"	"HCC202"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	NA
"HCC2429"	"HCC2429_LUNG"	""	NA	"Female"	"Academic lab"	2	-3.4509233	"Adherent"	"RPMI + 10% FBS"	"24.6"	"CVCL_5132"	"lung"	""	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), unspecified"	34	""	""	"lung"	"NSCLC"	""	""	"ACH-000143"	"HCC2429"	"Lung"	"Lung"	NA	NA	NA	NA	NA	NA
"HCC2450"	"HCC2450_LUNG"	""	NA	"Male"	"Academic lab"	2	-4.8847947	"Adherent"	"RPMI + 10% FBS"	"29.2"	"CVCL_5133"	"lung"	""	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"	52	""	""	"lung"	"NSCLC"	"NSCLC_squamous"	""	"ACH-000975"	"HCC2450"	"Lung"	"Lung"	NA	NA	NA	NA	NA	NA
"HCC2935"	"HCC2935_LUNG"	""	NA	"Male"	"ATCC"	1	-3.183795	"Adherent"	"RPMI + 10% FBS"	"16.8"	"CVCL_1265"	"pleural_effusion"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	39	""	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000150"	"HCC2935"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"Epithelial"	NA	NA
"HCC366"	"HCC366_LUNG"	""	1240144	"Female"	"DSMZ"	2	-2.3387543	"Adherent"	"RPMI + 10% FBS"	"14.5"	"CVCL_2059"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma"	80	"SIDM01070"	""	"lung"	"NSCLC"	"NSCLC_adenosquamous"	""	"ACH-000840"	"HCC-366"	"lung: mixed_adenosquamous_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"Epithelial-Mesenchymal"	NA	NA
"HCC38"	"HCC38_BREAST"	""	749717	"Female"	"ATCC"	1	-3.2670763	"Adherent"	"Waymouth's MB 752/1 + 10% FBS"	"39.2"	"CVCL_1267"	"breast"	"Primary"	"Breast Cancer"	"Breast Ductal Carcinoma"	50	"SIDM00675"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2neg"	"basal_A"	"ACH-000276"	"HCC38"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Epithelial"	NA	"Breast Triple Negative"
"HCC44"	"HCC44_LUNG"	""	1240145	"Female"	"DSMZ"	2	-4.7086513	"Adherent"	"RPMI + 10% FBS"	"6.7"	"CVCL_2060"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	54	"SIDM01069"	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000667"	"HCC-44"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"Epithelial-Mesenchymal"	NA	NA
"HCC461"	"HCC461_LUNG"	""	NA	"Male"	"Academic lab"	3	-4.8402382	"Adherent"	"RPMI + 10% FBS"	"6.9"	"CVCL_5135"	"lung"	""	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	""	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000339"	"HCC461"	"Lung"	"Lung"	NA	NA	NA	NA	NA	NA
"HCC515"	"HCC515_LUNG"	""	NA	"Female"	"Academic lab"	3	-3.3476349	"Adherent"	"RPMI + 10% FBS"	"27.3"	"CVCL_5136"	"lung"	""	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	""	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000872"	"HCC515"	"Lung"	"Lung"	NA	NA	NA	NA	NA	NA
"HCC56"	"HCC56_LARGE_INTESTINE"	""	1290907	"Unknown"	"HSRRB"	3	-3.8193187	"Adherent"	"MEM + 10% FBS"	"28.1"	"CVCL_2917"	"large_intestine"	""	"Colon/Colorectal Cancer"	"Adenocarcinoma"	NA	"SIDM00597"	""	"colorectal"	"colorectal_adenocarcinoma"	""	""	"ACH-000467"	"HCC-56"	"large_intestine: adenocarcinoma"	"Bowel"	"Colorectal Adenocarcinoma (COADREAD)"	NA	NA	"Epithelial"	NA	NA
"HCC827"	"HCC827_LUNG"	""	1240146	"Female"	"ATCC"	3	-4.2429978	"Adherent"	"RPMI + 10% FBS"	"12.7"	"CVCL_2063"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	39	"SIDM01067"	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000012"	"HCC827"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"Epithelial"	NA	NA
"HCC827GR5"	"HCC827GR5_LUNG"	"HCC827 GR5"	NA	"Female"	"Academic lab"	2	-4.5199492	"Adherent"	"RPMI + 5% FBS"	"50.9"	"CVCL_V622"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	39	""	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000029"	"HCC-827-GR5"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"Epithelial"	NA	NA
"HCC95"	"HCC95_LUNG"	""	NA	"Male"	"KCLB"	2	-2.9853455	"Adherent"	"RPMI + 10% FBS"	"13.3"	"CVCL_5137"	"pleural_effusion"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"	65	""	""	"lung"	"NSCLC"	"NSCLC_squamous"	""	"ACH-000454"	"HCC-95"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"Epithelial"	NA	NA
"HCS2"	"HCS2_CERVIX"	""	NA	"Female"	"JCRB"	2	-3.9224376	"Adherent"	"MEM + 15% FBS"	"3"	""	"cervix"	"Metastasis"	"Cervical Cancer"	"Squamous Cell Carcinoma"	42	""	""	"cervix"	"cervical_squamous"	""	""	"ACH-001515"	NA	NA	NA	NA	NA	NA	NA	NA	NA
