,COSMIC.identifier,Sample.Name,Sample.Name.Old,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,Name,TissueType,OncoTree1,OncoTree2,OncoTree3,OncoTree4,EMT,NAPY,TNBC,CellosaurusID
97,749712,HCC1395,HCC1395,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1395,NA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Mesenchymal,NA,Breast Triple Negative,
98,749713,HCC1599,HCC1599,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Suspension,HCC1599,NA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,Breast Triple Negative,
99,749714,HCC1937,HCC1937,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1937,NA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,Breast Triple Negative,
100,749715,HCC2157,HCC2157,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension,HCC2157,BRCA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,Breast Triple Negative,
101,749716,HCC2218,HCC2218,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Suspension,HCC2218,BRCA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,NA,
102,749717,HCC38,HCC38,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC38,BRCA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,Breast Triple Negative,
103,753531,BB30-HNC,BB30-HNC,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BB30-HNC,HNSC,Head_Neck,NA,NA,NA,Epithelial,NA,NA,
104,753532,BB49-HNC,BB49-HNC,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BB49-HNC,HNSC,Head_Neck,NA,NA,NA,Mesenchymal,NA,NA,
105,753533,BB65-RCC,BB65-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,BB65-RCC,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Epithelial-Mesenchymal,NA,NA,
106,753534,BEN,BEN,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,BEN,CANNOT_CLASSIFY,Lung,NA,NA,NA,Epithelial,NA,NA,
107,753535,BHY,BHY,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BHY,HNSC,Head_Neck,NA,NA,NA,Epithelial,NA,NA,
108,753538,Ca9-22,Ca9-22,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Ca9-22,HNSC,Head_Neck,NA,NA,NA,Epithelial,NA,NA,
109,753539,CADO-ES1,CADO-ES1,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension,CADO-ES1,NA,Bone,Ewing Sarcoma (ES),NA,NA,Mesenchymal,NA,NA,
110,753540,CAL-12T,CAL-12T,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,CAL-12T,CANNOT_CLASSIFY,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Epithelial,NA,NA,
111,753541,CAL-33,CAL-33,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,CAL-33,HNSC,Head_Neck,NA,NA,NA,Epithelial,NA,NA,
112,753545,CP50-MEL-B,CP50-MEL-B,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,CP50-MEL-B,SKCM,Skin,NA,NA,NA,Mesenchymal,NA,NA,
113,753546,CP66-MEL,CP66-MEL,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,CP66-MEL,NA,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
114,753547,CPC-N,CPC-N,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,CPC-N,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Mesenchymal,NEUROD1,NA,
115,753548,CTV-1,CTV-1,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSI-H,R,Suspension,CTV-1,LAML,Blood,Leukemia (LEUK),Acute Myeloid Leukemia (AML),NA,NA,NA,NA,
116,753549,D-542MG,D-542MG,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,D-542MG,GBM,Brain_CNS,NA,NA,NA,Mesenchymal,NA,NA,
117,753551,DMS-79,DMS-79,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,,R,Suspension,DMS-79,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,ASCL1,NA,
118,753552,DSH1,DSH1,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent,DSH1,BLCA,Bladder_Urinary_Tract,NA,NA,NA,Epithelial,NA,NA,
119,753554,EBC-1,EBC-1,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,EBC-1,LUSC,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Squamous Cell Carcinoma (LUSC),NA,Epithelial,NA,NA,
120,753555,EC-GI-10,EC-GI-10,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,EC-GI-10,NA,Esophagus_Stomach,NA,NA,NA,Epithelial,NA,NA,
121,753556,EPLC-272H,EPLC-272H,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,EPLC-272H,LUSC,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Squamous Cell Carcinoma (LUSC),NA,Epithelial,NA,NA,
122,753558,HA7-RCC,HA7-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,HA7-RCC,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Epithelial-Mesenchymal,NA,NA,
123,753559,HCE-4,HCE-4,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,HCE-4,NA,Esophagus_Stomach,NA,NA,NA,Epithelial-Mesenchymal,NA,NA,
124,753561,HO-1-u-1,HO-1-u-1,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HO-1-u-1,HNSC,Head_Neck,NA,NA,NA,Epithelial,NA,NA,
125,753562,HSC-2,HSC-2,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HSC-2,HNSC,Head_Neck,NA,NA,NA,Epithelial-Mesenchymal,NA,NA,
126,753563,IM-9,IM-9,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,IM-9,NA,Blood,Multiple Myeloma (MM),NA,NA,NA,NA,NA,
127,753564,IST-SL1,IST-SL1,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,IST-SL1,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
128,753565,IST-SL2,IST-SL2,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,IST-SL2,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,POU2F3,NA,
129,753566,J82,J82,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,J82,BLCA,Bladder_Urinary_Tract,Bladder Urothelial Carcinoma (BLCA),NA,NA,Mesenchymal,NA,NA,
130,753569,KNS-62,KNS-62,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,KNS-62,LUSC,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Squamous Cell Carcinoma (LUSC),NA,Epithelial,NA,NA,
131,753570,KOSC-2,KOSC-2,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,KOSC-2,HNSC,Head_Neck,NA,NA,NA,Epithelial,NA,NA,
132,753572,KP-4,KP-4,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,KP-4,PAAD,Pancreas,Pancreatic Adenocarcinoma (PAAD),NA,NA,Mesenchymal,NA,NA,
133,753573,KYSE-140,KYSE-140,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-140,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial,NA,NA,
134,753574,KYSE-410,KYSE-410,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-410,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial,NA,NA,
135,753575,KYSE-520,KYSE-520,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-520,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial-Mesenchymal,NA,NA,
136,753576,KYSE-70,KYSE-70,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-70,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial-Mesenchymal,NA,NA,
137,753577,LB1047-RCC,LB1047-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSI-H,D/F12,Adherent,LB1047-RCC,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Mesenchymal,NA,NA,
138,753578,LB2241-RCC,LB2241-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,LB2241-RCC,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Epithelial-Mesenchymal,NA,NA,
139,753579,LB2518-MEL,LB2518-MEL,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,LB2518-MEL,NA,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
140,753581,LB373-MEL-D,LB373-MEL-D,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,LB373-MEL-D,SKCM,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
141,753582,LB647-SCLC,LB647-SCLC,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,LB647-SCLC,NA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,NEUROD1,NA,
142,753583,LB771-HNC,LB771-HNC,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,LB771-HNC,HNSC,Head_Neck,NA,NA,NA,Mesenchymal,NA,NA,
143,753584,LB831-BLC,LB831-BLC,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,LB831-BLC,BLCA,Bladder_Urinary_Tract,NA,NA,NA,Mesenchymal,NA,NA,
144,753585,LB996-RCC,LB996-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,LB996-RCC,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Mesenchymal,NA,NA,
145,753586,LCLC-103H,LCLC-103H,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,LCLC-103H,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Epithelial-Mesenchymal,NA,NA,
146,753588,LU-134-A,LU-134-A,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-134-A,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,NEUROD1,NA,
147,753589,LU-165,LU-165,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-165,NOT_TCGA,Lung,NA,NA,NA,Epithelial-Mesenchymal,NA,NA,
148,753592,LXF-289,LXF-289,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,LXF-289,NA,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Mesenchymal,NA,NA,
149,753594,MS-1,MS-1,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,MS-1,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Mesenchymal,NEUROD1,NA,
150,753595,MZ1-PC,MZ1-PC,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,MZ1-PC,PAAD,Pancreas,NA,NA,NA,Epithelial,NA,NA,
151,753596,MZ7-mel,MZ7-mel,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,MZ7-mel,SKCM,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
152,753597,NCI-H128,NCI-H128,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H128,NA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,NA,ASCL1,NA,
153,753599,NCI-H1304,NCI-H1304,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1304,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,NEUROD1,NA,
154,753600,NCI-H1563,NCI-H1563,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1563,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Mesenchymal,NA,NA,
155,753604,NCI-H292,NCI-H292,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,,MSS/MSI-L,R,Adherent,NCI-H292,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
156,753605,NCI-H510A,NCI-H510A,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Semi-Adherent,NCI-H510A,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,ASCL1,NA,
157,753607,NCI-H835,NCI-H835,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,R,Suspension,NCI-H835,NOT_TCGA,Lung,NA,NA,NA,Epithelial-Mesenchymal,NA,NA,
158,753608,PC-14,PC-14,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,PC-14,NA,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
159,753610,SBC-3,SBC-3,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,SBC-3,NOT_TCGA,Lung,NA,NA,NA,Mesenchymal,NA,NA,
160,753612,SK-MM-2,SK-MM-2,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,SK-MM-2,NA,Blood,Multiple Myeloma (MM),NA,NA,NA,NA,NA,
161,753614,TE-15,TE-15,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Suspension,TE-15,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial,NA,NA,
162,753615,U-266,U-266,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Semi-Adherent,U-266,NA,Blood,Multiple Myeloma (MM),NA,NA,NA,NA,NA,
163,753616,BE2-M17,BE2-M17,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,BE2-M17,OTHER,Brain_CNS,NA,NA,NA,Mesenchymal,NA,NA,
164,753618,KELLY,KELLY,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,KELLY,OTHER,Brain_CNS,Embryonal Tumor (EMBT),Neuroblastoma (NBL),NA,Mesenchymal,NA,NA,
165,753620,SIMA,SIMA,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,SIMA,NA,Brain_CNS,Embryonal Tumor (EMBT),Neuroblastoma (NBL),NA,Mesenchymal,NA,NA,
166,753621,TE-1,TE-1,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-1,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial,NA,NA,
167,753622,TE-10,TE-10,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-10,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial,NA,NA,
168,753623,TE-8,TE-8,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-8,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Mesenchymal,NA,NA,
169,753624,CAPAN-1,CAPAN-1,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,CAPAN-1,PAAD,Pancreas,Pancreatic Adenocarcinoma (PAAD),NA,NA,Epithelial,NA,NA,
170,905933,OVCAR-3,OVCAR-3,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVCAR-3,OV,Ovary,Ovarian Epithelial Tumor (OVT),NA,NA,Epithelial,NA,NA,
171,905934,PC-3,PC-3,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSS/MSI-L,D/F12,Adherent,PC-3,NA,Prostate,NA,NA,NA,Epithelial,NA,NA,
172,905935,DU-145,DU-145,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSI-H,D/F12,Adherent,DU-145,PRAD,Prostate,NA,NA,NA,Epithelial-Mesenchymal,NA,NA,
173,905936,HCT-116,HCT-116,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,HCT-116,NA,Bowel,NA,NA,NA,Epithelial,NA,NA,
174,905937,HCT-15,HCT-15,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,HCT-15,NA,Bowel,Colorectal Adenocarcinoma (COADREAD),NA,NA,Epithelial,NA,NA,
175,905938,HL-60,HL-60,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,HL-60,LAML,Blood,Leukemia (LEUK),Acute Myeloid Leukemia (AML),NA,NA,NA,NA,
176,905939,HT-29,HT-29,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,HT-29,NA,Bowel,Colorectal Adenocarcinoma (COADREAD),NA,NA,Epithelial,NA,NA,
177,905940,K-562,K-562,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,D/F12,Suspension,K-562,NA,Blood,Leukemia (LEUK),Chronic Myelogenous Leukemia (CML),NA,NA,NA,NA,
178,905941,NCI-H226,NCI-H226,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,NCI-H226,LUSC,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Squamous Cell Carcinoma (LUSC),NA,Mesenchymal,NA,NA,
179,905942,NCI-H23,NCI-H23,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H23,NA,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Mesenchymal,NA,NA,
180,905943,NCI-H460,NCI-H460,Y,Y,N,N,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,NCI-H460,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),Large Cell Lung Carcinoma (LCLC),NA,NA,NA,NA,
181,905944,NCI-H522,NCI-H522,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H522,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Epithelial-Mesenchymal,NA,NA,
182,905945,T47D,T47D,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,T47D,NA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,NA,
183,905946,MCF7,MCF7,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MCF7,NA,Breast,Breast Carcinoma (BRCA),NA,NA,Epithelial,NA,NA,
184,905947,786-0,786-0,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,786-0,KIRC,Kidney,Renal Cell Carcinoma (RCC),Renal Clear Cell Carcinoma (CCRCC),NA,Mesenchymal,NA,NA,
185,905948,A498,A498,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,A498,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Mesenchymal,NA,NA,
186,905949,A549,A549,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,A549,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Epithelial-Mesenchymal,NA,NA,
187,905950,ACHN,ACHN,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,ACHN,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Mesenchymal,NA,NA,
188,905951,BT-549,BT-549,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,BT-549,NA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Mesenchymal,NA,Breast Triple Negative,
189,905952,CCRF-CEM,CCRF-CEM,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,CCRF-CEM,NA,Blood,Leukemia (LEUK),NA,NA,NA,NA,NA,
190,905954,SK-MEL-28,SK-MEL-28,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,SK-MEL-28,SKCM,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
191,905955,SK-MEL-2,SK-MEL-2,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSI-H,R,Adherent,SK-MEL-2,NA,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
192,905956,SK-MEL-5,SK-MEL-5,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,SK-MEL-5,SKCM,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
193,905957,Hs-578-T,Hs-578-T,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,Hs-578-T,BRCA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Mesenchymal,NA,Breast Triple Negative,
194,905958,MOLT-4,MOLT-4,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSI-H,R,Suspension,MOLT-4,NA,Blood,Leukemia (LEUK),Acute Lymphoid Leukemia (ALL),NA,NA,NA,NA,
195,905959,SK-OV-3,SK-OV-3,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,SK-OV-3,OV,Ovary,Ovarian Epithelial Tumor (OVT),NA,NA,Epithelial-Mesenchymal,NA,NA,
196,905960,MDA-MB-231,MDA-MB-231,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-231,BRCA,Breast,Breast Carcinoma (BRCA),NA,NA,Mesenchymal,NA,Breast Triple Negative,
197,905961,COLO-205,COLO-205,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension,COLO-205,NA,Bowel,Colorectal Adenocarcinoma (COADREAD),NA,NA,Epithelial,NA,NA,
198,905962,SW620,SW620,Y,Y,Y,N,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,SW620,NA,Bowel,Colorectal Adenocarcinoma (COADREAD),NA,NA,Epithelial-Mesenchymal,NA,NA,
199,905963,CAKI-1,CAKI-1,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,CAKI-1,KIRC,Kidney,Renal Cell Carcinoma (RCC),NA,NA,Mesenchymal,NA,NA,
200,905964,RPMI-8226,RPMI-8226,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,RPMI-8226,NA,Blood,Multiple Myeloma (MM),NA,NA,NA,NA,NA,
201,905965,SR,SR,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension,SR,NA,Lymph,NA,NA,NA,NA,NA,NA,
202,905967,NCI-H322M,NCI-H322M,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Suspension,NCI-H322M,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
203,905968,IGROV-1,IGROV-1,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,IGROV-1,OV,Ovary,Ovarian Epithelial Tumor (OVT),NA,NA,Epithelial-Mesenchymal,NA,NA,
