cgp	ccle	nci60
NALM-19	NALM-19	
	HPB-ALL	
	SUP-T11	
CL-40	CL-40	
HCC1500	HCC1500	
SUP-HD1	SUP-HD1	
	MOTN-1	
OCI-AML3	OCI-AML3	
SU-DHL-10	SU-DHL-10	
SU-DHL-4	SU-DHL-4	
RH-41	RH-41	
OCI-LY-19	OCI-LY-19	
	MOLM-6	
	Kasumi-6	
	Hs 698.T	
	Mino	
	EOL-1	
MONO-MAC-1	MONO-MAC-1	
PL-21	PL-21	
	MHH-CALL-3	
JURL-MK1	JURL-MK1	
OCI-AML5	OCI-AML5	
	JK-1	
	RI-1	
CAL-78	CAL-78	
HDQ-P1	HDQ-P1	
	MUTZ-5	
	ONCO-DG-1	
CAL-29	CAL-29	
KOPN-8	KOPN-8	
NCI-H1435	NCI-H1435	
NCI-H1869	NCI-H1869	
	Hs 852.T	
BT-483	BT-483	
	Hs 281.T	
	Hs 934.T	
	HCC4006	
HCC1428	HCC1428	
	TE 441.T	
	Hs 274.T	
Pfeiffer	Pfeiffer	
	Hs 863.T	
NCI-H841	NCI-H841	
	Hs 821.T	
NCI-H1944	NCI-H1944	
COLO-320	COLO-320	
	Hs 343.T	
	HCC2935	
	Hs 888.T	
KCL-22	KCL-22	
CADO-ES1	CADO-ES1	
	COLO-677	
	JURKAT	
M-07e	M-07e	
NU-DUL-1	NU-DUL-1	
	BC-3C	
SU-DHL-6	SU-DHL-6	
KARPAS-620	KARPAS-620	
REC-1	REC-1	
OCI-M1	OCI-M1	
MEC-1	MEC-1	
SU-DHL-5	SU-DHL-5	
CL-11	CL-11	
TT2609-C02	TT2609-C02	
MEC-2	MEC-2	
CL-34	CL-34	
RCH-ACV	RCH-ACV	
MOLM-16	MOLM-16	
	F-36P	
EJM	EJM	
WSU-DLCL2	WSU-DLCL2	
JIMT-1	JIMT-1	
ML-1	ML-1	
AMO-1	AMO-1	
MOLP-8	MOLP-8	
ACCS	ACCS	
	HRT-18	
	JHUEM-7	
KP-1N	KP-1N	
	KP-1NL	
	MB 157	
MUTZ-3	MUTZ-3	
	NCI-H2073	
OE21	OE21	
LU99		
201T		
273T		
451Lu		
A1847		
A2008		
A3		
ACC3		
ASH-3		
BC-2		
BE2-M17		
BICR10		
BICR22		
BICR31		
BICR78		
BSL2KA		
Caov-2		
CCRF-HSB-2		
CHSA0011		
CHSA0108		
CHSA8926		
CoCM-1		
Colo-738		
COLO-775		
COR-L303		
COR-L32		
COR-L321		
CRO-AP3		
CS1		
D-341MED		
DERL-2		
DERL-7		
DIFI		
DMS454		
DMS-92		
DOV13		
EMC-BAC-1		
EMC-BAC-2		
Eos-HL-60		
ESO26		
ESO51		
EW7476		
Farage		
FLO-1		
G-292-Clone-A141B1		
G-MEL		
H2369		
H2373		
H2461		
H2591		
H2595		
H2596		
H2691		
H2722		
H2731		
H2795		
H2803		
H2804		
H2810		
H2818		
H2869		
H290		
H3118		
H513		
H69V		
HCC1008		
HCC-827		
HCE-7		
HeLa		
Hep3B2-1-7		
Hey		
HLCL-1		
HO-1-u-1		
Hs-445		
Hs-602		
Hs-633T		
Hs-683		
Hs746T		
Hs-766T		
Hs-944-T		
HSC-39		
HT-115		
HT-1417		
Huh-7D12		
I-9-2		
IHH-4		
IM-95		
IOSE-364(-)		
IOSE-397		
IOSE-523(-)		
IOSE-75-16SV40		
Ishikawa		
JEKO-1		
J-gamma1		
JHOS-3		
JHU-011		
JHU-013		
JHU-019		
JHU-022		
JHU-028		
JHU-028EP		
JHU-029		
JKT-beta-del		
JSC-1		
Jurkat		
K1		
K11		
K19		
K2		
K25		
K4		
K8		
KARPAS-1106P		
KARPAS-231		
Kasumi-3		
KASUMI-4		
KASUMI-6		
KATOII		
KHM-3S		
KMH-2		
KMRM-M1		
KON		
KYAE-1		
KYSE-220		
KYSE-50		
LC-1-sq		
LNZTA3WT4		
LS-180		
MB157		
MCC13		
MCC26		
MDA-MB-330		
MDA-PCa-2b		
MKL-1-subclone-2		
MKL-2		
MM1S		
Mo		
Mo-B		
MOLM-20		
MS751		
MUTZ-2		
MY		
NB(TU)1-10		
NCC010		
NCC021		
NCI-H1173		
NCI-H1238		
NCI-H1404		
NCI-H1672		
NCI-H1688		
NCI-H1926		
NCI-H2108		
NCI-H2135		
NCI-H220		
NCI-H3122		
NCI-H676B		
NCI-H711		
NCI-H740		
NCI-H774		
NCI-H820		
NCI-H835		
NCI-H847		
NCI-H865		
NCI-H920		
NCI-H969		
NEC14		
NK-92		
NK-92MI		
OACM5-1		
OACp4C		
OCI-LY7		
OSA-80		
OSC-19		
OSC-20		
OV-17R		
OV2008		
OV-56		
OV-7		
OVCA420		
OVCA429		
OVCA432		
OVCA433		
OVCAR-10		
OVCAR-2		
OVK-18		
OVMIU		
OVSAYO		
P116		
P32-ISH		
PANC-02-03		
PANC-02-13		
PANC-04-03		
PC-3_[JPC-3]		
PCI-15A		
PCI-15B		
PCI-30		
PCI-38		
PCI-4B		
PCI-6A		
PD1501a		
PD1502a		
PD1504a		
PE-CA-PJ15		
PEO1		
PEO4		
PL18		
PL4		
PWR-1E		
RCC-AB		
RCC-ER		
RCC-FG2		
RCC-JF		
RCC-JW		
RCC-MF		
RC-K8		
RMG-II		
ROS-50		
RWPE-1		
RWPE-2		
RWPE2-W99		
SACC-83		
Sarc9371		
SAT		
SBC-2		
SBC-3		
SC-1		
SCC90		
SCCH-196		
Sci-1		
Set2		
SISO		
SK-GT-2		
SK-GT-4		
SKN		
SKN-3		
SLVL		
STC-1		
STS-0421		
SU8686		
SU-DHL-16		
SW1271		
SW156		
Takigawa		
TALL-104		
TASK1		
TE-206-T		
TE7		
Tera-1		
TK		
TMK-1		
T-T		
U-CH1		
U-CH2		
UDSCC2		
UE6E7T-2		
UE6E7T-3		
UISO-MCC-1		
UWB1.289		
VAL		
WIL2-NS		
WM1158		
WM1552C		
WM164		
WM239A		
WM278		
WM35		
WM793B		
WM902B		
YMB-1-E		
		ME:MDA_N
		PR:RC01
