DRUG_NAME	STD_NAME	nci60	ccle	gdscDec15	ctrp	nciSclc	PUBCHEM_NAME
CARBOPLATIN	NA	NA	NA	NA	NA	NA	carboplatin;Carboplatinum;41575-94-4;Paraplatin;Cbdca
CARFILZOMIB	NA	NA	NA	NA	NA	NA	Carfilzomib;Kyprolis;868540-17-4;PR-171;Carfilzomib (PR-171)
CARMUSTINE	NA	NA	NA	NA	NA	NA	carmustine;1,3-Bis(2-chloroethyl)-1-nitrosourea;BCNU;154-93-8;Carmustin
CAY10603	NA	NA	NA	NA	NA	NA	CAY10603;1045792-66-2;CHEMBL511749;tert-Butyl (4-(3-((7-(hydroxyamino)-7-oxoheptyl)carbamoyl)isoxazol-5-yl)phenyl)carbamate;HDAC6 Inhibitor
CB-64D	NA	NA	NA	NA	NA	NA	CB-64D;CB-64D;CB64D;CB 64D;CHEMBL2008486
CCT-128930	NA	NA	NA	NA	NA	NA	CCT128930;885499-61-6;4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-amine;CCT 128930;CHEMBL263664
CCT007093	NA	NA	NA	NA	NA	NA	CCT007093;176957-55-4;MFCD00121546;(2E,5E)-2,5-Bis(2-thienylmethylene)-cyclopentanone;T0517-2697
CCT018159	NA	NA	NA	NA	NA	NA	UNII-55H1ZOI1NL;CCT018159;CHEMBL399530;CHEBI:41656;ST50039568
CEDIRANIB	NA	NA	NA	NA	NA	NA	Cediranib;288383-20-0;Recentin;AZD2171;AZD 2171
CELECOXIB	NA	NA	NA	NA	NA	NA	celecoxib;Celebrex;169590-42-5;Celebra;Onsenal
CEP-18770	NA	NA	NA	NA	NA	NA	CEP-18770;Delanzomib;847499-27-8;UNII-6IF28942WO;Delanzomib [USAN]
CEP-701	NA	NA	NA	NA	NA	NA	Lestaurtinib;111358-88-4;CEP-701;KT-5555;CEP 701
CEP-9722	NA	NA	NA	NA	NA	NA	NA
CEPHALON EARLY ALK INHIBITOR	NA	NA	NA	NA	NA	NA	NA
CETUXIMAB	NA	NA	NA	NA	NA	NA	Cetuximab;BDBM189357;6-(3,3-dimethyl-2-methylideneindol-1-yl)hexanoic acid;hydrobromide;NA;NA
CGP-082996	NA	NA	NA	NA	NA	NA	CHEMBL1242367;SCHEMBL14040726;SCHEMBL14334441;SCHEMBL14334442;MolPort-028-912-818
CGP-60474	NA	NA	NA	NA	NA	NA	CGP60474;CGP-60474;164658-13-3;UNII-16IP6G5MLC;CGP 60474
CGP-79787D	NA	NA	NA	NA	NA	NA	Vatalanib succinate;212142-18-2;Ptk 787;PTK-787;CGP 79787D
CGX-571	NA	NA	NA	NA	NA	NA	Amonafide;69408-81-7;Nafidimide;Benzisoquinolinedione;5-Aminomitonafide
CH-5132799	NA	NA	NA	NA	NA	NA	CH5132799;1007207-67-1;CH-5132799;CH 5132799;5-(7-(methylsulfonyl)-2-morpholino-6,7-dihydro-5H-pyrrolo[2,3-d]pyrimidin-4-yl)pyrimidin-2-amine
CH-5424802	NA	NA	NA	NA	NA	NA	Alectinib;1256580-46-7;CH5424802;CH 5424802;Alecensa
CH-5428402 HCL	NA	NA	NA	NA	NA	NA	NA
CH5424802	NA	NA	NA	NA	NA	NA	Alectinib;1256580-46-7;CH5424802;CH 5424802;Alecensa
CHELERYTHRINE	NA	NA	NA	NA	NA	NA	chelerythrine;Toddalin;34316-15-9;Chelerythrine hydroxide;EINECS 251-930-0
CHIR-258	NA	NA	NA	NA	NA	NA	Dovitinib;405169-16-6;UNII-I35H55G906;CHIR-258;Chir 258
CHIR-99021	NA	NA	NA	NA	NA	NA	CHIR-99021;252917-06-9;CHIR99021;CHIR 99021;CT 99021
CHLORAMBUCIL	NA	NA	NA	NA	NA	NA	chlorambucil;Ambochlorin;Leukeran;305-03-3;Chloroambucil
CHLORPROMAZINE	NA	NA	NA	NA	NA	NA	chlorpromazine;Thorazine;Largactil;Contomin;Chlorderazin
CI-1040	NA	NA	NA	NA	NA	NA	212631-79-3;CI-1040;PD184352;PD 184352;PD-184352
CICLOPIROX	NA	NA	NA	NA	NA	NA	CICLOPIROX;29342-05-0;Loprox;Penlac;Ciclopiroxum
CICLOSPORIN	NA	NA	NA	NA	NA	NA	cyclosporin A;cyclosporine;Ciclosporin;Cyclosporine A;Cyclosporin
CIMETIDINE	NA	NA	NA	NA	NA	NA	cimetidine;Tagamet;51481-61-9;Cimetag;Eureceptor
CIPROFLOXACIN	NA	NA	NA	NA	NA	NA	ciprofloxacin;85721-33-1;Ciprobay;Ciproxan;Ciprofloxacine
CISPLATIN	NA	NA	NA	NA	NA	NA	NA
CK-0238273	NA	NA	NA	NA	NA	NA	NA
CLADRIBINE	NA	NA	NA	NA	NA	NA	Cladribine;2-Chloro-2'-deoxyadenosine;4291-63-8;Leustatin;2-Chlorodeoxyadenosine
CLOFARABINE	NA	NA	NA	NA	NA	NA	Clofarabine;123318-82-1;Clolar;Clofarex;Evoltra
CMK	NA	NA	NA	NA	NA	NA	NA
CNF-2024	NA	NA	NA	NA	NA	NA	NA
CO-101	NA	NA	NA	NA	NA	NA	NA
COL-3	NA	NA	NA	NA	NA	NA	Incyclinide;Metastat;CMT-3;COL-3;UNII-21G64WZQ4I
CORDYCEPIN	NA	NA	NA	NA	NA	NA	Cordycepin;3'-Deoxyadenosine;73-03-0;Cordycepine;ADENOSINE, 3'-DEOXY-
CP-868596	NA	NA	NA	NA	NA	NA	Crenolanib;670220-88-9;ARO-002;UNII-LQF7I567TQ;Crenolanib [USAN]
CP-91149	NA	NA	NA	NA	NA	NA	CP-91149;186392-40-5;UNII-O8EV00W45A;CHEMBL319136;O8EV00W45A
CP466722	NA	NA	NA	NA	NA	NA	1080622-86-1;CP-466722;CP466722;CP 466722;1-(6,7-dimethoxyquinazolin-4-yl)-3-(pyridin-2-yl)-1H-1,2,4-triazol-5-amine
CP724714	NA	NA	NA	NA	NA	NA	CP-724714;CP 724714;383432-38-0;CP724714;UNII-I05QZ0S4V3
CPD-401	NA	NA	NA	NA	NA	NA	NA
CPI-613	NA	NA	NA	NA	NA	NA	CPI-613;95809-78-2;6,8-bis(benzylthio)octanoic acid;CPI 613;MLS006010202
CRIZOTINIB	NA	NA	NA	NA	NA	NA	Crizotinib;877399-52-5;Xalkori;PF-2341066;(R)-crizotinib
CS-7017	NA	NA	NA	NA	NA	NA	Efatutazone hydrochloride;Inolitazone (dihydrochloride);CS-7017;RS-5444;223132-38-5
CT-32228	NA	NA	NA	NA	NA	NA	UNII-5TT4A4MBLR;CT-32228;CHEMBL36501;N2-(4-bromophenyl)-6-(5-chloro-2-methylphenyl)-1,3,5-triazine-2,4-diamine;CT 32228
CUDC-101	NA	NA	NA	NA	NA	NA	CUDC-101;1012054-59-9;UNII-1A7Y9MP123;CUDC 101;CHEMBL598797
CUDC-305	NA	NA	NA	NA	NA	NA	Debio 0932;CUDC-305;1061318-81-7;CHEMBL2419346;DEBIO-0932
CUDC-907	NA	NA	NA	NA	NA	NA	CUDC-907;1339928-25-4;CUDC 907;UNII-3S9RX35S5X;PI3K/HDAC Inhibitor centn
CURCUMIN	NA	NA	NA	NA	NA	NA	curcumin;Diferuloylmethane;Natural yellow 3;458-37-7;Turmeric yellow
CX-4945	NA	NA	NA	NA	NA	NA	1009820-21-6;CX-4945;Silmitasertib;5-((3-Chlorophenyl)amino)benzo[c][2,6]naphthyridine-8-carboxylic acid;CX4945
CX-5461	NA	NA	NA	NA	NA	NA	CX-5461;1138549-36-6;CX 5461;UNII-3R4C5YLB9I;CX5461
CYANOQUINOLINE 11	NA	NA	NA	NA	NA	NA	NA
CYC-116	NA	NA	NA	NA	NA	NA	CYC-116;693228-63-6;CYC116;Kinome_636;CHEMBL482967
CYC-202	NA	NA	NA	NA	NA	NA	roscovitine;Seliciclib;R-Roscovitine;186692-46-6;(R)-roscovitine
CYCLOPAMINE	NA	NA	NA	NA	NA	NA	CYCLOPAMINE;11-Deoxojervine;4449-51-8;CHEBI:4021;CHEMBL254129
CYCLOPHOSPHAMIDE	NA	NA	NA	NA	NA	NA	cyclophosphamide;Cyclophosphamid;Procytox;Neosar;Cyclophosphane
CYT-387	NA	NA	NA	NA	NA	NA	Cyt387;1056634-68-4;MOMELOTINIB;CYT 387;N-(Cyanomethyl)-4-(2-((4-morpholinophenyl)amino)pyrimidin-4-yl)benzamide
CYT-997	NA	NA	NA	NA	NA	NA	LEXIBULIN;917111-44-5;CYT997;CYT 997;CYT-997
CYTARABINE	NA	NA	NA	NA	NA	NA	cytarabine;147-94-4;Ara-C;Cytosine arabinoside;Arabinosylcytosine
CYTARABINE HYDROCHLORIDE	NA	NA	NA	NA	NA	NA	NA
DABRAFENIB	NA	NA	NA	NA	NA	NA	Dabrafenib;1195765-45-7;Tafinlar;GSK2118436A;UNII-QGP4HA4G1B
DACARBAZINE	NA	NA	NA	NA	NA	NA	dacarbazine;DTIC;Biocarbazine;Deticene;DTIC-Dome
DACTINOMYCIN	NA	NA	NA	NA	NA	NA	DACTINOMYCIN;actinomycin D;Cosmegen;Actinomycin C1;Meractinomycin
DAPORINAD	NA	NA	NA	NA	NA	NA	Daporinad;658084-64-1;FK866;APO-866;FK-866
DARINAPARSIN	NA	NA	NA	NA	NA	NA	Darinaparsin;69819-86-9;UNII-9XX54M675G;Zinapar;DMAs(III)G
DASATINIB	NA	NA	NA	NA	NA	NA	Dasatinib;302962-49-8;Sprycel;BMS-354825;BMS354825
DAUNORUBICIN	NA	NA	NA	NA	NA	NA	daunorubicin;Daunomycin;Rubidomycin;Daunorubicine;Cerubidine
DECITABINE	NA	NA	NA	NA	NA	NA	Decitabine;5-Aza-2'-deoxycytidine;2353-33-5;Dacogen;5-Azadeoxycytidine
DENILEUKIN DIFTITOX ONTAK	NA	NA	NA	NA	NA	NA	NA
DEPSIPEPTIDE	NA	NA	NA	NA	NA	NA	Romidepsin;Depsipeptide;Chromadax;FK228;Antibiotic FR 901228
DES-FLUORO-TAK-960	NA	NA	NA	NA	NA	NA	NA
DEXAMETHASONE	NA	NA	NA	NA	NA	NA	dexamethasone;50-02-2;Maxidex;Dexamethazone;Decadron
DEXAMETHASONE DECADRON	NA	NA	NA	NA	NA	NA	NA
DEXRAZOXANE	NA	NA	NA	NA	NA	NA	Dexrazoxane;24584-09-6;Zinecard;(S)-4,4'-(Propane-1,2-diyl)bis(piperazine-2,6-dione);Cardioxane
DEXRAZOXONE	NA	NA	NA	NA	NA	NA	NA
DICLOFENAC	NA	NA	NA	NA	NA	NA	diclofenac;15307-86-5;Diclofenac acid;dichlofenac;Diclofenacum
DIGOXIN	NA	NA	NA	NA	NA	NA	digoxin;20830-75-5;12beta-Hydroxydigitoxin;Cardiogoxin;Digitek
DIMETHYLAMINOPARTHENOLIDE	NA	NA	NA	NA	NA	NA	Dimethylaminoparthenolide;CHEMBL1270635;NA;NA;NA
DINACICLIB	NA	NA	NA	NA	NA	NA	Dinaciclib;779353-01-4;SCH727965;SCH 727965;SCH-727965
DMOG	NA	NA	NA	NA	NA	NA	DMOG;89464-63-1;dimethyloxalylglycine;Dimethyloxallyl glycine;DIMETHYLOXALOYLGLYCINE
DOCETAXEL	NA	NA	NA	NA	NA	NA	docetaxel;Taxotere;114977-28-5;Docetaxel anhydrous;Docetaxol
DOLASTATIN 10	NA	NA	NA	NA	NA	NA	NA
DOXORUBICIN	NA	NA	NA	NA	NA	NA	doxorubicin;Adriamycin;Doxil;Adriablastin;Doxorubicine
DROMOSTANOLONE PROPIONATE	NA	NA	NA	NA	NA	NA	NA
E-7820	NA	NA	NA	NA	NA	NA	E7820;289483-69-8;UNII-TVH5K7949N;E 7820;N-(3-cyano-4-methyl-1H-indol-7-yl)-3-cyanobenzene-sulfonamide
E-7850	NA	NA	NA	NA	NA	NA	NA
EB-1627	NA	NA	NA	NA	NA	NA	Teglarinad chloride;GMX1777;UNII-D6V5QYX9MZ;432037-57-5;1-[[[[2-[2-[2-[2-Methoxyethoxy]ethoxy]ethoxy]ethoxy]carbonyl]oxy]methyl]-4-[N'-cyano-N''-[6-[4-chlorophenoxy]hexyl]guanidino]pyridinium chloride
EHT 1864	NA	NA	NA	NA	NA	NA	NA
EKB-569	NA	NA	NA	NA	NA	NA	Pelitinib;257933-82-7;EKB-569;Pelitinib (EKB-569);EKB 569
ELESCLOMOL	NA	NA	NA	NA	NA	NA	Elesclomol;488832-69-5;STA-4783;UNII-6UK191M53P;Elesclomol (STA-4783)
ELLIPTINIUM ACETATE	NA	NA	NA	NA	NA	NA	NA
ELOCALCITOL	NA	NA	NA	NA	NA	NA	Elocalcitol;BXL 628;UNII-2WDS5F2V6Q;199798-84-0;Ro-26-9228
EMBELIN	NA	NA	NA	NA	NA	NA	EMBELIN;550-24-3;Emberine;Embelic acid;2,5-Dihydroxy-3-undecyl-1,4-benzoquinone
EMD-1204831	NA	NA	NA	NA	NA	NA	EMD-1214063;Tepotinib;1100598-32-0;EMD 1214063;UNII-1IJV77EI07
EMD-1214063	NA	NA	NA	NA	NA	NA	EMD-1214063;Tepotinib;1100598-32-0;EMD 1214063;UNII-1IJV77EI07
EMD-121974	NA	NA	NA	NA	NA	NA	Cilengitide;188968-51-6;EMD-121974;Cilengitide [USAN:INN];UNII-4EDF46E4GI
EMD-534085	NA	NA	NA	NA	NA	NA	EMD-534085;UNII-AL67QX8036;858668-07-2;CHEMBL1077204;1-(2-(Dimethylamino)ethyl)-3-(((2R,4aS,5R,10bS)-5-phenyl-9-(trifluoromethyl)-3,4,4a,5,6,10b-hexahydro-2H-pyrano(3,2-C)quinolin-2-yl)methyl)urea
ENANTIOMER OF PF-4176340	NA	NA	NA	NA	NA	NA	NA
ENMD-2076	NA	NA	NA	NA	NA	NA	ENMD-2076;934353-76-1;ENMD 2076;ENMD2076;UNII-J6U9WP10T7
ENMD-2076 PRECURSOR	NA	NA	NA	NA	NA	NA	NA
ENTINOSTAT	NA	NA	NA	NA	NA	NA	Entinostat;ms-275;209783-80-2;SNDX-275;MS 275
ENZALUTAMIDE	NA	NA	NA	NA	NA	NA	Enzalutamide;915087-33-1;MDV3100;MDV-3100;MDV 3100
EP-90745	NA	NA	NA	NA	NA	NA	Verubulin hydrochloride;Azixa;MPC-6827;UNII-33380QZ0QW;917369-31-4
EPIRUBICIN	NA	NA	NA	NA	NA	NA	Epirubicin;Epiadriamycin;Epidoxorubicin;4'-Epiadriamycin;Ellence
EPOTHILONE B	NA	NA	NA	NA	NA	NA	NA
ERIBULIN MESILATE	NA	NA	NA	NA	NA	NA	NA
ERLOTINIB	NA	NA	NA	NA	NA	NA	Erlotinib;183321-74-6;Tarceva;N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine;UNII-J4T82NDH7E
ESTRAMUSTINE	NA	NA	NA	NA	NA	NA	estramustine;2998-57-4;Estramustina;Estramustinum;Emcyt
ETHINYL ESTRADIOL	NA	NA	NA	NA	NA	NA	NA
ETOMOXIR	NA	NA	NA	NA	NA	NA	ETOMOXIR;UNII-MSB3DD2XP6;MSB3DD2XP6;124083-20-1;R-(+)-Etomoxir
ETOPOSIDE	NA	NA	NA	NA	NA	NA	etoposide;VePesid;Toposar;Lastet;trans-Etoposide
EVEROLIMUS	NA	NA	NA	NA	NA	NA	Everolimus;Afinitor;Certican;Zortress;RAD001
EX-527	NA	NA	NA	NA	NA	NA	49843-98-3;6-chloro-2,3,4,9-tetrahydro-1H-carbazole-1-carboxamide;EX-527;Selisistat;EX 527
EXEMESTANE	NA	NA	NA	NA	NA	NA	EXEMESTANE;107868-30-4;Aromasin;Exemestano;Exemestanum
FAU	NA	NA	NA	NA	NA	NA	2'-Deoxy-2'-fluorouridine;2'-Deoxy-2'-Fluorouridine (2'-Fluoro-2'- Deoxyuridine, 2'-FU);2'-Fluor-uridine;1-((2R,3S,4R,5R)-3-FLUORO-4-HYDROXY-5-HYDROXYMETHYLTETRAHYDROFURAN-2-YL)-1H-PYRIMIDINE-2,4-DIONE;ACMC-209peb
FENOPROFEN	NA	NA	NA	NA	NA	NA	fenoprofen;2-(3-Phenoxyphenyl)propanoic acid;31879-05-7;Fenoprofene;Fenoprofeno
FENRETINIDE	NA	NA	NA	NA	NA	NA	FENRETINIDE;65646-68-6;N-(4-Hydroxyphenyl)retinamide;4-HPR;4-hydroxyphenylretinamide
FH535	NA	NA	NA	NA	NA	NA	FH535;108409-83-2;2,5-dichloro-N-(2-methyl-4-nitrophenyl)benzenesulfonamide;STK079761;N-(2-Methyl-4-nitrophenyl)-2,5-dichlorobenzenesulfonamide
FINASTERIDE	NA	NA	NA	NA	NA	NA	finasteride;98319-26-7;Propecia;Proscar;Finastid
FINGOLIMOD	NA	NA	NA	NA	NA	NA	Fingolimod;162359-55-9;Gilenia;UNII-3QN8BYN5QF;2-Amino-2-[2-(4-octylphenyl)ethyl]propane-1,3-diol
FK866	NA	NA	NA	NA	NA	NA	Daporinad;658084-64-1;FK866;APO-866;FK-866
FLAVOPIRIDOL	NA	NA	NA	NA	NA	NA	Flavopiridol;Alvocidib;146426-40-6;Flavopiridol hydrochloride;FLAVO
FLOXURIDINE	NA	NA	NA	NA	NA	NA	floxuridine;50-91-9;2'-Deoxy-5-fluorouridine;5-Fluoro-2'-deoxyuridine;FUDR
FLUDARABINE	NA	NA	NA	NA	NA	NA	Fludarabine;21679-14-1;F-Ara-A;(2R,3S,4S,5R)-2-(6-Amino-2-fluoro-9H-purin-9-yl)-5-(hydroxymethyl)tetrahydrofuran-3,4-diol;9-beta-D-Arabinofuranosyl-2-fluoroadenine
FLUOROURACIL	NA	NA	NA	NA	NA	NA	5-Fluorouracil;fluorouracil;51-21-8;5-FU;Fluoroplex
FLUPHENAZINE	NA	NA	NA	NA	NA	NA	FLUPHENAZINE;Triflumethazine;Fluorfenazine;Fluorophenazine;Fluorphenazine
FLURBIPROFEN	NA	NA	NA	NA	NA	NA	flurbiprofen;5104-49-4;Ansaid;Froben;Antadys
FLUVASTATIN	NA	NA	NA	NA	NA	NA	fluvastatin;93957-54-1;Cranoc;Lescol;CHEBI:38565
FMK	NA	NA	NA	NA	NA	NA	821794-92-7;FMK;CHEMBL515414;1-(4-amino-7-(3-hydroxypropyl)-5-p-tolyl-7H-pyrrolo[2,3-d]pyrimidin-6-yl)-2-fluoroethanone;1-(4-amino-7-(3-hydroxypropyl)-5-(p-tolyl)-7H-pyrrolo[2,3-d]pyrimidin-6-yl)-2-fluoroethanone
FORETINIB	NA	NA	NA	NA	NA	NA	Foretinib;XL880;EXEL-2880;GSK1363089;XL-880
FOSTAMATINIB	NA	NA	NA	NA	NA	NA	Fostamatinib;901119-35-5;R788;UNII-SQ8A3S5101;Fostamatinib(R788)
FR-180204	NA	NA	NA	NA	NA	NA	FR 180204;865362-74-9;FR180204;ERK Inhibitor II, FR180204;FR-180204
FTI-277	NA	NA	NA	NA	NA	NA	FTI-277;CHEMBL135561;Methyl {N-[2-phenyl-4-N [2(R)-amino-3-mecaptopropylamino] benzoyl]}-methionate, TFA;AC1MHIZX;SCHEMBL8365606
FULVESTRANT	NA	NA	NA	NA	NA	NA	Fulvestrant;Faslodex;129453-61-8;ICI 182,780;Ici 182780
GABAPENTIN	NA	NA	NA	NA	NA	NA	gabapentin;60142-96-3;Neurontin;Gabapentine;1-(Aminomethyl)cyclohexaneacetic acid
GDC-0068	NA	NA	NA	NA	NA	NA	GDC-0068;Ipatasertib;1001264-89-6;UNII-524Y3IB4HQ;GDC 0068
GDC-0152	NA	NA	NA	NA	NA	NA	GDC-0152;UNII-4KW1M48SHS;873652-48-3;CHEMBL2063869;4KW1M48SHS
GDC-0449	NA	NA	NA	NA	NA	NA	Vismodegib;879085-55-9;GDC-0449;Erivedge;2-chloro-N-(4-chloro-3-(pyridin-2-yl)phenyl)-4-(methylsulfonyl)benzamide
GDC-0941	NA	NA	NA	NA	NA	NA	GDC-0941;957054-30-7;Pictrelisib;GDC0941;GDC 0941
GDC-0980	NA	NA	NA	NA	NA	NA	GDC-0980;1032754-93-0;Apitolisib;GDC0980;UNII-1C854K1MIJ
GDC0941	NA	NA	NA	NA	NA	NA	GDC-0941;957054-30-7;Pictrelisib;GDC0941;GDC 0941
GEFITINIB	NA	NA	NA	NA	NA	NA	Gefitinib;184475-35-2;Iressa;ZD1839;Irressat
GELDANAMYCIN ANALOG	NA	NA	NA	NA	NA	NA	NA
GEMCITABINE	NA	NA	NA	NA	NA	NA	gemcitabine;95058-81-4;2',2'-Difluorodeoxycytidine;Gemcitabinum;Gamcitabine
GENENTECH CPD 10	NA	NA	NA	NA	NA	NA	NA
GENZ-644282	NA	NA	NA	NA	NA	NA	GENZ-644282;529488-28-6;Genz 644282;UNII-717I541I2R;SCHEMBL241696
GMX-1778	NA	NA	NA	NA	NA	NA	NA
GNF-2	NA	NA	NA	NA	NA	NA	GNF-2;778270-11-4;3-(6-((4-(Trifluoromethoxy)phenyl)amino)pyrimidin-4-yl)benzamide;GNF 2;Bcr-abl Inhibitor
GOSSYPOL	NA	NA	NA	NA	NA	NA	gossypol;303-45-7;(-)-Gossypol;(+)-Gossypol;Pogosin
GRAMICIDIN	NA	NA	NA	NA	NA	NA	Gramicidina;Gramicidine;Gramicidinum;GRAMICIDIN;Gramoderm
GSK-1210151A	NA	NA	NA	NA	NA	NA	NA
GSK-1838705A	NA	NA	NA	NA	NA	NA	GSK1838705A;1116235-97-2;GSK 1838705A;GSK-1838705A;2-((2-((1-(2-(Dimethylamino)acetyl)-5-methoxyindolin-6-yl)amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-6-fluoro-N-methylbenzamide
GSK-1904529A	NA	NA	NA	NA	NA	NA	GSK1904529A;1089283-49-7;GSK 1904529A;GSK-1904529A;CHEMBL466397
GSK-2126458	NA	NA	NA	NA	NA	NA	GSK2126458;1086062-66-9;Omipalisib;GSK-2126458;GSK 2126458
GSK-2334470	NA	NA	NA	NA	NA	NA	GSK2334470;1227911-45-6;CHEMBL1765740;GSK 2334470;GSK-2334470
GSK-2636771	NA	NA	NA	NA	NA	NA	GSK2636771;1372540-25-4;GSK-2636771;UNII-DW94IAT0LS;2-methyl-1-(2-methyl-3-(trifluoromethyl)benzyl)-6-morpholino-1H-benzo[d]imidazole-4-carboxylic acid
GSK-461364	NA	NA	NA	NA	NA	NA	GSK461364;929095-18-1;GSK-461364;GSK 461364;5-[6-[(4-Methyl-1-piperazinyl)methyl]-1h-benzimidazol-1-yl]-3-[(1r)-1-[2-(trifluoromethyl)phenyl]ethoxy]-2-thiophenecarboxamide
GSK-650394	NA	NA	NA	NA	NA	NA	GSK 650394;890842-28-1;GSK650394;GSK-650394;2-cyclopentyl-4-(5-phenyl-1H-pyrrolo[2,3-b]pyridin-3-yl)benzoic acid
GSK-690693	NA	NA	NA	NA	NA	NA	937174-76-0;GSK690693;GSK-690693;GSK 690693;UNII-GWH480321B
GSK1059615	NA	NA	NA	NA	NA	NA	GSK1059615;958852-01-2;GSK-1059615;UNII-07YMO87363;GSK 1059615
GSK1070916	NA	NA	NA	NA	NA	NA	GSK1070916;942918-07-2;GSK-1070916;GSK 1070916;UNII-8VLB51V7HO
GSK2126458	NA	NA	NA	NA	NA	NA	GSK2126458;1086062-66-9;Omipalisib;GSK-2126458;GSK 2126458
GSK2636771	NA	NA	NA	NA	NA	NA	GSK2636771;1372540-25-4;GSK-2636771;UNII-DW94IAT0LS;2-methyl-1-(2-methyl-3-(trifluoromethyl)benzyl)-6-morpholino-1H-benzo[d]imidazole-4-carboxylic acid
GSK269962A	NA	NA	NA	NA	NA	NA	GSK269962A;GSK 269962A;GSK-269962A;850664-21-0;GSK 269962
GSK429286A	NA	NA	NA	NA	NA	NA	GSK429286A;864082-47-3;N-(6-fluoro-1H-indazol-5-yl)-2-methyl-6-oxo-4-(4-(trifluoromethyl)phenyl)-1,4,5,6-tetrahydropyridine-3-carboxamide;N-(6-FLUORO-1H-INDAZOL-5-YL)-2-METHYL-6-OXO-4-[4-(TRIFLUOROMETHYL)PHENYL]-1,4,5,6-TETRAHYDRO-3-PYRIDINECARBOXAMIDE;N-(6-fluoro-1H-indazol-5-yl)-2-methyl-6-oxo-4-[4-(trifluoromethyl)phenyl]-4,5-dihydro-1H-pyridine-3-carboxamide
GSK461364	NA	NA	NA	NA	NA	NA	GSK461364;929095-18-1;GSK-461364;GSK 461364;5-[6-[(4-Methyl-1-piperazinyl)methyl]-1h-benzimidazol-1-yl]-3-[(1r)-1-[2-(trifluoromethyl)phenyl]ethoxy]-2-thiophenecarboxamide
GSK690693	NA	NA	NA	NA	NA	NA	937174-76-0;GSK690693;GSK-690693;GSK 690693;UNII-GWH480321B
GW 441756	NA	NA	NA	NA	NA	NA	NA
GW-2580	NA	NA	NA	NA	NA	NA	870483-87-7;GW2580;GW-2580;cFMS Receptor Tyrosine Kinase Inhibitor;UNII-SRV0JCF9LI
GW-5074	NA	NA	NA	NA	NA	NA	GW 5074;gw5074;GW-5074;Raf1 Kinase Inhibitor I;220904-83-6
GW843682X	NA	NA	NA	NA	NA	NA	GW843682X;660868-91-7;GW 843682X;GW-843682X;GW843682
GX15-070	NA	NA	NA	NA	NA	NA	Obatoclax;803712-79-0;Obatoclax mesylate;Obatoclax mesylate (GX15-070);2-(2-((3,5-Dimethyl-1H-pyrrol-2-yl)methylene)-3-methoxy-2H-pyrrol-5-yl)-1H-indole methanesulfonate
H-89	NA	NA	NA	NA	NA	NA	h-89;H 89;127243-85-0;C20H20BrN3O2S;CHEMBL104264
HG-5-113-01	NA	NA	NA	NA	NA	NA	NA
HG-5-88-01	NA	NA	NA	NA	NA	NA	NA
HG-6-64-1	NA	NA	NA	NA	NA	NA	NA
HOMOHARRINGTONINE	NA	NA	NA	NA	NA	NA	homoharringtonine;Omacetaxine mepesuccinate;Ceflatonin;Myelostat;Synribo
HPI-1	NA	NA	NA	NA	NA	NA	NA
HYDRASTININE HCL	NA	NA	NA	NA	NA	NA	NA
HYDROXYUREA	NA	NA	NA	NA	NA	NA	hydroxyurea;Hydroxycarbamide;127-07-1;N-Hydroxyurea;Hydrea
HYPERFORIN	NA	NA	NA	NA	NA	NA	hyperforin;11079-53-1;UNII-RM741E34FP;hiperforina;hyperforine
HYPOTHEMYCIN	NA	NA	NA	NA	NA	NA	NA
I-BET-762	NA	NA	NA	NA	NA	NA	GSK 525762A;1260907-17-2;I-BET-762;UNII-5QIO6SRZ2R;I-BET762
IBRUTINIB	NA	NA	NA	NA	NA	NA	Ibrutinib;936563-96-1;PCI-32765;IMBRUVICA;PCI 32765
ICG-001	NA	NA	NA	NA	NA	NA	ICG-001;847591-62-2;ICG 001;780757-88-2;(6S,9aS)-N-benzyl-6-(4-hydroxybenzyl)-8-(naphthalen-1-ylmethyl)-4,7-dioxooctahydro-1H-pyrazino[1,2-a]pyrimidine-1-carboxamide
IDARUBICIN	NA	NA	NA	NA	NA	NA	IDARUBICIN;58957-92-9;Idamycin;Idarubicina;4-Demethoxydaunorubicin
IDELALISIB	NA	NA	NA	NA	NA	NA	CAL-101;Idelalisib;870281-82-6;Zydelig;CAL 101
IDH-C227	NA	NA	NA	NA	NA	NA	NA
IDH-C35	NA	NA	NA	NA	NA	NA	AGI-5198;1355326-35-0;CHEMBL2180727;AGI 5198;AGI-5198(IDH C35)
IFOSFAMIDE	NA	NA	NA	NA	NA	NA	ifosfamide;Isophosphamide;3778-73-2;Iphosphamide;Isofosfamide
IMATINIB	NA	NA	NA	NA	NA	NA	Imatinib;152459-95-5;sti-571;STI571;Cgp 57148
IMEXON	NA	NA	NA	NA	NA	NA	Imexon;59643-91-3;Amplimexon;Imexonum [INN-Latin];4-Imino-1,3-diazabicyclo[3.1.0]hexan-2-one
