"","drug_id","drug_name","synonyms","pathway_name","targets","pubchem","extended_name"
"1997",1997,"WEHI-539","WEHI539, WEHI-539","Apoptosis regulation","BCL-XL","71297207","WEHI-539"
"1998",1998,"BPD-00008900","-","Other","-","-","BPD-00008900"
"1999",1999,"N25720-51-A1","-","Unclassified","-","-","N25720-51-A1"
"2000",2000,"N27922-53-1","-","Unclassified","-","-","N27922-53-1"
"2002",2002,"N30652-18-1","-","Unclassified","-","-","N30652-18-1"
"2003",2003,"N29087-69-1","-","Unclassified","-","-","N29087-69-1"
"2010",2010,"HKMTI-1-005","-","Unclassified","-","-","HKMTI-1-005"
"2011",2011,"ICL-SIRT078","-","Other","SIR2","-","ICL-SIRT078"
"2037",2037,"GSK343","-","Chromatin histone methylation","EZH2","-","GSK343_2037"
"2038",2038,"UNC0638","-","Chromatin histone methylation","G9A, GLP","-","UNC0638"
"2039",2039,"AGK2","-","Chromatin histone acetylation","BAZ2A, BAZ2B","-","AGK2"
"2040",2040,"Foretinib","GSK1363089, XL-880, EXEL-2880, GSK089","RTK signaling","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","42642645","Foretinib"
"2043",2043,"BIBR-1532","-","Genome integrity","TERT","9927531","BIBR-1532"
"2044",2044,"Pyridostatin","-","DNA replication","G-quadruplex stabiliser","25227847","Pyridostatin"
"2045",2045,"AMG-319","AMG319","PI3K/MTOR signaling","PI3K (beta sparing)","68947304","AMG-319"
"2046",2046,"MK-8776","SCH900776","Cell cycle","CHEK1, CHEK2, CDK2","16224745","MK-8776"
"2047",2047,"Ulixertinib","BVD-523, VRT752271","ERK MAPK signaling","ERK1, ERK2","11719003, 58641927","Ulixertinib_2047"
"2048",2048,"Vinorelbine","vinorelbine tartrate, Navelbine, Exelbine","Mitosis","Microtubule destabiliser","5311497","Vinorelbine"
"2055",2055,"Mycophenolic acid","-","Unclassified","-","-","Mycophenolic acid"
"2057",2057,"Remodelin","-","Unclassified","-","-","Remodelin"
"2096",2096,"VX-11e","VX11e, VX11e","ERK MAPK signaling","ERK2","11634725","VX-11e"
"2106",2106,"Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","PI3K/MTOR signaling","AKT1, AKT2, AKT3","51042438","Uprosertib_2106"
"2107",2107,"LJI308","-","PI3K/MTOR signaling","RSK2, RSK1, RSK3","118704762","LJI308"
"2109",2109,"AZ6102","-","WNT signaling","TNKS1, TNKS2","91663328","AZ6102"
"2110",2110,"GSK591","EPZ015866, GSK3203591","Chromatin histone methylation","PMRT5","117072552","GSK591"
"2111",2111,"VE821","VE 821, VE-821","Genome integrity","ATR","51000408","VE821"
"2112",2112,"VTP-A","-","Unclassified","-","-","VTP-A"
"2113",2113,"VTP-B","-","Unclassified","-","-","VTP-B"
"2145",2145,"PBD-288","-","Unclassified","-","-","PBD-288"
"2148",2148,"POMHEX","-","Unclassified","-","-","POMHEX"
"2149",2149,"CT7033-2","-","Chromatin histone methylation","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-","CT7033-2"
"2154",2154,"GSK-LSD1-2HCl","-","Chromatin histone methylation","LSD1","-","GSK-LSD1-2HCl "
"2156",2156,"5-azacytidine","-","Other","DNA methyltransferases","-","5-azacytidine"
"2157",2157,"A-366","-","Chromatin histone methylation","EHMT1, EHMT2","-","A-366"
"2158",2158,"CPI-637","-","Chromatin histone methylation","EP300","-","CPI-637"
"2159",2159,"UNC0379","-","Chromatin histone methylation","SETD8","-","UNC0379"
"2169",2169,"AZD6482","AZD 6482, AZD-6482, AK-55409","PI3K/MTOR signaling","PI3Kbeta","44137675","AZD6482"
"2170",2170,"AT13148","-","PI3K/MTOR signaling","AKT1","-","AT13148"
"2171",2171,"BMS-754807","BMS-754807","IGF1R signaling","IGF1R, IR","-","BMS-754807"
"2172",2172,"JQ1","JQ-1, (+)-JQ-1","Chromatin other","BRD2, BRD3, BRD4, BRDT","46907787","JQ1"
"2173",2173,"PFI-1","-","Chromatin other","BRD4","71271629","PFI-1"
"2174",2174,"IOX2","IOX-2, IOX 2, AK176060","Other","EGLN1","54685215","IOX2"
"2175",2175,"CHIR-99021","CT 99021, CHIR99021, CHIR 99021","WNT signaling","GSK3A, GSK3B","9956119","CHIR-99021"
"2177",2177,"SGC0946","-","Chromatin histone methylation","DOT1L","56962337","SGC0946"
"2359",2359,"GSK2830371","None","Other","WIP1","70983932","GSK2830371"
"2360",2360,"THR-101","WIMM synthesis","PI3K/MTOR signaling","Mutant RAS","None","THR-101"
"2361",2361,"THR-102","WIMM synthesis","PI3K/MTOR signaling","Mutant RAS","None","THR-102"
"2362",2362,"THR-103","WIMM synthesis","PI3K/MTOR signaling","Mutant RAS","None","THR-103"
"2438",2438,"ascorbate (vitamin C)","back-up solution from YWKim","Other","anti-oxidant proteins","-","ascorbate (vitamin C)"
"2439",2439,"glutathione","G6013, sigma","Other","anti-oxidant proteins","-","glutathione"
"2498",2498,"alpha-lipoic acid","aLA","Metabolism","Metabolism","None","alpha-lipoic acid"
"2499",2499,"N-acetyl cysteine","NAC","Metabolism","Metabolism","None","N-acetyl cysteine"
