"nsc","name","pubchem_cid","pubchem_sid","cas"
614339,"",NA,"486889",NA
614383,"Crc 86-05","130724","130724",NA
614491,"8-Chloro-cyclicamp","17856967","486989",NA
614495,"b723735k022","6400741","486993",NA
614496,"antineoplastic-d613939","356942","356942",NA
614539,"1-(2-aminophenyl)-3-(1H-indol-3-yl)propan-1-one","356984","356984",NA
614554,"ajoene, trans-","5386591","5386591",NA
614566,"2-Chloro-N-(4,10-dimethyl-2,6-dioxo-2H,6H-pyrano[3,2-g]chromen-3-yl)acetamide","356997","356997",NA
614633,"2-(2-Morpholin-4-ylethyl)-5,10-dioxido-1,3-dihydropyrrolo[3,4-i]phenazine-5,10-diium-6-ol;hydrochloride","135455545","135455545",NA
614642,"Irisquinone","5318483","487107",NA
614643,"","357033","487108",NA
614644,"","357034","487109",NA
614795,"Mimdtc","9554742","9554742",NA
614802,"Dichloroplatinum; methyl N-[(E)-1-isoquinolylmethyleneamino]carbamodithioate",NA,"9578810",NA
614826,"bisacodyl, active ingredient of viraplex","2391","-1",NA
614887,"platinum, (1,2-cyclohexanediamine-n,n')bis (4-morpholine...","24201983","24201983",NA
614925,"Tert-butyl(oxido)oxidanium;5-chloro-2-[(5-chloro-2-oxidophenyl)methylideneamino]phenolate;oxovanadium","6711291","6711291",NA
614937,"","357104","487204",NA
615035,"Pdtpt","357140","357140",NA
615258,"B817373K389 from Combetum caffrum","5386627","5386627",NA
615291,"Bizelesin","60794","60794","129655216"
615296,"Haloperidol","3559","-1",NA
615376,"2-[(E)-(benzoylhydrazinylidene)methyl]-4,6-dichlorophenolate;cobalt(2+)","9569757","9569757",NA
615441,"1h-dibenz[de,h]isoquinoline-1,3-dione, 2,2'- [(1,2-ethan...","357254","357254",NA
615443,"2-[2-[2-(5,8-Dinitro-1,3-dioxobenzo[de]isoquinolin-2-yl)ethyl-methylamino]ethyl]-5,8-dinitrobenzo[de]isoquinoline-1,3-dione","357257","357257",NA
615484,"Bullatacin","5459105","5459105",NA
615534,"1,3-Dihydroxy-10-methyl-7-nitro-acridin-9-one","5386678","5386678",NA
615537,"",NA,"487482",NA
615538,"antineoplastic-615538",NA,"487483",NA
615539,"",NA,"487484",NA
615542,"Carbon monoxide;platinum;trichlorotin;triphenylphosphanium","6392756","6392756",NA
615552,"STK680281","357318","357318",NA
615578,"6-(4-methylphenyl)-3,7a-dihydro-1H-imidazo[1,5-c][1,3]thiazole-5,7-dione","357328","357328",NA
615580,"cycleanine plus mixture of other alkaloids","357329","357329",NA
615590,"platinum, (1,2-cyclohexanediamine-n,n') bis[4-(2-hydroxy...","24201990","24201990",NA
615592,"platinum, (1,2-cyclohexanediamine-n,n')bis[2-[(3-bromo- ...","24201992","24201992",NA
615604,"4-butyl-1,2-diphenyl-4-(9H-xanthen-9-yl)pyrazolidine-3,5-dione","357337","357337",NA
615606,"5-methoxy-3-[(Z)-2-pyridin-4-ylprop-1-enyl]-1H-indole","5386680","5386680",NA
615791,"N-[2-(dimethylamino)ethyl]anthracene-9-carboxamide;hydrochloride","357356","357356",NA
615794,"STK807039","357360","357360",NA
615796,"2-(5-Nitro-1,3-dioxobenzo[de]isoquinolin-2-yl)acetonitrile","357362","357362",NA
615797,"Ethyl 2-(5-nitro-1,3-dioxobenzo[de]isoquinolin-2-yl)acetate","357363","357363",NA
615798,"2-(5,8-Dinitro-1,3-dioxo-benzo[de]isoquinolin-2-yl)acetonitrile","357364","357364",NA
615799,"1h-benz[de]isoquinoline-2(3h)-acetic acid, 5,8-dinitro- ...","357365","357365",NA
615801,"8-[2-(Dimethylamino)ethyl-methylcarbamoyl]naphthalene-1-carboxylic acid","357368","357368",NA
615802,"2-[3-[Methyl-[2-[methyl-[3-(5-nitro-1,3-dioxobenzo[de]isoquinolin-2-yl)propyl]amino]ethyl]amino]propyl]-5-nitrobenzo[de]isoquinoline-1,3-dione;hydrochloride","357369","357369",NA
615803,"1h-benz[de]isoquinoline-1,3(2h)-dione, 2,2'-[1,2- ethane...","355134","487545",NA
615804,"Antineoplastic-615804","355949","487546",NA
615806,"","357259","487548",NA
616231,"5-hexyl-2'-deoxyuridine","357416","487603",NA
616232,"dibromodulcitol","4208","487604",NA
616241,"antineoplastic-616241","44324259","440669678",NA
616271,"","357446","487632",NA
616273,"4-Tert-Butyl-1-phenyl-cyclohexanol","357449","357449",NA
616348,"Irinotecan","74990","-1","100286906"
616355,"9-[5-[[Tert-butyl(dimethyl)silyl]oxymethyl]oxolan-2-yl]purin-6-amine","357470","357470",NA
616356,"9h-purin-6-amine, 9-[[5-[(1,1-dimethylethyl)dimethylsily...","357471","357471",NA
616357,"4-(6-Aminopurin-9-yl)-6-[[tert-butyl(dimethyl)silyl]oxymethyl]-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3]dioxole-2-thione","357472","357472",NA
616358,"[5-(6-Aminopurin-9-yl)-2-[[tert-butyl(dimethyl)silyl]oxymethyl]oxolan-3-yl] methanesulfonate","357473","357473",NA
616359,"[5-(6-Aminopurin-9-yl)-2-[[tert-butyl(dimethyl)silyl]oxymethyl]oxolan-3-yl]oxy-methoxymethanethione","357474","357474",NA
616362,"2-methoxycarbonyl-3,4-dichloro-5-nitrofuran","147711","147711",NA
616511,"[7-Benzyl-6-bromo-2,4-bis(methylsulfanyl)pyrrolo[2,3-d]pyrimidin-5-yl]methanol","357482","357482",NA
616950,"","135455576","487708",NA
616960,"ranunculin (8ci)","5459107","487710",NA
617012,"N-(2-methoxyphenyl)-3-oxo-3-[2-[2-oxo-2-[(4-phenyl-1,3-thiazol-2-yl)amino]ethyl]hydrazinyl]propanamide","357548","357548",NA
617043,"1-[(4-Methylphenyl)methyl]-1-phenylphosphinan-1-ium;perchlorate","24202004","24202004",NA
617047,"1-Benzyl-4-methyl-1-phenylphosphepan-1-ium;bromide","357562","357562",NA
617076,"Free base of NSC 610966","355990","355990",NA
617128,"cis-7,9-diphenyl-3-methylene-1,8-dioxaspirodecan-2-one","357605","357605",NA
617129,"7,9-Bis(2-chlorophenyl)-3-methylidene-1,8-dioxaspiro[4.5]decan-2-one","357606","357606",NA
617130,"7,9-Bis(2-methoxyphenyl)-3-methylidene-1,8-dioxaspiro[4.5]decan-2-one","357607","357607",NA
617131,"3-Methylidene-7,9-bis(2-methylphenyl)-1,8-dioxaspiro[4.5]decan-2-one","357608","357608",NA
617140,"[3-Bromo-2-phenyl-3-(trifluoromethyl)cyclopropen-1-yl]benzene","357616","357616",NA
617145,"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide","357621","357621",NA
617156,"6-Tert-butyl-3-(2-carboxyphenyl)-1-oxo-3-phenyl-2-benzofuran-4-carboxylic acid","357632","357632",NA
617157,"5-Tert-butyl-2-[(2-carboxyphenyl)-phenylmethyl]benzene-1,3-dicarboxylic acid","357633","357633",NA
617158,"4h,12h-dibenzo[cd,mn]pyrene-4,12-dione, 2-(1,1-dimethyle...","357634","357634",NA
617189,"cyclopentaneethanol, 3-[1-(2-aminophenyl)ethenyl]-.alpha...","11969729","11969729",NA
617208,"KSC495O7F","357691","357691",NA
617260,"RLKHNNGEYFFESK-UHFFFAOYSA-N","357740","357740",NA
617263,"(4R,5S)-4-methyl-3-(2-methylpropanoyl)-5-phenyl-1,3-oxazolidin-2-one","357742","357742",NA
617277,"Hexanal, 4-methyl-6-(phenylmethoxy)-","357756","357756",NA
617309,"benzyl N-[(5S)-6-[(E)-5-(1,3-dioxolan-2-yl)-3-oxopent-1-enyl]-5-[2-(methoxymethoxy)ethyl]cyclohex-2-en-1-yl]carbamate","5386713","5386713",NA
617318,"1-[1-(2-Methylideneheptyl)pyrrolidin-2-yl]ethanone","357791","357791",NA
617330,"RADNLYZNRNNWSG-UHFFFAOYSA-N","357802","357802",NA
617347,"Asn-Gln-Trp-Ala-Val-Gly-(D)Phe-Leu-Met-NH2","6711308","6711308",NA
617369,"[(E)-3-trimethylsilylpent-3-enyl] 4-methylbenzenesulfonate","357836","357836",NA
617372,"4-methylbenzenesulfonic acid;1-propyl-3,6-dihydro-2H-pyridine","357839","357839",NA
617381,"1-Phenyl-1,2,3,6-tetrahydropyridine","357849","357849",NA
617394,"","357861","488037",NA
617412,"A818317","357878","357878",NA
617418,"1-(3-Iodopropyl)cyclopentane-1-carbonitrile","357884","357884",NA
617422,"","6711310","488065",NA
617553,"dexniquldipine hcl","357904","357904",NA
617562,"",NA,"580808",NA
617563,"",NA,"580809",NA
617564,"zinc;N-[(E)-1-[6-[(E)-C-methyl-N-(pyridine-3-carbonylamino)carbonimidoyl]pyridin-2-yl]ethylideneamino]pyridine-3-carboxamide;diacetate","24202006","24202006",NA
617566,"manganese (1+), chloro[[2-hydroxybenzoic acid(2,6- pyrid...",NA,"580811",NA
617567,"iron (1+), chloro[[2-hydroxybenzoic acid(2,6- pyridinedi...",NA,"580812",NA
617568,"2-hydroxy-N-[(E)-1-[6-[(E)-N-[(2-hydroxybenzoyl)amino]-C-methylcarbonimidoyl]pyridin-2-yl]ethylideneamino]benzamide;iron(2+);sulfate","24202007","24202007",NA
617569,"",NA,"580814",NA
617570,"nickel(1+), chloro[[2-hydroxybenzoic acid(2,6-pyridinedi...",NA,"580815",NA
617571,"",NA,"580816",NA
617572,"",NA,"580817",NA
617573,"benzoic acid, 2-hydroxy-, (2,6-pyridinediyldiethylidyne)...","5779747","488089",NA
617574,"2,4-dichloro-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;manganese(2+)","9569769","9569769",NA
617575,"2,4-dichloro-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;iron(3+);chloride","9569770","9569770",NA
617576,"2,4-dichloro-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;iron(2+)","9569771","9569771",NA
617577,"cobalt(2+);2,4-dichloro-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate","9569772","9569772",NA
617578,"2,4-dichloro-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;nickel(2+)","9569773","9569773",NA
617579,"copper;2,4-dichloro-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate","9569774","9569774",NA
617580,"zinc;2,4-dichloro-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate","9569775","9569775",NA
617581,"ARONIS017955","135455583","135455583",NA
617582,"2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;manganese(2+)","9569776","9569776",NA
617583,"2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;iron(3+);chloride","9569777","9569777",NA
617584,"2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;iron(2+)","9569778","9569778",NA
617585,"cobalt(2+);2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate","9569779","9569779",NA
617586,"2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate;nickel(2+)","9569780","9569780",NA
617587,"copper;2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate","9569781","9569781",NA
617588,"zinc;2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate","9569782","9569782",NA
617591,"meldola's blue","357925","357925",NA
617593,"Methylene Blue","6099","488109",NA
617594,"goniothalamicin","357928","357928",NA
617595,"Isoxazolyl-prodrug of distamycin (stallimycin)","357929","357929",NA
617602,"Benzyl 6-formyl-2-cyclohexen-1-ylcarbamate","357934","357934",NA
617603,"1,1-dimethylethyl methyl diester, (z, e)","5386766","5386766",NA
617609,"2-((Phenylthio)methylene)malononitrile","357940","357940",NA
617623,"","5351349","488139",NA
617634,"","357959","488150",NA
617636,"","357961","488152",NA
617639,"6-(Dimethoxymethyl)-1,3-benzodioxole-5-carbaldehyde","357964","357964",NA
617640,"5-(Dimethoxymethyl)-6-(2-methoxyvinyl)-1,3-benzodioxole","5386778","5386778",NA
617644,"acetonitrile, [[[2-(1-phenylethenyl)-2-hydroxycyclobutyl...","6711318","488160","96617231"
617668,"b720389k237","357989","488180",NA
617669,"","357990","488181",NA
617743,"pyridinium, 4-(4-methoxyphenyl)-1-(4-methylphenyl)- 2,6-...",NA,"488228",NA
617768,"4-(3,5-Dibenzylidene-4-oxopiperidin-1-yl)-4-oxo-2-butenoic acid","5386793","5386793",NA
617806,"1-Bromo-2-pentadecanone","125829","125829",NA
617822,"(E)-2-methyl-5-morpholin-4-yl-1-phenylpent-1-en-3-one;hydrochloride","5386794","5386794",NA
617823,"4-morpholinepentanoic acid, .alpha.-(phenylmethylene)- ....","5386796","5386796",NA
617824,"4-Benzylidene-1,7-dimorpholin-4-ylheptane-3,5-dione;hydrochloride","358056","358056",NA
617826,"(E)-5-morpholin-4-yl-1,2-diphenylpent-1-en-3-one;hydrochloride","5386798","5386798",NA
617844,"Acetamide, N-(7-methyl-1,4-dioxido-1,2,4-benzotriazin-3-yl)-","135435952","135435952",NA
617846,"4,13-Dimethyl-7,10-diazoniatricyclo[8.4.0.02,7]tetradeca-1(10),2(7),3,5,11,13-hexaene;bromide","358067","358067",NA
617930,"N-[2-(dimethylamino)ethyl]-2-(4-hydroxyphenyl)quinoline-8-carboxamide;hydrobromide","358074","358074",NA
617931,"N-[2-(dimethylamino)ethyl]-2-pyridin-4-ylquinoline-8-carboxamide;hydrochloride","358076","358076",NA
617932,"2-(4-bromophenyl)-N-[2-(dimethylamino)ethyl]quinoline-8-carboxamide;hydrochloride","358078","358078",NA
617936,"6-chloro-N-[2-(dimethylamino)ethyl]-2-phenylquinoline-8-carboxamide;hydrochloride","358086","358086",NA
617937,"NIOSH/VD1581000","358088","358088",NA
617950,"N-[2-(dimethylamino)ethyl]-6-phenylphenanthridine-4-carboxamide;hydrochloride","358111","358111",NA
617951,"N-[2-(dimethylamino)ethyl]-6-pyridin-3-ylphenanthridine-4-carboxamide;hydrochloride","358113","358113",NA
617952,"N-[2-(dimethylamino)ethyl]-6-(4-fluorophenyl)phenanthridine-4-carboxamide;hydrochloride","358115","358115",NA
617953,"N-[2-(dimethylamino)ethyl]-6-pyridin-4-ylphenanthridine-4-carboxamide;hydrochloride","358117","358117",NA
617956,"N-(2-Dimethylaminoethyl)-9-oxo-9H-xanthene-4-carboxamide hydrochloride","183394","183394",NA
617957,"10H-Phenothiazine-1-carboxamide, N-(2-(dimethylamino)ethyl)-, monohydrochloride","183397","183397",NA
617958,"4-acridinecarboxamide, n-[2-(dimethylamino)ethyl]-5- met...","358122","358122",NA
617959,"N-[2-(dimethylamino)ethyl]-7-methoxyacridine-4-carboxamide;hydrochloride","358123","358123",NA
617960,"N-[2-(dimethylamino)ethyl]-7-hydroxyacridine-4-carboxamide;hydrochloride","358124","358124",NA
617961,"N-[2-(dimethylamino)ethyl]-2-methylacridine-4-carboxamide;hydrochloride","358126","358126",NA
617963,"N-[2-(dimethylamino)ethyl]-7-methylacridine-4-carboxamide;hydrochloride","358128","358128",NA
617964,"N-[2-(dimethylamino)ethyl]-8-methylacridine-4-carboxamide;hydrochloride","358130","358130",NA
617965,"N-[2-(dimethylamino)ethyl]benzo[c]acridine-11-carboxamide;hydrochloride","358132","358132",NA
617966,"2-chloro-N-[2-(dimethylamino)ethyl]acridine-4-carboxamide;hydrochloride","358134","358134",NA
617967,"N-[2-(dimethylamino)ethyl]-1-methylacridine-4-carboxamide;hydrochloride","358135","358135",NA
617969,"1,4-acridinedicarboxamide, n,n'-bis[2-(dimethylamino) et...","358138","358138",NA
617971,"N-(2-aminoethyl)acridine-4-carboxamide;hydrochloride","358141","358141",NA
617976,"benzo(a)phenazine-8-carboxamide, n-[2-(dimethylamino)eth...","358150","358150",NA
617977,"N-[2-(dimethylamino)ethyl]benzo[a]phenazine-11-carboxamide;hydrochloride","358152","358152",NA
617979,"7-chloro-N-[2-(dimethylamino)ethyl]phenazine-1-carboxamide;hydrochloride","358156","358156",NA
617985,"N-[3-(dimethylamino)propyl]phenazine-1-carboxamide;hydrochloride","358168","358168",NA
617987,"N-[2-(dimethylamino)ethyl]pyrido[2,3-a]phenazine-11-carboxamide;hydrochloride","358172","358172",NA
617988,"dibenzo[a,c]phenazine-10-carboxamide, n-[2- (dimethylami...","358174","358174",NA
617989,"3-deazaneplanocin, hydrochloride","358176","488343",NA
617999,"Azidopine","656406","656406",NA
618048,"6-(4-Azido-2-nitroanilino)-N-(1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl)hexanamide","3003993","3003993",NA
618049,"4-azido-N-(1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl)benzamide","3003994","3003994",NA
618059,"1-Penten-3-one, 5-(4-morpholinyl)-1-phenyl-, hydrochloride","5386805","5386805","84175279"
618069,"7-chloro-1-(chloromethyl)-4H-[1,2,4]triazolo[3,4-c][1,4]benzothiazine","358192","358192",NA
618070,"2-chloro-N'-(7-chloro-2H-1,4-benzothiazin-3-yl)acetohydrazide","358193","358193",NA
618077,"phenol, 4-ethyl-2-[(e)-[[3-[[3-[[(1e)-(2-hydroxy- 5-meth...","5459108","5459108",NA
618093,"[2-(5-fluoro-2,4-dioxopyrimidin-1-yl)-6-methyl-5-oxo-2H-pyran-4-yl] acetate","358202","358202",NA
618100,"(1R,4R)-1,4-bis(4-methoxyphenyl)-1,3a,4,6a-tetrahydrofuro[3,4-c]furan-3,6-dione","358209","358209",NA
618115,"(E)-3-chloro-3-(3,4-dimethoxyphenyl)-2-(4-methoxyphenyl)prop-2-enal","5386811","5386811",NA
618116,"(E)-3-chloro-2-(4-chlorophenyl)-3-(3,4-dimethoxyphenyl)prop-2-enal","5386812","5386812",NA
618120,"(E)-3-chloro-2-(4-chlorophenyl)-3-(4-methoxyphenyl)prop-2-enal","5386813","5386813",NA
618121,"2-propenal, 3-chloro-2,3-bis(3,4-dimethoxyphenyl)-","3001008","3001008",NA
618123,"ethyl 2-[2-[(E)-1-chloro-2-(3,4-dimethoxyphenyl)-3-oxoprop-1-enyl]-4,5-dimethoxyphenyl]acetate","5386814","5386814",NA
618142,"",NA,"580828",NA
618144,"copper;1-(1-methylimidazol-2-yl)-N-[(1-methylimidazol-2-yl)methyl]methanamine;acetate;perchlorate","24202012","24202012",NA
618145,"Copper;bis[(1-methylimidazol-2-yl)methyl]azanide;dinitrate","358228","358228",NA
618201,"1,4-anthracenedione, 5-hydroxy-","358258","358258","74553574"
618207,"2-(2,5-Dihydroxybenzoyl)-3-methoxybenzaldehyde","358264","358264",NA
618228,"1-[(4-Methylphenyl)sulfonyl]-2-piperidineethanol","358286","358286",NA
618229,"2-[(E)-4-chlorobut-2-enoxy]oxane","5386823","5386823",NA
618230,"(4aR)-spiro[1,3,4,4a,5,7,8,8a-octahydroisoquinoline-6,2'-1,3-dioxolane]-2-carbonitrile","358288","358288",NA
618231,"8-Benzoyl-1,4-dioxa-8-azaspiro[4.5]decane-7-carbonitrile","358289","358289",NA
618234,"2-benzoyl-3,4,4a,5,7,8,9,9a-octahydro-1H-pyrido[3,4-d]azepin-6-one","358292","358292",NA
618235,"(4aR)-2-benzoylspiro[1,3,4,4a,5,7,8,8a-octahydroisoquinoline-6,2'-1,3-dioxolane]-3-carbonitrile","358293","358293",NA
618236,"BIBSDXWBPGZTKL-UHFFFAOYSA-N","358294","358294",NA
618237,"1-Benzoyl-2-benzylpiperidine-2-carbonitrile","358295","358295",NA
618238,"Cmldbu00002581","358296","358296",NA
618239,"2-Benzoylspiro[1,3,4,4a,5,7,8,8a-octahydroisoquinoline-6,2'-1,3-dioxolane]-1-carbonitrile","358297","358297",NA
618240,"methyl 2-[(2R,5R)-1-benzoyl-2-cyano-5-(2-nitroethyl)piperidin-4-yl]acetate","358298","358298",NA
618261,"2h-1-benzopyran, 6-methoxy-3-nitro-2-[2,2,2',2'-tetramet...","358300","358300",NA
618262,"4,4,11,11-tetramethyl-8-[(E)-2-nitroethenyl]-3,5,7,10,12-pentaoxatricyclo[7.3.0.02,6]dodecane","5386824","5386824",NA
618267,"1-diazo-N,N-dimethylmethanamine","358305","358305",NA
618270,"2-Amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-7-methyl-1,8-dihydropurin-6-one","135422750","135422750",NA
618272,"UWHFXNUVALKMIU-UHFFFAOYSA-N","358311","358311",NA
618296,"2-[9-[(7-Oxocyclohepta-1,3,5-trien-1-yl)amino]nonylamino]cyclohepta-2,4,6-trien-1-one","358331","358331",NA
618298,"2-[8-[(7-Oxocyclohepta-1,3,5-trien-1-yl)amino]octylamino]cyclohepta-2,4,6-trien-1-one","358333","358333",NA
618305,"STK699265","358340","358340",NA
618308,"DA-23553","358343","358343",NA
618313,"(4-Hydroxy-5,6,7,8-tetrahydronaphthalen-1-yl) acetate","358348","358348",NA
618314,"ghl.PD_Mitscher_leg0.158","358349","358349",NA
618315,"1,4-Naphthalenedione, 5-methoxy-","123220","123220",NA
618317,"1,4-Bis(2-ethoxyethoxy)benzene","358350","358350",NA
618319,"1-(2-Methoxyethoxymethoxy)-4-phenylmethoxybenzene","358352","358352",NA
618332,"1,4-naphthalenedione, 2,3-diphenyl-","83259","488543","13243657"
618403,"N-[(Z)-2-[4-[(Z)-2-benzamido-2-(6-methyl-1H-benzimidazol-2-yl)ethenyl]-3-methylphenyl]-1-(6-methyl-1H-benzimidazol-2-yl)ethenyl]benzamide","5386833","5386833",NA
618447,"methyl N-[(Z)-[2-(3-hydroxy-5-nitro-2-oxo-1H-indol-3-yl)-1-phenylethylidene]amino]carbamate","9555771","9555771",NA
618487,"Staurosporine","6711321","-1",NA
618489,"methyl N-[(E)-1-(4-hydroxy-6-methyl-2-oxopyran-3-yl)ethylideneamino]carbamate","135455594","135455594",NA
618495,"","358487","488664",NA
618500,"Methyl 5-cyano-5-(2,4-dichlorophenyl)-4-oxopentanoate","358492","358492",NA
618541,"STK544180","358533","358533",NA
618571,"Isoannonacin","128014","128014",NA
618605,"2-butenoic acid, 2,3-dichloro-4-[(2,6-diethylphenyl) ami...","9948812","9948812",NA
618619,"N-[(Z)-2-[2-[(Z)-2-acetamido-2-(5,6-dimethyl-1H-benzimidazol-2-yl)ethenyl]phenyl]-1-(5,6-dimethyl-1H-benzimidazol-2-yl)ethenyl]acetamide","5386905","5386905",NA
618621,"N-(1-(1,3-Benzothiazol-2-YL)-2-(2,4-dichlorophenyl)vinyl)benzamide","5386906","5386906",NA
618622,"4-Bromo-9-tert-butyl-2,2,6,6-tetrakis(trifluoromethyl)-3,5-dioxa-11-aza-4-borabicyclo[5.3.1]undeca-1(10),7(11),8-triene","358615","358615",NA
618630,"1,1-Bis(2-bromophenyl)-2,2,2-trifluoroethanol","358622","358622",NA
618631,"5-Tert-butyl-2-methylsulfonyl-1,3-bis(prop-1-en-2-yl)benzene","358623","358623",NA
618635,"3,4,5,6-Tetramethyl-2,7,8,9-tetraoxa-1lambda4-telluratetracyclo[3.2.1.11,4.03,6]nonane","358627","358627",NA
618636,"1,1',5,5',6,6',7,7'-Octamethyl-3,3'-spirobi[2,4-dioxa-3lambda4-tellurabicyclo[3.2.0]heptane]-6,6',7,7'-tetrol","358628","358628",NA
618641,"7-Tert-butyl-9,9,9',9'-tetrakis(trifluoromethyl)-7,7'-spirobi[8-oxa-7-silanuidabicyclo[4.3.0]nona-1,3,5-triene];tetramethylazanium","358630","358630",NA
618642,"6-Tert-butyl-4-[2-(chloromethoxy)-1,1,1,3,3,3-hexafluoropropan-2-yl]-1,1-bis(trifluoromethyl)spiro[2-benzofuran-3,10'-anthracene]-9'-one","358632","358632",NA
618645,"2-[2,6-ditert-butyl-2-methyl-4,4-bis(trifluoromethyl)-1H-3,1-benzoxazin-8-yl]-1,1,1,3,3,3-hexafluoropropan-2-ol","358635","358635",NA
618646,"2-[2,6-Ditert-butyl-4,4-bis(trifluoromethyl)-1,2-dihydro-3,1-benzoxazin-8-yl]-1,1,1,3,3,3-hexafluoropropan-2-ol","358636","358636",NA
618647,"2-[2,6-Ditert-butyl-2-phenyl-4,4-bis(trifluoromethyl)-1H-3,1-benzoxazin-8-yl]-1,1,1,3,3,3-hexafluoropropan-2-ol","358637","358637",NA
618654,"Ammonium Trichlorotellurate",NA,"488819",NA
618659,"2-(2-Ethyl-6-propan-2-ylanilino)-3-(4-methylpyridin-1-ium-1-yl)naphthalene-1,4-dione;perchlorate","24202023","24202023",NA
618757,"piperidinium, 3,5-bis[4-[(dimethylamino)phenyl]methylene...","5386914","5386914","122864737"
618758,"(E)-5-(dimethylamino)-1-[4-[(E)-5-(dimethylamino)-4,4-dimethyl-3-oxopent-1-enyl]phenyl]-4,4-dimethylpent-1-en-3-one;hydrobromide","5386916","5386916",NA
618759,"4-penten-3-one, 5,5'-(1,4-phenylenbis)bis[2,2-dimethyl- ...","5386918","5386918",NA
618760,"(E)-1-[4-[(E)-4,4-dimethyl-5-morpholin-4-yl-3-oxopent-1-enyl]phenyl]-4,4-dimethyl-5-morpholin-4-ylpent-1-en-3-one;hydrobromide","5386920","5386920",NA
618763,"(E)-1-(diethylamino)-4-(4-methylphenyl)but-3-en-2-one;hydrobromide","5386925","5386925",NA
618765,"(E)-5-(dimethylamino)-1-(4-methylphenyl)pent-1-en-3-one;hydrobromide","5386929","5386929",NA
618766,"(E)-5-(diethylamino)-4-methyl-1-(4-methylphenyl)pent-1-en-3-one;hydrobromide","5386931","5386931",NA
618768,"(3E,5E)-3,5-dibenzylidene-1,1-dimethylpiperidin-1-ium-4-one;bromide","5386935","5386935",NA
618770,"piperidin-4-ol, n-ethyl-n-methyl-3-(1-oxo-3-phenyl-2-pro...","5386939","5386939",NA
618824,"",NA,"488923",NA
618826,"",NA,"488925",NA
618857,"4-piperidinone, 3,5-bis[[(4-methylthio)phenyl]methylene]...","5386952","488954",NA
618861,"8-(3,4,5-Trimethoxyphenyl)-2,12,14-trioxatetracyclo[7.7.0.03,7.011,15]hexadeca-1(16),3(7),9,11(15)-tetraen-6-one","358792","358792",NA
618862,"furo[3',4':5,6]pyrano[2,3-f]-1,3-benzodioxole-8-one, 6,9...","358793","358793",NA
618927,"Demethylnobiletin","358832","358832",NA
618928,"3-Methoxynobiletin","150893","150893",NA
618932,"MEGxp0_000612","5386961","5386961",NA
618933,"LMPK12113330","5386962","5386962",NA
618935,"07JTS22V9J","136417","136417",NA
618939,"Camptothecin Derivative","11969742","-1",NA
619003,"MX2 HCl","5351347","5351347",NA
619007,"2,3',3''-SEtNMe2-4,6-diPh-Pyr","358880","358880",NA
619012,"RD3GVR673P","358883","358883",NA
619013,"2-((4-(1-Benzothien-2-yl)-2-pyrimidinyl)thio)-N,N-dimethylethanamine","358884","358884",NA
619029,"carzelesin","358898","489094","119813104"
619030,"analog of cc-1065",NA,"489095",NA
619031,"analog of cc-1065",NA,"489096",NA
619042,"cyclohexanone, 2,6-bis[(dimethylamino)methyl]-, dihydroc...","358899","489097",NA
619102,"4-methoxy-1,5-benzothiazepine-1,1-dioxide","358940","358940","111888325"
619103,"thymidine, 3'-azido-5-bromo-3'-deoxy-5,6-dihydro-6-methoxy-","3108","489152",NA
619147,"SR 4482","358960","358960",NA
619156,"3-Methyl-1-phenyl-5-sulfanylpyrazol-4-yl phenyl ketone","4989771","4989771",NA
619161,"3-phenyl-4-(phenyliminomethyl)-2H-1,2-oxazole-5-thione","3259678","3259678",NA
619164,"Deplancheine","5386990","5386990",NA
619166,"(3Z)-3-ethylidene-2,4,6,7,12,12b-hexahydro-1H-indolo[2,3-a]quinolizine","5386991","5386991",NA
619171,"F9994-6556","358975","358975",NA
619173,"","6711328","489198",NA
