Uppername	compound_id	compound_name	equivalent_structures	primary_moa	moas	primary_target_gene_symbol	phase	rdkit_smiles	CAS	cas	nsc	name	testing_status	mechanism	synonyms	cas.y	found	duplicated
DACTOLISIB	c345f6a0937a7854058e30e159cc118c	DACTOLISIB	[NCGC00187481]	Mtor Inhibitor	"[Mtor Inhibitor, Serine/threonine-protein Kinase Mtor Inhibitor, Phosphatidylinositol 3-kinase Catalytic Subunit Beta Inhibitor, Phosphatidylinositol 3-kinase Alpha Isoform Inhibitor, Phosphatidylinositol 3-kinase Catalytic Subunit Gamma Inhibitor, Phosphatidylinositol 3-kinase Catalytic Subunit Delta Inhibitor, Frap1, Pi3k Alpha, Beta, Gamma, Delta Inhibitor]"	MTOR	"[Phase II, Unknown]"	"[CS(=O)(=O)O.Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21, Cc1ccc(S(=O)(=O)O)cc1.Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21, Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21]"	915019-65-7	915019657	800085	DACTOLISIB	NA	NA	NA		name	FALSE
DAROLUTAMIDE (ODM-201)	3b42d4b85766a8b59d4d7dfda6ecff04	Darolutamide (odm-201)	"[NCGC00484078, NCGC00482785]"	Androgen Receptor Antagonist	[Androgen Receptor Antagonist]	AR	[Phase III]	"[CC(O)c1cc(C(=O)N[C@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1, CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1]"	1297538-32-9	1297538329	825331	Darolutamide	NA	NA	bay-1841788|bay1841788|darolutamide|cs-5174	1297538329	cas	FALSE
EMD-534085	53c72e55f5e3e7532de7224628f0a1a6	emd-534085	[NCGC00522550]	Kinesin-like Spindle Protein Kif11 (ksp; Eg5) Inhibitor	"[Kinesin-like Spindle Protein Kif11 (ksp; Eg5) Inhibitor, Kinesin-like Protein Kif11 Inhibitor]"	KIF11	"[Unknown, Phase I]"	[CN(C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1]	858668-07-2	858668072	763564	EMD-534085	Clinical trial	CDH16|Kinesin|PK:YK	"emd-534085|1-[[(2r,4as,5r,10bs)-5-phenyl-9-(trifluoromethyl)-3,4,4a..."		name	FALSE
ENCORAFENIB	37eeb556432f2c2a9059ccf00376c95f	ENCORAFENIB	[NCGC00378599]	Serine/threonine-protein Kinase B-raf (val600glu Mutant) Inhibitor	"[Serine/threonine-protein Kinase B-raf (val600glu Mutant) Inhibitor, Raf Kinase Inhibitor B (v600e Mutant)]"	BRAF	"[Phase III, Unknown, Approved]"	"[COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1, COC(=O)N[C@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1]"	1269440-17-6	1269440176	778304	ENCORAFENIB	FDA approved	PK:BRAF	lgx-818|encorafenib		name	FALSE
ENMD-981693	b6e953c5473c215c61a1a320d78fd936	ENMD-981693	[NCGC00263178]	Vascular Endothelial Growth Factor Receptor 2 Inhibitor	"[Vascular Endothelial Growth Factor Receptor 2 Inhibitor, Aurora-a Inhibitor, Aurora Kinase A Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inbitor]"	KDR	"[Phase II, Unknown]"	"[Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)n[nH]1, Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1, Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1.O=C(O)C(O)C(O)C(=O)O]"	1291074-87-7	1291074877	758245	ENMD-2076	Clinical trial	"PK:STK,AURK"	enmd-2076|s1181|ENMD-98169|ENMD-981693	934353761	synonym	FALSE
ENSARTINIB	9e119d8549fdf9fd94ee3ee61e14aecc	Ensartinib	[NCGC00510479]	Alk Tyrosine Kinase Receptor Inhibitor	"[Alk Tyrosine Kinase Receptor Inhibitor, Alk Inhibitor, Alk Tyrosine Kinase Receptor (leu1196met Mutant) Inhibitor]"	ALK	"[Phase III, Unknown]"	[C[C@@H](Oc1cc(C(=O)Nc2ccc(C(=O)N3CCN(C)CC3)cc2)nnc1N)c1c(Cl)ccc(F)c1Cl]	1365267-27-1	1365267271	793150	ENSARTINIB	Clinical trial	PK:ALK	x-396|a-6020|x396|ensartinib	1370651209	name	FALSE
ERGOSTEROL	3cdb4cbcc8a2c339b9a667999d1ad554	Ergosterol	"[NCGC00013734, NCGC00095486, NCGC00096845, NCGC00168889]"	"Nitric Oxide Synthase, Inducible Inhibitor"	"[Nitric Oxide Synthase, Inducible Inhibitor, Sterol (fungal Cell Wall), Nf-kappab (nfkb) Activation Inhibitor, Platelet-activating Factor Acetylhydrolase Inhibitor, Sterol O-acyltransferase 1 Inhibitor, Oxysterols Receptor Lxr-alpha Agonist, Aldose Reductase Inhibitor, Prostaglandin G/h Synthase 2 Expression Inhibitor]"	NOS2	"[Not determined, Preclinical, Unknown]"	"[CC(C)[C@@H](C)/C=C\[C@@H](C)[C@@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C, CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C, CC(C)C(C)/C=C/C(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C, CC(C)C(C)/C=C\C(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C, CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C, CC(C)[C@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C, CC(/C=C\[C@H](C)C(C)C)[C@@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C]"	57-87-4	57874	62791	ERGOSTEROL	NA	NA	ergosterol		name	FALSE
EZATIOSTAT	fa8beb966d261edfbc7f85d04d279d62	EZATIOSTAT	"[NCGC00263221, NCGC00389375]"	Glutathione-s-transferase P Inhibitor	"[Glutathione-s-transferase P Inhibitor, Glutathione-s-transferase P1 (gstp1) Inhibitor, Glutathione-s-transferase Pi 1 Inhibitor]"	GSTP1	"[Phase II, Unknown]"	"[CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)OCC)c1ccccc1, CCOC(=O)C(N)CCC(=O)NC(CSCc1ccccc1)C(=O)NC(C(=O)OCC)c1ccccc1, CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)OCC)c1ccccc1.Cl]"	168682-53-9	168682539	758484	EZATIOSTAT	Clinical trial	"GSTP1|PK:STK,ROS1"	ezatiostat hydrochloride|api0005209|TLK-199|ezatiostat|Telintra	286942970	name	FALSE
GANDOTINIB	23d41b31a6fb151abbb729bd0481a4a5	Gandotinib	[NCGC00345461]	Tyrosine-protein Kinase Jak2 Inhibitor	"[Tyrosine-protein Kinase Jak2 Inhibitor, Jak2 Inhibitor]"	JAK2	[Phase II]	"[Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1, Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)n[nH]1]"	1229236-86-5	1229236865	764820	GANDOTINIB	Clinical trial	"PK:JAK,JAK2,JAK3"	s2179|ly2784544|ly-2784544|gandotinib		name	FALSE
GDC-0152	4ca0f1d944573253eaf6a67dbe659bdc	Gdc-0152	"[NCGC00389226, NCGC00386277]"	Iap Inhibitor	"[Iap Inhibitor, Inhibitor Of Apoptosis Protein 3 Antagonist, Inhibitor Of Apoptosis Proteins (iap) Inhibitor]"	XIAP	"[Unknown, Phase I]"	"[CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1, CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1.O=C(O)C(F)(F)F, CN[C@H](C)C(=O)N[C@@H](C(=O)N1CCC[C@@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1, CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1, CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1.Cl]"	873652-48-3	873652483	765898	GDC-0152	Clinical trial	IAP	GDC-0152		name	FALSE
GNE-140	a4d28c0f29b23c2cb6851ccd5402afa1	Gne-140	[NCGC00388532]		[]		[]	[O=C1NC(c2ccc(N3CCOCC3)cc2)(c2ccsc2)CC(O)=C1Sc1ccccc1Cl]		NA	799908	GNE-140	Clinical trial	LDHA	gne140|gne-140|cs-5958	1802977612	name	FALSE
GSK-1059615	b06cd05b0f003423e20ad220faa690f8	Gsk-1059615	"[NCGC00346509, NCGC00389323]"	Pi3kalpha Inhibitor	"[Pi3kalpha Inhibitor, Phosphatidylinositol 3-kinase Alpha Isoform Inhibitor]"	PIK3CA	"[Discontinued, Phase I]"	"[O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1, O=C1NC(=O)/C(=C\c2ccc3nccc(-c4ccncc4)c3c2)S1]"	958852-01-2	958852012	801012	GSK-1059615	NA	NA	NA		name	FALSE
GSK-2194069	4940e63f078b5a6c1a9f75c1f76056a3	Gsk-2194069	[NCGC00387475]	Fatty Acid Synthase (fas) Inhibitor	"[Fatty Acid Synthase (fas) Inhibitor, Fatty Acid Synthase Inhibitor]"	FASN	"[Preclinical, Unknown]"	[O=C(C1CC1)N1CC[C@@H](Cc2n[nH]c(=O)n2-c2ccc(-c3ccc4occc4c3)cc2)C1]	1332331-08-4	1332331084	792955	GSK-2194069	Clinical trial	FAS|FASN	gsk2194069|gsk-2194069|a-6000	1332331211	name	FALSE
GW441756X	89aa5595892380b79e7a12cac9b144c7	GW441756X	"[NCGC00161398, NCGC00242139, NCGC00165797]"	Tropomyosin Related Kinase A (trka) Inhibitor	"[Tropomyosin Related Kinase A (trka) Inhibitor, Leucine-rich Repeat Kinase 2 Inhibitor, Trk A Inhibitor, High Affinity Nerve Growth Factor Receptor Inhibitor]"	NTRK1	"[Preclinical, Unknown]"	"[Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21, Cn1cc(/C=C2/C(=O)Nc3cccnc32)c2ccccc21, Cn1cc(/C=C2\C(=O)Nc3cccnc32)c2ccccc21]"	504433-23-2	504433232	756236	GW441756X	NA	NA	gw441756x|;gw441756x		name	FALSE
GW768505A	9d6268ccbc4cf93bd915125ff9131932	GW768505A	[NCGC00242057]	Tie-2 Kinase Inhibitor	"[Tie-2 Kinase Inhibitor, Angiopoietin-1 Receptor Inhibitor]"	TEK	"[Preclinical, Unknown]"	"[COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cc1, COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cc1.Cl]"	501693-25-0	501693250	756332	GW768505A	NA	NA	;gw768505a|gw768505a		name	FALSE
IMD-0354	9ce1313d11629f72206c606a70a51b45	IMD-0354	[NCGC00165811]	Ikk-2 Inhibitor	"[Ikk-2 Inhibitor, Ikk Beta Inhibitor, Nf-kappab (nfkb) Activation Inhibitor, Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta Inhibitor, Nf-kappab Activation Inhibitor]"	IKBKB	"[Unknown, Phase I]"	[O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O]	978-62-1	978621	800773	IMD-0354	NA	NA	NA		name	FALSE
INK-128	55ab1a13e591df82157c8aaeeeb95cb0	INK-128	[NCGC00346654]	Mtorc1/2 Inhibitor	"[Mtorc1/2 Inhibitor, Mtor Complex 1 (mtorc1) Inhibitor, Mtor Complex 2 (mtorc2) Inhibitor, Serine/threonine-protein Kinase Mtor Inhibitor]"	MTOR	"[Phase II, Unknown, Phase I]"	"[CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21, [2H]C([2H])([2H])C([2H])(n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21)C([2H])([2H])[2H]]"	1224844-38-5	1224844385	780880	3-(2-aminobenzo[d]oxazol-5-yl)-1-isopropyl-1H-pyrazolo[3...	NA	NA	3-(2-aminobenzo[d]oxazol-5-yl)-1-isopropyl-1h-pyrazolo[3...|ink-128	1224844385	cas	FALSE
JNJ-28312141	a8cd6dbc6807edec6a56bd1448e972dc	Jnj-28312141	[NCGC00345853]	Colony Stimulating Factor 1 Receptor Inhibitor	"[Colony Stimulating Factor 1 Receptor Inhibitor, Csf1r (c-fms) Inhibitor]"	CSF1R	"[Unknown, Phase I]"	"[CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl, CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1]"	885692-52-4	885692524	754345	JNJ-28312141	Clinical trial	"PK:YK,CSF1R"	"hcl salt of free base-jnj-28312141 (csfr-1)|jnj-28312141, hcl salt|1h-imidazole-2 carboxamide, 5-cyano-n-[2-(1-cyclohexen-1...|JNJ-28312141"	1149939558	name	FALSE
JNJ-38877605	d20c8cd172ed66d800ec95c565fd144b	JNJ-38877605	[NCGC00263189]	Hgfr (met; C-met) Inhibitor	"[Hgfr (met; C-met) Inhibitor, Hepatocyte Growth Factor Receptor Inhibitor, Hgfr Inhibitor]"	MET	[Phase I]	[Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1]	943540-75-8	943540758	759095	JNJ-38877605	Clinical trial	"PK:YK,MET"	"jnj 38877605|6-{difluoro[6-(1-methyl-1h-pyrazol-4-yl)-1,2,4-triazolo[...|JNJ-38877605"		name	FALSE
KX-01	97e9566a610f4b3406c30058672ca67f	KX-01	[NCGC00346644]	Src Kinase Inhibitor	"[Src Kinase Inhibitor, Src Kinase Inhibitors, Tubulin Polymerization Inhibitors, Tubulin Polymerization Inhibitor, Src Kinase Family Inhibitor, Tyrosine-protein Kinase Csk Inhibitior]"	SRC	"[Phase III, Phase II]"	[O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1]	1038395-65-1	1038395651	756643	KX-01	Clinical trial	"PK:YK,SRC"	"kx2-391|2-pyridineacetamide, 5-[4-[2-(4-morpholinyl)ethoxy]pheny...|KX-01|KXO-1|kx01"	897016829	name	FALSE
LGH-447	4de824102ae0f1a6c6be6efc6cde648f	LGH-447	[NCGC00510688]	Pim-1 Kinase Inhibitor	"[Pim-1 Kinase Inhibitor, Serine/threonine-protein Kinase Pim-1 Inhibitor, Serine/threonine-protein Kinase Pim-3 Inhibitor, Serine/threonine-protein Kinase Pim-2 Inhibitor]"	PIM1	"[Phase I/II, Unknown]"	"[C[C@@H]1C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H](N)C1, C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1]"	1210608-43-7	1210608437	794109	LGH-447	Clinical trial	PK:PIM1	lgh-447 2hcl|pim447 dihydrochloride|cs-5941|lgh447 2hcl|pim-447 dihydrochloride|LGH-447|PIM-447	1820565692	name	FALSE
MGCD-265	c56fea335c95d427a26bcc5e29a815ea	MGCD-265	[NCGC00346510]	Hgfr (met; C-met) Inhibitor	"[Hgfr (met; C-met) Inhibitor, Hgfr Inhibitor, Macrophage-stimulating Protein Receptor Inhibitor, Vascular Endothelial Growth Factor Receptor 2 Inhibitor, Vascular Endothelial Growth Factor Receptor 3 Inhibitor, Angiopoietin-1 Receptor Inhibitor, Vascular Endothelial Growth Factor Receptor 1 Inhibitor, Hepatocyte Growth Factor Receptor Inhibitor, Macrophage Stimulating 1 Receptor (mst1r, Ron) Inhibitors Tie2 Receptor Inhibitors Vegfr-1 (flt-1) Inhibitors Vegfr-2 (flk-1/kdr) Inhibitors Vegfr-3 (flt4) Inhibitors]"	MET	"[Phase II, Preclinical]"	[Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1]	875337-44-3	875337443	791059	MGCD-265	Clinical trial	PK:VEGFR	ct-mg265|glesatinib|mgcd265|MGCD-265		name	FALSE
MI-503	09c44a6b21ed898c08ce21315acdb8a9	Mi-503	[NCGC00507854]	Histone Methyl Transferase Inhibitor	"[Histone Methyl Transferase Inhibitor, Menin/mll Interaction Inhibitor]"	KTM2A	"[Preclinical, Unknown]"	[Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2Cc1cn[nH]c1]	1857417-13-0	1857417130	"785346, 787039"	"MI-503, MI-503"	"NA, Clinical trial"	"NA, KMT2A"	"mi 503|a-1399|mi-503|mi503, mi 503|a-1399|mi-503|mi503"	", "	"name, name"	"TRUE, TRUE"
MIFEPRISTONE	3510f201e09b021cdc8b4d4a850f31c4	MIFEPRISTONE	"[NCGC00025179, NCGC00015700, NCGC00263908, NCGC00179632, NCGC00016952, NCGC00261486, MLS000069785, MLS001424271, NCGC00255152, MLS001074115]"	Progesterone Receptor Antagonist	"[Progesterone Receptor Antagonist, Glucocorticoid Receptor Antagonist, Internal Ribosomal Entry Site (ires) Inhibitor, Androgen Receptor Ligand]"	PGR	"[Unknown, Approved]"	"[CC#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C, CC#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@]21C, CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C, CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C, CC#C[C@]1(O)CCC2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C, CC#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](c3ccc(N(C)C)cc3)C[C@]21C, CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](c3ccc(N(C)C)cc3)C[C@@]21C]"	84371-65-3	84371653	652104	MIFEPRISTONE			17-.beta.-hydroxy-11-.beta.-(4-dimethylaminophenyl)-17-....|mifepristone		name	FALSE
MK-0752	88cbaaa81631785f23dd223df30d66ff	MK-0752	[NCGC00263184]	G-secretase Inhibitor	"[G-secretase Inhibitor, Gamma-secretase Inhibitor]"	PSN1	"[Phase II, Unknown, Phase I]"	"[O=C(O)CCC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1, O=C(O)CC[C@H]1CC[C@@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1]"	471905-41-6	471905416	762831	MK-0752	Clinical trial	PSM|APH1|Gamma secretase	";3-[cis-4-[(4-chlorophenyl)sulfonyl]-4-(2,5-difluorophen...|sri-013072|3-[cis-4-[(4-chlorophenyl)sulfonyl]-4-(2,5-difluoropheny...|L-000891675|MK-0752|cs-0253"		name	FALSE
MK-8033	8bcc675493d5d076411d8d1e4cfdf015	MK-8033	[NCGC00378567]	Macrophage-stimulating Protein Receptor Inhibitor	"[Macrophage-stimulating Protein Receptor Inhibitor, Hgfr Inhibitor, Hepatocyte Growth Factor Receptor Inhibitor]"	MST1R	[Phase I]	[Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1]	1001917-37-8	1001917378	761692	MK-8033	Clinical trial	"PK:YK,MET"	"1-[3-(1-methyl-1h-pyrazo-4-yl)-5-oxo-5h-benzo[4,5]cycloh...|mk-8033"		name	FALSE
MK-886	56b75b73b58263af6c0ca1b1ce6caff2	MK-886	"[NCGC00016167, MLS002153424, NCGC00162249, NCGC00025106, NCGC00094113, MLS000758280, NCGC00381708, NCGC00261459]"	5-lipoxygenase-activating (flap) Inhibitor	"[5-lipoxygenase-activating (flap) Inhibitor, Arachidonate 5-lipoxygenase-activating Protein Inhibitor, Leukotriene Synthesis Inhibitor, Ppar Modulators]"	ALOX5AP	"[Phase II, Unknown]"	"[CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc1ccc(Cl)cc1.[Na+], CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1, CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc1ccc(Cl)cc1]"	118427-55-7	118427557	736463	MK-886			MK-886		name	FALSE
MONASTROL	f21a5868a0ac1818ddd6bfd139763357	Monastrol	[NCGC00025103]	Kinesin-like Protein Kif11 Inhibitor	"[Kinesin-like Protein Kif11 Inhibitor, Kinesin-like Spindle Protein Inhibitor]"	KIF11	"[Preclinical, Unknown]"	"[CCOC(=O)C1=C(C)NC(=S)N[C@H]1c1cccc(O)c1, CCOC(=O)C1=C(C)NC(=S)N[C@@H]1c1cccc(O)c1, CCOC(=O)C1=C(C)NC(=S)NC1c1cccc(O)c1]"	254753-54-3	254753543	716782	MONASTROL			monastrol		name	FALSE
NAPABUCASIN	687cecf7ca04feab71af6bc52d43d594	NAPABUCASIN	[NCGC00390475]	Signal Transducer And Activator Of Transcription 3 Inhibitor	"[Signal Transducer And Activator Of Transcription 3 Inhibitor, Stat-3 Inhibitor]"	STAT3	[Phase III]	[CC(=O)c1cc2c(o1)C(=O)c1ccccc1C2=O]	1134099-70-9	1134099709	788900	NAPABUCASIN	Clinical trial	CTNNB1|STAT3	;napabucasin;a-1960|napabucasin|a-1960|BBI-608	83280653	name	FALSE
NOSCAPINE	d897ec6def8082b79b406c186cdf3047	Noscapine	"[NCGC00023230, NCGC00015757, MLS001060855, NCGC00024322, NCGC00095305, MLS001076557, NCGC00016388, MLS000028523, MLS000104989, NCGC00017174, NCGC00180898, NCGC00261525, NCGC00087142, NCGC00094170, MLS000069475, NCGC00142420]"	Tubulin Polymerization Inhibitors	"[Tubulin Polymerization Inhibitors, Tubulin Polymerization Inhibitor]"	TUBB	"[Unknown, Approved]"	"[COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C.Cl, COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C, COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C.Cl, COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C.Cl, COc1ccc2c(c1OC)C(=O)OC2[C@@H]1c2c(cc3c(c2OC)OCO3)CCN1C, COc1ccc2c(c1OC)C(=O)O[C@H]2[C@@H]1c2c(cc3c(c2OC)OCO3)CCN1C, COc1ccc2c(c1OC)C(=O)OC2[C@@H]1c2c(cc3c(c2OC)OCO3)CCN1C.Cl, COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C, COc1ccc2c(c1OC)C(=O)O[C@H]2C1c2c(cc3c(c2OC)OCO3)CCN1C.Cl, COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C, COc1ccc2c(c1OC)C(=O)O[C@H]2C1c2c(cc3c(c2OC)OCO3)CCN1C, COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C.Cl.O]"	912-60-7	912607	5366	NOSCAPINE	NA	NA	"narcotussin|narcotin|opian|1(3h)-isobenzofuranone, 6,7-dimethoxy-3-(5,6,7,8-tetrahy...|narcompren|wln: t c566 do fo kn eh & & tj ho1 k1 j-dt56 bvo dhj ho1...|noscapine|narcotine (8ci)|noscapin|noscapal|noscapalin|.alpha.-narcotine|narcosine|nipaxon|coscopin (van)|phthalide, 6,7-dimethoxy-3-(5,6,7,8-tetrahydro-4-methoxy...|o-methylnarcotoline|opianin|terbenol|hederix (free base)|narkotin|methoxyhydrastine|l-.alpha.-narcotine|key-tusscapine|tusscapine|capval|longatin|narcotine|opianine|coscotabs|nsc 5366|lyobex|nectadon|vadebex|nicolane|1-.alpha.-narcotine"	128621	name	FALSE
NVP-BHG712	0342ef346f77acff06a7ad14009407d9	Nvp-bhg712	[NCGC00249391]	Raf Kinase B/c Inhibitor	"[Raf Kinase B/c Inhibitor, Serine/threonine-protein Kinase B-raf Inhibitor]"	BRAF	"[Preclinical, Unknown]"	[Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C]	940310-85-0	940310850	820919	NVP-BHG712	NA	NA	bhg712|nvp-bhg712|bhg-712|ct-bhg712	940310850	cas	FALSE
OFLOXACIN	cb411f8e090d9d3f6b1a689bc118823b	Ofloxacin	"[NCGC00094219, MLS001165709, NCGC00261589, NCGC00178284, MLS001423977, NCGC00015772, NCGC00178529, MLS000028749, MLS001074203, NCGC00016948, MLS000759524]"	Antibiotic	"[Antibiotic, Dna Topoisomerase Ii Inhibitors; Antibiotic, Bacterial Dna Gyrase (mycobacterium Tuberculosis) Inhibitor, Dna Topoisomerase Iv Inhibitor, Bacterial Dna Topoisomerase Iv Inhibitor, Dna Topoisomerase Iv Inhibitors; Antibiotic, Bacterial Dna Gyrase Inhibitor]"	TOP2B	"[Unknown, Approved]"	"[C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.Cl, CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.Cl, C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23, CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23, C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23]"	100986-85-4	100986854	727071	OFLOXACIN	NA	NA	"ofloxacin|(+/-)-floxin|(+/-)-9-fluoro-2,3-dihydro-3-methyl-10-(4-methyl-1-piper..."	82419361	name	FALSE
