pert_iname,clinical_phase,moa,target,disease_area,indication,matching_in_cellminercdb,kw_matching,
cromakalim,Phase 2,,KCNJ8,,,FALSE,,
CS-110266,Preclinical,dopamine receptor agonist,SLC6A3,,,FALSE,,
cyclovalone,Launched,breast cancer resistance protein inhibitor,ABCG2,gastroenterology,bile stimulation,FALSE,,
cyromazine,Launched,,,,,FALSE,,
cytidine,Launched,,,,,FALSE,,
cytochalasin-B,Phase 2,microtubule inhibitor,ACTB,,,FALSE,,
cytochlor,Phase 1,,,,,FALSE,,
D-64131,Preclinical,microtubule inhibitor,TUBB,,,FALSE,,
D-7193,Phase 2,,,,,FALSE,,
danazol,Launched,estrogen receptor antagonist|progesterone receptor agonist,AR|CCL2|ESR1|GNRHR|GNRHR2|PGR,obstetrics/gynecology|cardiology,endometriosis|angioedema,FALSE,,
dapivirine,Phase 3,non-nucleoside reverse transcriptase inhibitor,CYP3A4|CYP3A5,,,FALSE,,
darapladib,Phase 3,phospholipase inhibitor,PLA2G7,,,FALSE,,
darifenacin,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence,FALSE,,
DCEBIO,Preclinical,potassium channel activator,KCNN2|KCNN3|KCNN4,,,FALSE,,
dehydrocholate-acid,Preclinical,,,,,FALSE,,
demecarium,Launched,acetylcholinesterase inhibitor,ACHE|BCHE,ophthalmology,intraocular pressure|glaucoma,FALSE,,
deoxycorticosterone-acetate,Preclinical,progestogen hormone,NR3C2,,,FALSE,,
dequalinium,Launched,PKC inhibitor,KCNN1|KCNN3,infectious disease,first-aid antiseptic,FALSE,,
desoxycortone,Preclinical,mineralocorticoid receptor agonist,NR3C1|NR3C2,,,FALSE,,
dianhydrogalactitol,Phase 3,DNA alkylating agent,,,,FALSE,,
diaveridine,Launched,dihydrofolate reductase inhibitor,,infectious disease,coccidiosis,FALSE,,
dichlorisone-acetate,Phase 2,,,,,FALSE,,
dichloroacetate,Phase 3,pyruvate dehydrogenase kinase inhibitor,,,,FALSE,,
dichlorvos,Launched,acetylcholinesterase inhibitor,,,,FALSE,,
dicycloverine,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,gastroenterology,irritable bowel syndrome,FALSE,,
difluprednate,Launched,glucocorticoid receptor agonist,NR3C1,ophthalmology,endogenous uveitis,FALSE,,
digitoxigenin,Preclinical,ATPase inhibitor,ATP1A1,,,FALSE,,
digoxigenin,Preclinical,steroid,,,,FALSE,,
dihydroergocristine,Launched,adrenergic receptor antagonist|prolactin inhibitor,ADRA1A|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7,neurology/psychiatry,senile dementia|cerebrovascular insufficiency,FALSE,,
dimethisoquin,Launched,local anesthetic,,neurology/psychiatry,local anesthetic,FALSE,,
diphemanil,Launched,acetylcholine receptor antagonist,CHRM3,neurology/psychiatry,spasms,FALSE,,
diphenyleneiodonium,Preclinical,nitric oxide synthase inhibitor,NOS2|NOS3,,,FALSE,,
dirithromycin,Launched,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bronchitis,FALSE,,
DMH1,Preclinical,ALK tyrosine kinase receptor inhibitor,ACVR1,,,FALSE,,
domiphen,Preclinical,,,,,FALSE,,
DPI-201106,Phase 2,sodium channel activator,ADRB2,,,FALSE,,
D-serine,Launched,glutamate receptor agonist,GLRA1|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|SERPINB3,,,FALSE,,
DU-728,Phase 1,structural glycoprotein antagonist,ITGA2B|ITGB3,,,FALSE,,
DVD-111,Phase 2,,,,,FALSE,,
ebastine,Launched,histamine receptor antagonist,CYP3A4|HRH1,allergy,allergic rhinitis|urticaria,FALSE,,
ecamsule-triethanolamine,Launched,,,dermatology,skin protectant|sunscreen lotion,FALSE,,
EMD-53998,Phase 1,phosphodiesterase inhibitor,TNNC1,,,FALSE,,
endo-IWR-1,Preclinical,PARP inhibitor,TNKS|TNKS2,,,FALSE,,
enocitabine,Launched,DNA synthesis inhibitor,CMPK1|RRM1|TYMS,hematologic malignancy,acute myeloid leukemia (AML),FALSE,,
enoximone,Launched,phosphodiesterase inhibitor,PDE3A,cardiology,congestive heart failure,FALSE,,
epiandrosterone,Preclinical,steroid,G6PD,,,FALSE,,
epinastine,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis,FALSE,,
eprinomectin,Launched,benzodiazepine receptor agonist,,infectious disease,gastrointestinal roundworms|lungworms,FALSE,,
eprobemide,Launched,monoamine oxidase inhibitor,MAOA,neurology/psychiatry,depression,FALSE,,
eptifibatide,Launched,platelet aggregation inhibitor,ITGA2B|ITGB3,cardiology,acute coronary syndrome (ACS)|percutaneous coronary intervention (PCI),FALSE,,
equol,Launched,estrogen receptor agonist,ESR1|ESR2,,,FALSE,,
ER-27319,Preclinical,mediator release inhibitor|SYK inhibitor,SYK,,,FALSE,,
ercalcitriol,Phase 1,vitamin D receptor agonist,VDR,,,FALSE,,
erythritol,Launched,,,,,FALSE,,
estradiol-benzoate,Preclinical,contraceptive agent,ESR1,,,FALSE,,
estradiol-cypionate,Launched,estrogen receptor agonist,ESR1,endocrinology,hypoestrogenism|menopause,FALSE,,
ethacridine-lactate-monohydrate,Preclinical,DNA intercalating agent,,,,FALSE,,
etofylline-clofibrate,Launched,platelet aggregation inhibitor,PPARA,endocrinology,hyperlipidemia,FALSE,,
ETP-46464,Preclinical,ATR kinase inhibitor,,,,FALSE,,
EVP4593,Preclinical,NFkB pathway inhibitor,,,,FALSE,,
fenaclon,Preclinical,,,,,FALSE,,
fendiline,Preclinical,calcium channel blocker,HTR2B,,,FALSE,,
FERb-033,Preclinical,EGFR inhibitor,ERBB2,,,FALSE,,
fexinidazole,Phase 3,,,,,FALSE,,
finafloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease|pulmonary,intra-abdominal infections|chronic obstructive pulmonary disease (COPD)|cystic fibrosis,FALSE,,
FK-3311,Phase 2,cyclooxygenase inhibitor,PTGS2,,,FALSE,,
FK-888,Phase 2,tachykinin antagonist,TACR1|TACR2,,,FALSE,,
FLI-06,Preclinical,notch signaling inhibitor,,,,FALSE,,
florfenicol,Launched,protein synthesis inhibitor,,pulmonary,bovine respiratory disease (BRD),FALSE,,
fludroxycortide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,infectious disease|dermatology,skin infections|psoriasis,FALSE,,
flufenamic-acid,Preclinical,chloride channel blocker,AKR1C3|ANO1|AR|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|PTGS1|PTGS2|TRPC5|TRPM2|TRPM5,,,FALSE,,
flumethasone,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,otolaryngology|infectious disease|dermatology,otitis|ear infections|corticosteroid-responsive dermatoses,FALSE,,
flumethasone-pivalate,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,allergy,allergic rhinitis,FALSE,,
fluorometholone,Launched,glucocorticoid receptor agonist,NR3C1,ophthalmology,eye inflammation,FALSE,,
fluoromethylcholine,Launched,,,,,FALSE,,
fluroxene,Preclinical,local anesthetic,,,,FALSE,,
forodesine,Launched,purinergic receptor antagonist,PNP,hematologic malignancy,peripheral T-cell lymphoma (PTCL),FALSE,,
forskolin,Launched,adenylyl cyclase activator,ADCY2|ADCY5|GNAS,,,FALSE,,
fosbretabulin,Phase 3,tubulin polymerization inhibitor|VE-cadherin antagonist,CDH5,,,FALSE,,
foscarnet,Launched,DNA polymerase inhibitor,,infectious disease,cytomegalovirus retinitis|acquired immunodeficiency syndrome (AIDS)|virus herpes simplex (HSV),FALSE,,
FPH1-(BRD-6125),Preclinical,hepatocyte function enhancer,,,,FALSE,,
FR-122047,Preclinical,cyclooxygenase inhibitor,,,,FALSE,,
FR-139317,Phase 1,endothelin receptor antagonist,EDNRA,,,FALSE,,
frentizole,Phase 1,immunosuppressant,,,,FALSE,,
fudosteine,Launched,mucolytic agent,,pulmonary,chest congestion,FALSE,,
G-1,Preclinical,G protein-coupled receptor agonist,GPER1,,,FALSE,,
gambogic-acid,Phase 2,caspase activator,BCL2,,,FALSE,,
gamma-aminobutyric-acid,Preclinical,benzodiazepine receptor agonist,GABBR1|GABBR2|GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2|GATM|KCTD12|KCTD16|KCTD8|SLC6A1,,,FALSE,,
gastrodin,Phase 2,,,,,FALSE,,
gestrinone,Launched,progesterone receptor antagonist,AR|ESR1|PGR,obstetrics/gynecology,endometriosis,FALSE,,
GGTI-298,Preclinical,GGTase inhibitor,CDKN1A,,,FALSE,,
golgicide-A,Preclinical,ARF inhibitor,GBF1,,,FALSE,,
GS-39783,Preclinical,GABA receptor modulator,GABBR1,,,FALSE,,
GSK-3-inhibitor-IX,Preclinical,glycogen synthase kinase inhibitor|lipoxygenase inhibitor,GSK3A|GSK3B,,,FALSE,,
GTP-14564,Preclinical,FLT3 inhibitor|tyrosine kinase inhibitor,CSF1R|FLT3|KIT|PDGFRB,,,FALSE,,
guanidine,Launched,HSP inhibitor,ALDH2|DLG4|GAMT|RNASE1,neurology/psychiatry,Lambert-Eaton myasthenic syndrome (LEMS),FALSE,,
GW-405833,Preclinical,cannabinoid receptor agonist,CNR2,,,FALSE,,
GW-583340,Preclinical,EGFR inhibitor,EGFR|ERBB2,,,FALSE,,
halcinonide,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses,FALSE,,
halobetasol-propionate,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses,FALSE,,
halofuginone,Launched,collagenase inhibitor,COL1A1|MMP2,rheumatology,scleroderma,FALSE,,
harringtonine,Phase 3,protein synthesis inhibitor,,,,FALSE,,
hexachlorophene,Launched,potassium channel activator,GLUD1|SDHD,infectious disease,gram-positive bacterial infections,FALSE,,
hexaminolevulinate,Launched,,,radiology,diagnostic agent,FALSE,,
hexylresorcinol,Launched,local anesthetic,TYR,infectious disease,skin infections|first-aid antiseptic,FALSE,,
homoquinolinic-acid,Preclinical,glutamate receptor agonist,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D,,,FALSE,,
homosalate,Preclinical,HSP inducer,,,,FALSE,,
"hydroxytacrine-maleate-(R,S)",Preclinical,cholinesterase inhibitor,ACHE,,,FALSE,,
hyodeoxycholic-acid,Phase 1,atherosclerosis formation inhibitor,,,,FALSE,,
hyoscyamine,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,gastroenterology|urology|neurology/psychiatry|allergy,peptic ulcer disease (PUD)|acute abdominal visceral spasm|ulcerative colitis|interstitial cystitis (IC)|enterocolitis|irritable bowel syndrome|tremors|allergic rhinitis,FALSE,,
hypericin,Phase 3,tyrosine kinase inhibitor,,,,FALSE,,
hypoestoxide,Phase 1,IKK inhibitor,IKBKB|IL1B|TNF,,,FALSE,,
ICI-162846,Phase 1,histamine receptor antagonist,HRH2,,,FALSE,,
idazoxan,Phase 3,adrenergic receptor antagonist,ADRA2A|PTGS2,,,FALSE,,
IDRA-21,Preclinical,glutamate receptor positive allosteric modulator,GRIA1|GRIA2|GRIA3|GRIA4,,,FALSE,,
IEM1754,Preclinical,glutamate receptor antagonist,GRIA1,,,FALSE,,
IKK-2-inhibitor-V,Phase 1,IKK inhibitor|NFkB pathway inhibitor,IKBKB,,,FALSE,,
imidapril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure,FALSE,,
imiloxan,Phase 1,adrenergic receptor antagonist,ADRA2A|ADRA2B,,,FALSE,,
indoprofen,Withdrawn,cyclooxygenase inhibitor|prostanoid receptor antagonist,CXCR1|CXCR2|PTGS1|PTGS2,,,FALSE,,
INH1,Preclinical,Hec1 inhibitor,NDC80,,,FALSE,,
inosine,Launched,neurotrophic agent,PARP1|PNP,,,FALSE,,
iobenguane,Launched,antineoplastic agent,,oncology|cardiology|endocrinology,neuroblastoma|congestive heart failure|pheochromocytoma,FALSE,,
iodipamide,Launched,radiopaque medium,ALB,radiology,contrast agent,FALSE,,
iododexetimide,Phase 2,acetylcholine receptor antagonist,,,,FALSE,,
IOWH032,Phase 2,CFTR channel antagonist,CFTR,,,FALSE,,
iproniazid,Withdrawn,monoamine oxidase inhibitor,MAOA|MAOB,,,FALSE,,
ipsapirone,Phase 3,serotonin receptor agonist,HTR1A,,,FALSE,,
isoetharine,Launched,adrenergic receptor agonist,,pulmonary,bronchospasm|asthma,FALSE,,
isofloxythepin,Phase 2,dopamine receptor antagonist,,,,FALSE,,
isoflupredone-acetate,Preclinical,,NR3C1,,,FALSE,,
isometheptene-mucate,Launched,,,neurology/psychiatry,headache,FALSE,,
isopropyl-myristate,Launched,,,dermatology,cosmetic,FALSE,,
isoxsuprine,Launched,adrenergic receptor agonist,ADRB2,rheumatology|cardiology,Raynaud's disease|arteriosclerosis|Buerger's disease,FALSE,,
JIB04,Preclinical,histone lysine demethylase inhibitor,KDM4E,,,FALSE,,
josamycin,Launched,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bronchitis,FALSE,,
JTE-607,Phase 2,cytokine production inhibitor,IL10|IL1B|IL6|TNF,,,FALSE,,
K-858,Preclinical,kinesin-like spindle protein inhibitor,KIF11,,,FALSE,,
KD-023,Phase 2,ACAT inhibitor,ACACA|ACACB,,,FALSE,,
kenpaullone,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,CCNB1|CDK1|CDK5|GSK3B,,,FALSE,,
KF-38789,Preclinical,P selectin inhibitor,SELP,,,FALSE,,
kifunensine,Phase 1,mannosidase inhibitor,MAN1B1|MAN2A1,,,FALSE,,
KP-1212,Phase 2,,,,,FALSE,,
K-Ras(G12C)-inhibitor-6,Preclinical,K-Ras inhibitor,,,,FALSE,,
K-strophanthidin,Phase 2,ATPase inhibitor,ATP1A1,,,FALSE,,
kynurenic-acid,Phase 1,glutamate receptor antagonist,GPR35|GRIN1|GRIN2A|GRIN2B,,,FALSE,,
L-798106,Preclinical,prostanoid receptor antagonist,PTGER3,,,FALSE,,
lacitol,Launched,laxative,,gastroenterology,constipation,FALSE,,
lanatoside-C,Preclinical,cardiac glycoside,,,,FALSE,,
lanoconazole,Launched,sterol demethylase inhibitor,,infectious disease,fungal infection,FALSE,,
lasalocid,Launched,bacterial permeability inducer,,infectious disease,coccidiosis,FALSE,,
latanoprost,Launched,prostanoid receptor agonist,PTGFR,ophthalmology,ocular hypertension|glaucoma,FALSE,,
LB42708,Preclinical,farnesyltransferase inhibitor,,,,FALSE,,
LE-135,Preclinical,retinoid receptor agonist,RARB,,,FALSE,,
lerisetron,Phase 3,serotonin receptor antagonist,HTR3A,,,FALSE,,
levobunolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,ophthalmology,glaucoma|ocular hypertension,FALSE,,
levocarnitine,Launched,,CRAT|CROT,endocrinology,carnitine deficiency,FALSE,,
licochalcone-A,Phase 3,topoisomerase inhibitor,PTPN1,,,FALSE,,
lidamidine,Launched,adrenergic receptor agonist,,gastroenterology,diarrhea,FALSE,,
lidocaine,Launched,histamine receptor agonist,EGFR|SCN10A|SCN5A|SCN9A,neurology/psychiatry|dermatology|hematology,itching|eczema|hemorrhage,FALSE,,
linalool,Phase 1,anticonvulsant,,,,FALSE,,
lomitapide,Launched,microsomal trigylceride transfer protein inhibitor,MTTP,endocrinology,hypercholesterolemia,FALSE,,
loxistatin-acid,Preclinical,cysteine peptidase inhibitor,CTSB,,,FALSE,,
lurasidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA2A|ADRA2C|DRD2|HTR1A|HTR2A|HTR7,neurology/psychiatry,schizophrenia,FALSE,,
LY2183240,Preclinical,FAAH inhibitor|FAAH reuptake inhibitor,FAAH,,,FALSE,,
LY303511,Preclinical,casein kinase inhibitor|mTOR inhibitor|PI3K inhibitor,BRD2|BRD3|BRD4,,,FALSE,,
LY364947,Preclinical,p38 MAPK inhibitor|TGF beta receptor inhibitor,TGFBR1,,,FALSE,,
LY456236,Preclinical,glutamate receptor antagonist,GRM1,,,FALSE,,
maxacalcitol,Launched,vitamin D receptor agonist,VDR,endocrinology,hyperparathyroidism,FALSE,,
mefexamide,Preclinical,psychoactive drug,,,,FALSE,,
meglitinide,Phase 2,potassium channel blocker,CCR2,,,FALSE,,
MEK1-2-inhibitor,Preclinical,MEK inhibitor,MAP2K2,,,FALSE,,
melengestrol-acetate,Preclinical,progesterone receptor agonist,,,,FALSE,,
mephenytoin,Launched,hydantoin antiepileptic,SCN5A,neurology/psychiatry,seizures,FALSE,,
mepivacaine,Launched,potassium channel blocker|sodium channel blocker,,neurology/psychiatry,local anesthetic,FALSE,,
mericitabine,Phase 2,HCV inhibitor,,,,FALSE,,
merimepodib,Phase 2,inosine monophosphate dehydrogenase inhibitor,IMPDH1,,,FALSE,,
mesoridazine,Launched,dopamine receptor antagonist,DRD2|HTR2A,neurology/psychiatry,schizophrenia,FALSE,,
metaraminol,Launched,adrenergic receptor agonist,ADRA1A,cardiology,hypotension,FALSE,,
metatinib,Phase 1,Bcr-Abl kinase inhibitor,ABL1|BCR,,,FALSE,,
methiazole,Preclinical,anthelmintic agent,,,,FALSE,,
methoxyflurane,Launched,membrane permeability inhibitor,ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|MT-ND1,neurology/psychiatry,general anaesthetic,FALSE,,
metoxibutropate,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,,,FALSE,,
metyrapone,Launched,cytochrome P450 inhibitor,CYP11B1,nephrology,adrenal diagnostic agent,FALSE,,
mexeneone,Preclinical,,,,,FALSE,,
mexiletine,Launched,sodium channel blocker,PLAU|SCN4A|SCN5A,cardiology,ventricular arrhythmias|ventricular tachycardia (VT),FALSE,,
mibampator,Phase 2,glutamate receptor modulator,GRIA1,,,FALSE,,
mibefradil,Withdrawn,T-type calcium channel blocker,ANO1|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CATSPER1|CATSPER2|CATSPER3|CATSPER4,,,FALSE,,
midodrine,Launched,adrenergic receptor agonist,,cardiology,hypotension,FALSE,,
MK-0773,Phase 2,androgen receptor modulator,AR,,,FALSE,,
MK-8745,Preclinical,Aurora kinase inhibitor,AURKA,,,FALSE,,
ML133,Preclinical,potassium channel blocker,,,,FALSE,,
mozavaptan,Launched,vasopressin receptor antagonist,AVPR1A|AVPR1B|AVPR2,endocrinology,hyponatremia,FALSE,,
MRS-1220,Preclinical,adenosine receptor antagonist,ADORA2B|ADORA3,,,FALSE,,
MTPG,Preclinical,glutamate receptor antagonist,GRM2|GRM3,,,FALSE,,
N-acetylmannosamine,Phase 2,,,,,FALSE,,
nadide,Launched,free radical scavenger,AHCY|AKR1A1|ALDH2|BLVRA|DHPS|DLD|GALE|HMGCR|HSD17B1|HSD17B4|IMPDH2|MGAM|P2RY11|SORD|TRPM2,,,FALSE,,
nadifloxacin,Launched,bacterial DNA gyrase inhibitor,,dermatology|infectious disease,acne vulgaris (AV)|skin infections,FALSE,,
nafcillin,Launched,bacterial cell wall synthesis inhibitor,CYP1A2|CYP3A4|SLC22A6,infectious disease,gram-positive bacterial infections,FALSE,,
naftidrofuryl,Launched,adrenergic receptor antagonist,,cardiology,claudication,FALSE,,
naftifine,Launched,fungal squalene epoxidase inhibitor,,infectious disease,tinea pedis|tinea cruris|tinea corporis,FALSE,,
naloxone,Launched,opioid receptor antagonist,CREB1|ESR1|OPRD1|OPRK1|OPRM1|TLR4,pulmonary,respiratory depression,FALSE,,
NAN-190,Preclinical,serotonin receptor agonist,ADRA1A|ADRA1B|ADRA1D|HTR1A|HTR1F,,,FALSE,,
narasin,Launched,antiprotozoal agent,,infectious disease,coccidiosis,FALSE,,
narlaprevir,Phase 3,HCV inhibitor,,,,FALSE,,
navarixin,Phase 2,CC chemokine receptor antagonist,CXCR1|CXCR2,,,FALSE,,
nemonapride,Launched,dopamine receptor antagonist,DRD2|DRD3|DRD4,neurology/psychiatry,schizophrenia,FALSE,,
nexturastat-A,Preclinical,HDAC inhibitor,HDAC1|HDAC6,,,FALSE,,
NH125,Preclinical,eukaryotic translation elongation factor 2 inhibitor,,,,FALSE,,
nicotine,Launched,acetylcholine receptor agonist,CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1|TBXAS1|TRPA1,neurology/psychiatry,smoking cessation,FALSE,,
niridazole,Launched,phosphofructokinase inhibitor,,infectious disease,schistosomiasis,FALSE,,
nisoxetine,Phase 1,norepinephrine reuptake inhibitor,SLC6A2|SLC6A3|SLC6A4,,,FALSE,,
nitarsone,Launched,,,dermatology,blackhead disease,FALSE,,
nithiamide,Preclinical,bacterial DNA inhibitor,,,,FALSE,,
nitrocaramiphen,Preclinical,cholinergic receptor antagonist,CHRM1,,,FALSE,,
nizatidine,Launched,histamine receptor antagonist,HRH2,gastroenterology,duodenal ulcer disease|erosive esophagitis (EE)|ulcerative esophagitis (UE)|gastroesophageal reflux disease (GERD),FALSE,,
nizofenone,Launched,ion channel antagonist,,neurology/psychiatry,stroke,FALSE,,
NMS-E973,Preclinical,HSP inhibitor,,,,FALSE,,
nobiletin,Preclinical,MEK inhibitor,MAP2K1,,,FALSE,,
nomegestrol-acetate,Launched,progesterone receptor agonist,PGR,endocrinology,contraceptive,FALSE,,
nonoxynol-9,Launched,membrane integrity inhibitor,,endocrinology,contraceptive,FALSE,,
norethindrone,Launched,progesterone receptor agonist,PGR,obstetrics/gynecology,endometriosis,FALSE,,
norethindrone-acetate,Launched,progesterone receptor agonist,PGR,endocrinology|orthopedics|obstetrics/gynecology,menopause|osteoporosis|vaginal atrophy,FALSE,,
noretynodrel,Launched,progestogen hormone,PGR,endocrinology,contraceptive,FALSE,,
NSC-3852,Preclinical,HDAC inhibitor,HDAC1,,,FALSE,,
NSC-632839,Preclinical,ubiquitin specific protease inhibitor,SENP2|USP1|USP2|USP7,,,FALSE,,
NSC-697923,Preclinical,ubiquitin-conjugating enzyme inhibitor,UBE2N,,,FALSE,,
NVP-BVU972,Preclinical,MET inhibitor,MET,,,FALSE,,
obidoxime,Launched,cholinesterase reactivator,ACHE,critical care|neurology/psychiatry,poison antidote|nerve gas poisoning,FALSE,,
octenidine,Launched,membrane integrity inhibitor,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,FALSE,,
octopamine,Preclinical,trace amine associated receptor agonist,F10|TAAR1,,,FALSE,,
OLDA,Preclinical,TRPV agonist,GPR119,,,FALSE,,
oleoylethanolamide,Preclinical,cannabinoid receptor agonist|glucose dependent insulinotropic receptor agonist|potassium channel blocker|PPAR receptor agonist,CNR1|GPR119|GPR55|PPARA,,,FALSE,,
oncrasin-1,Preclinical,apoptosis stimulant,,,,FALSE,,
orotic-acid,Phase 2,,DHODH,,,FALSE,,
oxiperomide,Phase 2,dopamine receptor antagonist,,,,FALSE,,
oxiracetam,Launched,acetylcholine receptor agonist,,neurology/psychiatry,senile dementia,FALSE,,
oxprenolol,Launched,adrenergic receptor antagonist,ADRB1,cardiology,angina pectoris|hypertension|cardiac arrythmia,FALSE,,
oxyphencyclimine,Launched,cholinergic receptor antagonist,,gastroenterology,peptic ulcer disease (PUD),FALSE,,
oxyquinoline,Launched,chelating agent,METAP2,dermatology,cosmetic,FALSE,,
P22077,Preclinical,ubiquitin specific protease inhibitor,USP7,,,FALSE,,
P5091,Preclinical,ubiquitin specific protease inhibitor,USP7,,,FALSE,,
paliperidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,DRD2|HTR2A,neurology/psychiatry,schizophrenia,FALSE,,
palmatine-chloride,Preclinical,dopamine synthesis inhibitor,CYP3A4,,,FALSE,,
palmitoylethanolamide,Launched,cannabinoid receptor agonist,CNR2|GPR119|GPR55,,,FALSE,,
parachlorophenol,Launched,antiinfective drug,,infectious disease,first-aid antiseptic,FALSE,,
pardoprunox,Phase 3,dopamine receptor agonist|serotonin receptor agonist,DRD2|DRD3|DRD4|HTR1A|HTR7,,,FALSE,,
PD-407824,Preclinical,PKC inhibitor,WEE1,,,FALSE,,
penfluridol,Launched,T-type calcium channel blocker,CACNA1G,neurology/psychiatry,schizophrenia,FALSE,,
peruvoside,Phase 1,cardiac glycoside,,,,FALSE,,
PETCM,Preclinical,caspase activator,CASP3,,,FALSE,,
PF-04136309,Phase 2,CC chemokine receptor antagonist,,,,FALSE,,
PF-4981517,Preclinical,cytochrome P450 inhibitor,CYP3A4,,,FALSE,,
PFK-015,Phase 1,phosphofructokinase inhibitor,PFKFB3,,,FALSE,,
phenazone,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief,FALSE,,
phenylbutazone,Withdrawn,cyclooxygenase inhibitor|prostanoid receptor antagonist,PTGIS|PTGS1|PTGS2,,,FALSE,,
phenylmercuric-acetate,Preclinical,other antifungal,,,,FALSE,,
PI-828,Preclinical,PI3K inhibitor,,,,FALSE,,
pibenzimol,Phase 2,DNA inhibitor,,,,FALSE,,
pilocarpine,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,ophthalmology|cardiology,glaucoma|hypertension,FALSE,,
pindolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|HTR1A|HTR2A|HTR2B,cardiology,hypertension,FALSE,,
piperacetazine,Launched,dopamine receptor antagonist,,neurology/psychiatry,schizophrenia,FALSE,,
pirenperone,Preclinical,serotonin receptor antagonist,HTR2A|HTR7,,,FALSE,,
piretanide,Launched,glucocorticoid receptor agonist,SLC12A1|SLC12A2,cardiology,hypertension|edema,FALSE,,
pitolisant,Launched,histamine receptor antagonist,HRH3,,,FALSE,,
PJ-34,Preclinical,PARP inhibitor,EEF2|PARP1|PARP15|PARP3,,,FALSE,,
PKI-179,Phase 1,mTOR inhibitor|PI3K inhibitor,MTOR,,,FALSE,,
PP-1,Preclinical,SRC inhibitor,HCK|RET,,,FALSE,,
PP-2,Preclinical,SRC inhibitor,ABL1|LCK|RIPK2|SRC,,,FALSE,,
PPT,Preclinical,estrogen receptor agonist,ESR1,,,FALSE,,
PQ-401,Preclinical,IGF-1 inhibitor,IGF1R,,,FALSE,,
PR-619,Preclinical,DUB inhibitor,,,,FALSE,,
practolol,Withdrawn,adrenergic receptor antagonist,ADRB1,,,FALSE,,
pranidipine,Phase 2,calcium channel blocker,CACNA1C,,,FALSE,,
prednisolone-hemisuccinate,Preclinical,glucocorticoid receptor agonist,NR3C1,,,FALSE,,
prednisolone-tebutate,Launched,anti-inflammatory agent,,,,FALSE,,
primaquine,Launched,antimalarial agent|DNA inhibitor,,infectious disease,malaria,FALSE,,
proflavine-hemisulfate,Phase 2,topical anesthetic,F2,,,FALSE,,
propoxycaine,Launched,local anesthetic,,neurology/psychiatry,anesthetic,FALSE,,
propranolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology|neurology/psychiatry,hypertension|angina pectoris|migraine headache,FALSE,,
protirelin,Launched,thyrotropin releasing hormone receptor agonist,TRHR,radiology,thyroid function diagnostic,FALSE,,
PSB-1115,Preclinical,adenosine receptor antagonist,ADORA1|ADORA2B|ADORA3,,,FALSE,,
